tax	hdz-015-s28	hdz-018-s30	hdz-022-s31	hdz-027-s32	hdz-028-s36	hdz-030-s37	hdz-032-s46	hdz-033-s43	hdz-034-s44	hdz-038-s45	hdz-039-s33	hdz-068-s26	hdz-070-s29	hdz-072-s34	hdz-076-s24	hdz-077-s38	hdz-078-s27	hdz-079-s25	hdz-081-s40	hdz-083-s39	hdz-084-s35	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	0	1	2	0	0	4	0	0	4	1	3	9	2	0	0	0	0	6	0	0	1	33
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	2	0	1	0	1	0	0	0	13	1	1	4	5	0	1	0	1	0	0	0	2	32
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	0	0	2	1	2	0	0	0	5	4	2	1	2	0	5	1	2	1	1	0	1	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	10	11	0	0	0	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	1	1	8	0	0	11	1	1	3	1	1	0	0	0	0	0	0	0	28
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	0	0	6	0	1	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	14	27
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	0	1	5	0	4	1	1	0	1	1	2	0	0	4	0	0	0	2	1	0	2	25
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	2	3	0	1	0	0	0	1	1	8	0	0	1	3	0	3	0	1	0	1	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	0	0	1	1	4	0	0	0	3	0	4	1	0	2	4	2	0	0	1	0	2	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	1	0	0	2	0	3	0	0	13	2	0	0	2	0	0	0	0	0	1	0	1	25
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	0	0	5	0	1	0	0	0	1	0	0	2	0	0	2	0	1	1	0	0	11	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	4	0	0	2	0	4	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	0	1	2	1	0	0	0	0	7	3	4	0	2	0	1	0	0	0	0	0	0	21
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	0	0	0	0	1	0	0	1	0	0	0	0	14	0	0	0	4	0	0	0	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	0	0	1	0	3	0	0	0	1	3	5	0	0	2	2	0	0	1	0	0	2	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	0	0	6	0	0	0	3	3	1	0	0	0	1	1	3	0	1	0	1	20
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	0	0	1	0	2	1	0	0	2	0	1	0	0	0	0	1	6	0	0	0	5	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter massiliensis	1	0	0	0	0	1	0	0	9	0	0	1	0	1	0	0	0	6	0	0	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus	0	0	1	0	0	0	0	0	4	0	0	1	4	0	0	0	0	4	0	0	4	18
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tertium	0	0	0	1	0	1	0	0	11	0	0	3	0	1	0	0	0	0	0	0	0	17
