tax	hdz-230-s277	hdz-231-s278	hdz-232-s279	hdz-233-s280	hdz-234-s281	hdz-235-s282	hdz-236-s283	hdz-374-s284	hdz-375-s285	hdz-376-s286	hdz-377-s287	hdz-378-s288	hdz-379-s289	hdz-380-s290	hdz-422-s291	hdz-430-s292	hdz-440-s293	hdz-442-s294	hdz-443-s295	hdz-444-s296	hdz-445-s297	hdz-448-s298	hdz-449-s299	pl-ntc-013-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	8	10	12	2	9	12	2	5	2	13	4	5	107	41	0	0	18	0	67	0	0	12	27	0	356
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	2	6	134	21	0	49	0	337
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	7	1	35	1	2	3	0	10	9	2	11	26	79	21	0	0	21	0	17	0	0	8	78	0	331
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus;Prolinoborus fasciculus	0	0	318	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	327
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	2	0	5	2	1	1	0	0	288	0	0	0	0	0	0	3	1	0	1	9	0	0	3	1	317
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	7	1	51	31	0	0	0	316
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	35	65	0	62	93	36	0	1	0	297
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter lanii	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	296
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	7	5	16	0	3	6	3	6	1	9	0	1	62	39	2	0	25	0	66	0	0	12	32	0	295
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	3	2	8	2	5	7	2	7	1	3	3	1	80	30	2	0	15	1	58	0	0	17	32	0	279
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	22	18	14	37	3	28	37	1	6	14	12	14	11	10	1	0	11	0	8	0	0	17	13	0	277
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	3	3	0	6	0	2	5	2	13	3	4	21	5	16	3	36	5	20	8	74	34	8	5	0	276
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	14	5	0	9	7	9	6	1	3	25	0	8	27	16	1	1	9	22	7	0	26	18	36	1	251
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	233	0	236
