"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"Valerate (Pentanoic acid, Pentanoate) -- Consumption"	1.85034416401451e-05	0	5.69422036632818e-05	0	4.22964132641552e-05
"L-Arginine (Arginine) -- Consumption"	0	0	5.69422036632818e-05	0	4.22964132641552e-05
"H2S (HS-) -- Production"	0	0	5.69422036632818e-05	0	0
"Pyruvate -- Production"	0	1.32248892415526e-05	0	0	4.22964132641552e-05
"Cholic acid (Cholate) -- Production"	1.85034416401451e-05	0	1.89807345544273e-05	1.65313848341076e-05	0
"Tauro-b-muricholic acid -- Consumption"	1.85034416401451e-05	0	1.89807345544273e-05	1.65313848341076e-05	0
"Taurocholate -- Consumption"	1.85034416401451e-05	0	1.89807345544273e-05	1.65313848341076e-05	0
"beta-Muricholic acid -- Production"	1.85034416401451e-05	0	1.89807345544273e-05	1.65313848341076e-05	0
"Linoleic acid (Omega-6 fatty acid) -- Consumption"	1.85034416401451e-05	0	1.89807345544273e-05	0	1.40988044213851e-05
"1,2-Ethanediol (Ethylene glycol) -- Production"	0	0	0	0	4.22964132641552e-05
"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"	0	0	0	0	4.22964132641552e-05
"Arabinan -- Macromolecule"	0	0	0	0	4.22964132641552e-05
"Butylamine -- Production"	0	0	0	0	4.22964132641552e-05
"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"	0	0	0	0	4.22964132641552e-05
"D-Glucosamine (Glucosamine) -- Consumption"	0	0	0	0	4.22964132641552e-05
"D-Lyxose (L-Lyxose) -- Consumption"	0	0	0	0	4.22964132641552e-05
"Deoxycholic acid -- Production"	0	0	0	0	4.22964132641552e-05
"Galactan -- Macromolecule"	0	0	0	0	4.22964132641552e-05
"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"	0	0	0	0	4.22964132641552e-05
"Isobutyrate (2-Methylpropanoic acid) -- Production"	0	0	0	0	4.22964132641552e-05
"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"	0	0	0	0	4.22964132641552e-05
"L-Leucine (Leucine) -- Consumption"	0	0	0	0	4.22964132641552e-05
"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"	0	0	0	0	4.22964132641552e-05
"L-Tyrosine (Tyrosine) -- Consumption"	0	0	0	0	4.22964132641552e-05
"L-Valine (Valine, D-Valine) -- Consumption"	0	0	0	0	4.22964132641552e-05
"Lithocholic acid -- Production"	0	0	0	0	4.22964132641552e-05
"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"	0	0	0	0	4.22964132641552e-05
"Phenylacetate -- Production"	0	0	0	0	4.22964132641552e-05
"Phenylethylamine -- Production"	0	0	0	0	4.22964132641552e-05
"Spermidine -- Production"	0	0	0	0	4.22964132641552e-05
"Tyramine -- Production"	0	0	0	0	4.22964132641552e-05
"Valerate (Pentanoic acid, Pentanoate) -- Production"	0	0	0	0	4.22964132641552e-05
"XOS (Xylooligosaccharide) -- Consumption"	0	0	0	0	4.22964132641552e-05
"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"	1.85034416401451e-05	0	1.89807345544273e-05	0	0
"H2O2 -- Production"	1.85034416401451e-05	0	0	0	0
"Hippurate -- Consumption"	1.85034416401451e-05	0	0	0	0
"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"	1.85034416401451e-05	0	0	0	0
"Pantothenic acid (Vitamin B5, Pantothenate) -- Consumption"	1.85034416401451e-05	0	0	0	0
"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"	0	0	0	0	1.40988044213851e-05
"Propanol (n-propanol, 1-Propanol) -- Production"	0	0	0	0	1.40988044213851e-05
"Stearic acid (Stearate, Octadecanoate) -- Production"	0	0	0	0	1.40988044213851e-05
