plate,genus,receptor,treat_type,treat_subtype,treat,treat_name,dose_type,dose_rank,log10_dose,dose,replicate,fold_act,max_e2,adj_max_e2
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,2,-0.3010299956639812,0.5,2,0.9175448275018254,102.64473521214069,-9.22416986534607
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,2,-0.3010299956639812,0.5,3,0.9386482758543966,105.0055548727021,-6.863350204784652
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,3,0,1,1,0.8685517241792449,97.1639303870954,-14.704974690391353
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,3,0,1,2,0.9239172413462112,103.35761017161273,-8.511294905874024
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,3,0,1,3,1.0221517241758848,114.34699420662149,2.4780891291347302
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,4,0.3010299956639812,2,1,0.9377379311001315,104.90371560179943,-6.965189475687325
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,4,0.3010299956639812,2,2,0.9066206896854118,101.42266387570291,-10.446241201783849
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,4,0.3010299956639812,2,3,0.9050482758427254,101.2467596607929,-10.622145416693854
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,-0.6989700043360187,0.2,1,0.9377379310025181,104.90371559087951,-6.965189486607244
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,-0.6989700043360187,0.2,2,0.8064827585568068,90.2203431636211,-21.648561913865663
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,-0.6989700043360187,0.2,3,0.8963586206341639,100.27465744711026,-11.5942476303765
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,-0.3010299956639812,0.5,1,0.8249379311647793,92.284903116291,-19.584001961195753
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,-0.3010299956639812,0.5,2,0.8092137929117403,90.5258609866365,-21.343044090850256
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,-0.3010299956639812,0.5,3,0.9173793101246847,102.62621896438864,-9.242686113098117
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,3,0,1,1,0.859034482783733,96.09924701282135,-15.769658064665407
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,3,0,1,2,0.8534896551028464,95.47895321131723,-16.389951866169525
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,3,0,1,3,0.9105103446592953,101.85779531876045,-10.011109758726306
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,4,0.3010299956639812,2,1,0.9169655172198558,102.57992840519658,-9.288976672290175
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,4,0.3010299956639812,2,2,0.8726068964090372,97.61757806434291,-14.25132701314385
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,extract_mg_ml,4,0.3010299956639812,2,3,0.9225931034734101,103.20948031761084,-8.659424759875918
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,1,-0.6989700043360187,0.2,1,0.8971862071908396,100.3672386490624,-11.501666428424357
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,1,-0.6989700043360187,0.2,2,0.8437241379457346,94.38649549943574,-17.48240957805102
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,1,-0.6989700043360187,0.2,3,0.9146482757422298,102.32070113829445,-9.548203939192305
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,2,-0.3010299956639812,0.5,1,0.9216000001004623,103.09838293065042,-8.770522146836342
