date,receptor,genus,treat_type,treat_subtype,treat,treat_name,dose_type,dose,replicate,fold_act,n_doses
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,1,1,0.9320052099497819,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,1,2,0.9914155467376549,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,1,3,1.096826712526883,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,2,1,1.0062459298883248,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,2,2,0.9728553668275131,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,2,3,0.9711680776853888,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.2,1,1.0062459297835802,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.2,2,0.8654016931690497,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.2,3,0.9618435853131014,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.5,1,0.8852051389999893,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.5,2,0.8683322477652716,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.5,3,0.9843999761145994,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,1,0.921792670709993,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,2,0.9158427564527349,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,3,0.9770291869923308,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,1,0.9839559528832769,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,2,0.9363566395079715,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,3,0.989994671777895,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.2,1,0.962731632577339,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.2,2,0.9053638032540837,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.2,3,0.9814694214888456,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.5,1,0.9889290155920407,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.5,2,0.9058966314816526,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,0.5,3,0.9941684918755851,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,1,1,0.9883961873715228,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,1,2,0.911935350257395,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,1,3,0.975253093221313,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,2,1,0.9849328045370801,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,2,2,0.9334260850186623,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma3,Primate High Fiber Sticks,extract_mg_ml,2,3,0.9143330768632859,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.2,1,0.9604227102771573,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.2,2,0.9605115149849206,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.2,3,0.9412408974589821,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.5,1,1.0152152030064523,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.5,2,0.985021609148552,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,0.5,3,0.9439050384395734,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,1,1,0.9629092414348048,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,1,2,1.0398141019132026,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,1,3,0.8720620447702834,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,2,1,1.0500266414605912,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,2,2,1.016014445531329,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m6c,Insectivore Diets,extract_mg_ml,2,3,0.9556272569705426,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.2,1,1.0510034930100345,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.2,2,0.9709016636294698,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.2,3,0.9700136170631737,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.5,1,0.9770291869923308,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.5,2,0.9379551239382691,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.5,3,0.9678823043813113,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,1,1.0512699070441158,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,2,0.9042093421638041,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,3,0.9249896393326306,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,1,0.965750991562799,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,2,1.0264045941258941,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,3,0.9212598425947555,8
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-10,1,1.2767791065532816,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-10,2,1.4186948264681531,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-10,3,1.1758059382146,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-9,1,2.3734870658640053,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-9,2,2.2628111720571824,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-9,3,2.523418219622304,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-8,1,49.76142957113181,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-8,2,52.75151830786076,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-8,3,52.141271297278855,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-7,1,181.09660889509468,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-7,2,193.24079136721537,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-7,3,193.22710184657467,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-6,1,196.1534147931647,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-6,2,200.61701906217726,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-6,3,207.85172003278112,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-5,1,157.11813961788357,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-5,2,190.3786853005899,62
2022-08-04,beta,Xanthonycticebus,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-5,3,172.41957305539074,62
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.2,1,1.0565680425592148,8
