plate,subj,genus,receptor,model,treat_type,treat_subtype,treat,treat_name,treat_desc,log10_dose,dose,replicate,fold_act,perc_e2,perc_e2_Dmax
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),0,1,3,35.017183582864064,62.63278078576929,44.573414921292766
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),0.3010299956639812,2,1,54.43190766383907,97.35853634239156,69.28644045619599
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),0.3010299956639812,2,2,55.25576251558994,98.83210774504018,70.33512628368732
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),0.3010299956639812,2,3,55.73356504251569,99.68671962029309,70.94332169245587
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),-0.6989700043360187,0.2,1,20.33698454131815,36.375338170922575,25.88697197942807
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),-0.6989700043360187,0.2,2,17.829546472079002,31.890459524045884,22.695251058036355
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),-0.6989700043360187,0.2,3,20.96279275446571,37.49467743860674,26.6835640034488
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),-0.3010299956639812,0.5,1,29.485074036499444,52.737884364976765,37.53158605414129
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),-0.3010299956639812,0.5,2,31.38077150668872,56.12858549905098,39.94462163434544
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),-0.3010299956639812,0.5,3,30.330801302401323,54.250577421071135,38.60811330380115
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),0,1,1,41.56883198902424,74.35125487256798,52.91301602413848
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),0,1,2,38.915055937239444,69.60463173788222,49.53502130950132
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),0,1,3,47.279560539302246,84.56563458046745,60.18220923529607
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),0.3010299956639812,2,1,58.704156603187556,105.00000843986182,74.7245912477925
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),0.3010299956639812,2,2,52.51366695973783,93.92751370660464,66.84470956654619
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma3,Mazuri<sup>®</sup> Primate High Fiber Sticks,Commercial Diet (Biscuit),0.3010299956639812,2,3,53.644268542855414,95.94974147783238,68.28385367577235
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),-0.6989700043360187,0.2,1,11.90120642740818,21.28685339556592,15.149059915041668
