date,receptor,species,dose_type,dose,treatment,assay,value_1,value_2,value_3
8/4/22,esr2,loris,extract_mg_ml,1,High Fiber,luciferase,148,152,158
8/4/22,esr2,loris,extract_mg_ml,2,High Fiber,luciferase,368,283,217
8/4/22,esr2,loris,extract_mg_ml,0.2,LS Ban,b_gal,1.0848,0.893,0.9482
8/4/22,esr2,loris,extract_mg_ml,0.5,LS Ban,b_gal,1.1017,1.0856,1.1409
8/4/22,esr2,loris,extract_mg_ml,1,LS Ban,b_gal,1.1607,0.955,1.0909
8/4/22,esr2,loris,extract_mg_ml,2,LS Ban,b_gal,1.2398,1.1567,1.1667
8/4/22,esr2,loris,extract_mg_ml,0.2,High Fiber,b_gal,1.1545,1.2095,1.1222
8/4/22,esr2,loris,extract_mg_ml,0.5,High Fiber,b_gal,1.1948,1.1623,1.0507
8/4/22,esr2,loris,extract_mg_ml,1,High Fiber,b_gal,1.2149,1.2635,1.131
8/4/22,esr2,loris,extract_mg_ml,2,High Fiber,b_gal,1.2985,1.1245,1.1793
8/4/22,esr2,loris,extract_mg_ml,0.2,Insect,luciferase,112,85,76
8/4/22,esr2,loris,extract_mg_ml,0.5,Insect,luciferase,118,114,114
8/4/22,esr2,loris,extract_mg_ml,1,Insect,luciferase,131,121,137
8/4/22,esr2,loris,extract_mg_ml,2,Insect,luciferase,217,161,188
8/4/22,esr2,loris,extract_mg_ml,0.2,Leafeater,luciferase,111,109,123
8/4/22,esr2,loris,extract_mg_ml,0.5,Leafeater,luciferase,99,100,112
8/4/22,esr2,loris,extract_mg_ml,1,Leafeater,luciferase,140,140,136
8/4/22,esr2,loris,extract_mg_ml,2,Leafeater,luciferase,209,196,212
8/4/22,esr2,loris,extract_mg_ml,0.2,Insect,b_gal,1.1623,1.0578,1.1742
8/4/22,esr2,loris,extract_mg_ml,0.5,Insect,b_gal,1.2489,1.1753,1.2164
8/4/22,esr2,loris,extract_mg_ml,1,Insect,b_gal,1.1747,1.1585,1.2469
8/4/22,esr2,loris,extract_mg_ml,2,Insect,b_gal,1.2603,1.2837,1.2015
8/4/22,esr2,loris,extract_mg_ml,0.2,Leafeater,b_gal,1.3217,1.2193,1.3245
8/4/22,esr2,loris,extract_mg_ml,0.5,Leafeater,b_gal,1.3244,1.2622,1.2792
8/4/22,esr2,loris,extract_mg_ml,1,Leafeater,b_gal,1.3001,1.2303,1.1948
8/4/22,esr2,loris,extract_mg_ml,2,Leafeater,b_gal,1.2732,1.2161,1.2413
8/4/22,esr1,human,control,,Control,luciferase,3915,3771,3575
8/4/22,esr1,human,vehicle,,Veh MeOH,luciferase,4444,4599,4560
8/4/22,esr1,human,molar_M,1.00E-13,E2,luciferase,4332,4455,3685
8/4/22,esr1,human,molar_M,1.00E-12,E2,luciferase,5850,6021,5547
8/4/22,esr1,human,molar_M,1.00E-11,E2,luciferase,19101,18905,18435
8/4/22,esr1,human,molar_M,1.00E-10,E2,luciferase,29442,30328,31950
8/4/22,esr1,human,molar_M,1.00E-09,E2,luciferase,32309,33644,25689
8/4/22,esr1,human,molar_M,1.00E-08,E2,luciferase,29959,30735,27649
8/4/22,esr1,human,control,,Control,b_gal,1.1056,1.0084,0.9969
8/4/22,esr1,human,vehicle,,Veh MeOH,b_gal,1.1959,1.0693,1.0157
8/4/22,esr1,human,molar_M,1.00E-13,E2,b_gal,1.1692,1.0695,0.9322
8/4/22,esr1,human,molar_M,1.00E-12,E2,b_gal,1.1817,1.0803,0.9529
8/4/22,esr1,human,molar_M,1.00E-11,E2,b_gal,1.1267,1.0571,0.9644
8/4/22,esr1,human,molar_M,1.00E-10,E2,b_gal,0.9348,,0.9432
8/4/22,esr1,human,molar_M,1.00E-09,E2,b_gal,0.9197,0.8856,0.7087
8/4/22,esr1,human,molar_M,1.00E-08,E2,b_gal,0.8995,0.8413,0.7892
8/4/22,esr1,human,extract_mg_ml,0.2,LS Cin,luciferase,6584,6331,6163
