"ID"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"ko00190"	0.00675334864130778	0.00638538894194216	0.00579515461673825	0.0107313938789936	0.00683225949578959	0.00699071985724303	0.00731082495800251	0.00749518148987106
"ko00195"	0.00185318113097212	0.00188922618624153	0.00193727284336636	0.00191992608291169	0.00189305771089541	0.00188391837543829	0.00191620583205312	0.0018729405240274
"ko00220"	0.00379996493269398	0.00380092312860114	0.00387380841893846	0.00376088724769778	0.00372661743316499	0.00368460321744506	0.0036550057663812	0.00358846842902583
"ko00230"	0.0149489395813309	0.0154487501148544	0.0158035884341372	0.0147641903496056	0.0152876865334054	0.0153218614616656	0.0154592379090784	0.0151083684752062
"ko00240"	0.0112419897060998	0.0117150957198078	0.0122590496967416	0.0100068797189273	0.0115353075747541	0.0115926683517596	0.0114572247195993	0.0113128030480743
"ko00250"	0.00671599620311661	0.00659699056274645	0.00658819688856799	0.00669990899332892	0.0066101414171938	0.00675866598814552	0.00658593935387851	0.00684673813274423
"ko00253"	0.000130473476242877	0.000145569345693374	0.000189130939823611	0.000201867113389737	0.000160391504874089	0.000157200545558061	0.000143490087158545	0.000125104459980203
"ko00260"	0.00803549578675367	0.00811253763339593	0.00838468519458994	0.00766349348634025	0.00808161625876509	0.00803493980079126	0.00799630558329065	0.00792851586174238
"ko00261"	0.00169509590876481	0.00167783143056264	0.00160870157418316	0.00188363560657709	0.00168335336570543	0.00178402600527867	0.00175573117301602	0.0018706753007815
"ko00270"	0.00865828452065101	0.00885856760546617	0.00937815970650142	0.00796226264131245	0.00875125207234875	0.00854719248210938	0.00849823239610487	0.00811160132906666
"ko00280"	0.00521966925194614	0.00561112621990455	0.00613517451303592	0.00400675824863281	0.00542201881828366	0.00550561649260532	0.00533329713682631	0.00524499466157432
"ko00281"	0.000490106260321952	0.000594136099723928	0.000706108938433129	0.00040225703370686	0.000559146331509006	0.00056558876794021	0.000564309412402794	0.000465175922080427
