tax	hdz-004-s3	hdz-005-s11	hdz-010-s23	hdz-011-s10	hdz-013-s8	hdz-014-s18	hdz-015-s28	hdz-016-s21	hdz-018-s30	hdz-019-s13	hdz-020-s12	hdz-021-s7	hdz-022-s31	hdz-023-s20	hdz-024-s19	hdz-025-s17	hdz-026-s15	hdz-027-s32	hdz-028-s16	hdz-028-s36	hdz-029-s14	hdz-030-s37	hdz-030-s6	hdz-032-s46	hdz-033-s43	hdz-034-s44	hdz-038-s45	hdz-039-s33	hdz-041-s53	hdz-045-s49	hdz-046-s48	hdz-051-s54	hdz-052-s50	hdz-055-s22	hdz-058-s63	hdz-060-s80	hdz-063-s1	hdz-064-s2	hdz-065-s4	hdz-066-s5	hdz-067-s9	hdz-068-s26	hdz-070-s29	hdz-071-s79	hdz-072-s34	hdz-076-s24	hdz-077-s38	hdz-078-s27	hdz-079-s25	hdz-081-s40	hdz-083-s39	hdz-084-s35	hdz-085-s92	hdz-087-s78	hdz-089-s64	hdz-093-s65	hdz-094-s66	hdz-097-s91	hdz-099-s72	hdz-101-s57	hdz-104-s69	hdz-106-s83	hdz-107-s55	hdz-108-s60	hdz-155-s67	hdz-156-s68	hdz-161-s77	hdz-163-s82	hdz-168-s58	hdz-175-s61	hdz-176-s51	hdz-177-s47	hdz-181-s74	hdz-182-s52	hdz-183-s84	hdz-186-s73	hdz-187-s71	hdz-188-s62	hdz-190-s59	hdz-191-s56	hdz-192-s75	hdz-193-s70	hdz-194-s87	hdz-196-s76	hdz-198-s88	hdz-199-s86	hdz-217-s89	hdz-219-s81	hdz-220-s85	hdz-221-s90	pl-ntc-001-ctrl	pl-ntc-003-ctrl	pl-ntc-004-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	16	60	28	9	137	76	1	106	1	38	93	24	10	50	61	41	88	0	47	20	21	9	33	1	0	23	13	11	29	7	0	36	12	94	50	90	146	57	203	17	135	4	5	51	3	18	7	9	3	3	0	12	343	175	13	19	39	243	9	52	16	66	7	107	12	23	18	201	29	12	13	9	59	29	25	104	112	14	31	13	121	19	14	153	197	48	120	54	246	58	0	1	0	4832
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	31	65	42	20	97	126	1	67	3	86	74	39	15	40	125	77	54	1	43	12	60	12	53	2	0	20	8	7	13	19	0	6	38	107	29	47	89	38	132	20	56	6	3	48	3	8	0	6	8	1	0	20	61	22	1	16	7	102	23	163	16	116	30	7	5	16	20	31	20	20	14	10	77	65	29	58	55	12	19	16	34	77	30	160	76	70	159	123	202	71	0	0	0	3910
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	1	0	0	111	23	0	0	0	0	0	0	6	0	0	0	26	0	3	0	0	0	0	0	0	0	1	7	0	0	0	15	0	2	26	561	62	2	237	4	48	2	2	213	0	82	5	1	0	1	0	10	177	23	0	2	9	9	0	17	8	0	0	9	48	62	0	82	54	76	66	6	229	0	0	494	335	0	5	0	11	1	0	210	189	0	0	0	329	0	0	0	0	3902
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	27	57	65	22	69	83	2	141	0	24	104	41	4	29	108	22	71	1	89	32	15	8	23	0	0	12	18	9	16	1	0	48	0	59	30	102	75	51	136	8	67	0	3	45	0	15	3	9	0	4	0	5	191	110	10	13	5	153	14	32	10	80	32	33	14	23	21	87	16	24	1	42	43	12	19	70	60	2	58	2	116	16	16	105	166	43	14	11	316	67	0	0	0	3800
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	7	67	7	2	54	41	0	106	2	23	379	7	6	7	20	6	101	0	59	29	11	6	10	0	0	5	13	13	6	3	0	43	4	23	54	274	98	44	184	3	193	2	2	54	5	17	1	8	0	2	0	59	93	117	6	0	11	37	7	101	4	53	8	26	20	22	18	229	37	19	8	18	46	9	6	153	106	3	33	2	34	15	14	28	104	23	10	70	57	82	0	0	0	3689
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	30	155	52	36	74	144	1	66	0	78	90	13	7	56	12	104	51	1	34	12	68	11	65	1	0	33	14	8	20	7	0	13	18	107	10	56	46	106	45	28	77	3	6	36	14	12	1	6	10	1	0	3	90	80	0	11	4	99	133	108	26	70	18	12	5	13	120	86	12	5	2	15	26	10	114	61	38	10	11	13	94	122	67	34	29	85	16	60	77	37	0	0	1	3655
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	18	103	38	27	172	159	0	70	0	55	141	47	9	58	31	50	60	0	27	6	25	7	39	0	0	17	15	14	10	14	0	10	11	42	11	61	19	63	44	17	30	2	11	45	4	5	1	1	4	1	0	7	42	47	0	11	13	31	25	107	11	109	13	11	15	6	45	104	5	8	11	7	51	49	44	81	70	8	9	14	80	69	63	37	85	26	54	88	55	27	0	0	0	3132
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	29	128	38	27	53	57	2	41	0	53	74	11	2	35	14	83	31	4	20	2	62	7	43	0	0	28	3	2	17	4	0	12	15	76	11	46	40	96	53	23	53	5	9	28	14	4	0	3	7	1	0	6	82	61	2	4	2	103	115	73	16	52	21	10	3	3	66	49	12	4	4	14	16	13	77	48	26	7	5	11	71	101	71	29	30	62	5	62	54	26	0	0	0	2782
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	69	188	4	2	13	16	1	5	0	209	45	7	2	54	5	1	14	11	1	2	105	13	45	0	0	27	0	0	35	40	0	7	16	48	5	89	5	51	19	26	9	4	10	14	5	1	0	0	6	1	0	1	7	3	0	3	5	8	4	43	6	33	16	3	16	19	13	17	14	30	4	13	35	4	4	69	54	57	5	23	8	51	69	30	52	33	220	294	47	34	0	0	0	2577
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	72	140	14	5	96	50	1	38	1	112	42	32	5	52	64	21	38	0	30	3	27	14	65	0	0	36	6	2	33	6	0	10	14	78	28	49	40	55	45	13	48	5	4	13	2	3	1	2	4	0	0	10	51	12	9	28	12	38	20	70	7	43	6	11	6	12	14	28	13	25	12	9	41	16	25	27	45	5	8	5	23	24	12	99	38	30	158	60	43	24	0	0	0	2538
