tax	hdz-001-s231	hdz-050-s232	hdz-057-s233	hdz-088-s234	hdz-090-s235	hdz-091-s236	hdz-092-s237	hdz-098-s238	hdz-103-s239	hdz-109-s240	hdz-157-s241	hdz-160-s242	hdz-162-s243	hdz-169-s244	hdz-170-s245	hdz-173-s246	hdz-174-s247	hdz-184-s248	hdz-204-s249	hdz-212-s250	hdz-214-s251	hdz-339-s252	hdz-437-s253	pl-ntc-011-ctrl	total
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	21	4	4	17	0	0	0	1	4	3	7	9	5	2	1	0	2	2	7	5	5	6	7	0	112
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	48	0	5	3	0	1	0	1	8	0	1	7	2	2	0	0	2	4	0	8	0	0	15	0	107
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	5	0	0	6	0	10	0	3	2	1	2	9	2	4	8	9	4	4	7	5	1	0	18	0	100
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	8	2	9	7	0	5	1	2	2	0	3	6	3	5	4	5	7	4	4	4	4	1	10	0	96
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	2	8	2	4	1	5	1	14	5	2	1	2	7	8	5	1	8	9	1	0	2	3	1	1	93
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	9	0	11	0	0	3	0	2	0	1	1	9	0	8	1	0	3	2	11	6	1	12	12	0	92
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	8	2	3	6	2	8	1	0	3	3	3	9	0	2	9	5	5	3	1	3	2	3	7	0	88
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	5	0	0	1	1	3	1	0	0	2	0	14	0	6	0	2	13	2	2	16	1	0	13	0	82
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter massiliensis	10	2	0	0	1	0	8	0	17	0	5	0	3	0	18	7	0	0	0	5	0	0	0	0	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	2	3	2	2	2	1	1	3	4	6	5	7	4	3	2	4	2	6	3	0	4	1	1	0	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tertium	1	0	0	0	0	0	10	0	2	0	1	27	1	0	0	7	0	0	0	15	1	0	3	0	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	8	2	5	0	2	1	2	0	2	1	0	5	4	2	2	5	4	2	5	3	1	2	9	0	67
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	29	8	1	1	1	1	2	0	0	0	1	4	0	1	0	0	1	4	0	0	5	0	6	0	65
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	0	0	4	10	1	1	0	2	0	1	1	20	0	3	0	0	1	3	4	1	3	2	6	0	63
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	2	0	0	0	0	0	0	0	1	0	2	23	1	0	0	24	0	0	0	0	0	0	10	0	63
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parafannyhessea;Parafannyhessea umbonata	8	4	0	0	0	0	2	0	3	1	3	6	3	0	6	8	0	1	0	5	2	0	9	0	61
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	38	0	59
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides rodentium	2	1	4	1	0	0	0	0	3	0	1	1	1	3	4	1	1	3	1	31	0	0	0	0	58
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Millionella;Millionella massiliensis	3	6	1	3	2	1	2	1	5	1	1	6	1	1	2	1	6	8	2	0	0	0	4	0	57
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Feifaniaceae;Feifania;Feifania hominis	2	0	2	8	1	5	5	0	3	0	0	0	4	0	3	10	10	0	1	0	0	2	0	0	56
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum faecicola	9	3	0	0	2	0	3	0	2	0	4	5	0	0	4	9	2	2	0	2	1	0	7	0	55
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	53
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii	2	0	0	0	1	2	9	4	0	0	0	0	1	6	2	22	2	2	0	0	0	0	0	0	53
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	1	3	0	2	3	1	2	0	3	1	1	0	0	1	4	8	7	3	4	1	4	1	3	0	53
