"Taxa"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00114285714285714	0.00114285714285714	0.00228571428571429	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.00271428571428571	0.001	0.00685714285714286	0.00157142857142857	0.00557142857142857	0.002	0.00342857142857143	0.00728571428571429	0.00428571428571429	0.003	0.00771428571428571	0.00371428571428571	0.00214285714285714	0.000714285714285714	0.00114285714285714	0.00157142857142857	0.002	0.000857142857142857	0.000857142857142857	0.0201428571428571	0.00285714285714286	0.000857142857142857	0.000571428571428571	0.00342857142857143	0.00228571428571429	0.00557142857142857	0.00128571428571429	0.002	0.00971428571428571	0.001	0.00114285714285714	0.00114285714285714	0.00214285714285714	0.000428571428571429	0.000857142857142857	0.00342857142857143	0.00342857142857143	0.00942857142857143	0.00242857142857143	0.000857142857142857	0.005	0.00285714285714286	0.00642857142857143	0.00257142857142857	0.00128571428571429	0.000857142857142857	0.00171428571428571	0.00185714285714286	0.000142857142857143	0.0135714285714286	0.00542857142857143	0.00114285714285714	0.00242857142857143	0.00228571428571429	0.00414285714285714	0.00171428571428571	0	0.00128571428571429	0.00171428571428571	0	0	0	0.00314285714285714	0.003	0.017
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0.000142857142857143	0.00471428571428571	0.000428571428571429	0.000142857142857143	0.00257142857142857	0.000428571428571429	0.003	0.00242857142857143	0.000571428571428571	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.00171428571428571	0.00428571428571429	0.000428571428571429	0.000142857142857143	0.000285714285714286	0	0	0	0	0	0	0.000857142857142857	0.0112857142857143	0.000428571428571429	0	0.00328571428571429	0.000142857142857143	0.00271428571428571	0.000285714285714286	0	0	0	0.0147142857142857	0.002	0	0	0.000142857142857143	0.000571428571428571	0	0.00142857142857143	0	0	0.001	0.000142857142857143	0	0.00285714285714286	0	0	0.00114285714285714	0.000285714285714286	0.000142857142857143	0.00928571428571429	0.005	0.0531428571428571	0.000428571428571429	0.0112857142857143	0.0127142857142857	0.000142857142857143	0.000142857142857143	0.00171428571428571	0.00814285714285714	0	0.000285714285714286	0.00171428571428571	0	0.000142857142857143	0.001
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000714285714285714	0.000571428571428571	0.000714285714285714	0	0.000714285714285714	0.00342857142857143	0.00228571428571429	0.00257142857142857	0.00128571428571429	0.0118571428571429	0.00228571428571429	0.001	0.00114285714285714	0.00214285714285714	0.004	0.00957142857142857	0.00185714285714286	0.00114285714285714	0.002	0.000142857142857143	0.000857142857142857	0.00371428571428571	0.000142857142857143	0.00157142857142857	0.000428571428571429	0.000285714285714286	0.00157142857142857	0.00114285714285714	0.00971428571428571	0.00328571428571429	0.002	0.00214285714285714	0.000571428571428571	0.000571428571428571	0.00185714285714286	0.00142857142857143	0.00157142857142857	0.000714285714285714	0.00457142857142857	0.00357142857142857	0.000571428571428571	0.000285714285714286	0.00114285714285714	0.005	0.002	0.00128571428571429	0.000857142857142857	0.00614285714285714	0.00271428571428571	0.00228571428571429	0.00171428571428571	0.000714285714285714	0.000571428571428571	0.00285714285714286	0.000428571428571429	0.000714285714285714	0.00442857142857143	0.002	0	0.00142857142857143	0.00185714285714286	0.000285714285714286	0.00357142857142857	0.00185714285714286	0.00171428571428571	0.000428571428571429	0.00457142857142857	0	0.00442857142857143	0.00528571428571429	0.000571428571428571
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000142857142857143	0.000714285714285714	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0	0.002	0.000142857142857143	0.001	0.000142857142857143	0.000857142857142857	0.00442857142857143	0.000857142857142857	0.00228571428571429	0.000428571428571429	0.004	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.00128571428571429	0.00185714285714286	0.000285714285714286	0	0.000285714285714286	0.00128571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.00142857142857143	0.000571428571428571	0.000285714285714286	0.000571428571428571	0.000428571428571429	0.00642857142857143	0.000285714285714286	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.00171428571428571	0.00185714285714286	0.00114285714285714	0.001	0.000857142857142857	0.000142857142857143	0.00328571428571429	0.000428571428571429	0.00114285714285714	0.00128571428571429	0.000571428571428571	0.000714285714285714	0.000285714285714286	0.000142857142857143	0.00271428571428571	0.000428571428571429	0.00257142857142857	0	0.003	0.00157142857142857	0.00414285714285714	0.000714285714285714	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales"	0.000428571428571429	0.00114285714285714	0.000142857142857143	0.000714285714285714	0.000285714285714286	0.000571428571428571	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.000571428571428571	0.000857142857142857	0.000714285714285714	0.000571428571428571	0.000857142857142857	0.000285714285714286	0.000285714285714286	0.000571428571428571	0.000142857142857143	0.000142857142857143	0	0.001	0.000142857142857143	0.001	0.000428571428571429	0.000428571428571429	0.000285714285714286	0.000285714285714286	0	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000714285714285714	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.001	0	0.000857142857142857	0	0.000428571428571429	0.000714285714285714	0.000571428571428571	0	0.000142857142857143	0.00228571428571429	0.000285714285714286	0	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.000142857142857143	0.000428571428571429	0.000142857142857143	0	0.00128571428571429	0.000285714285714286	0.000857142857142857	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales"	0	0	0	0	0	0	0	0	0.000857142857142857	0	0.000285714285714286	0	0.000142857142857143	0	0	0.00185714285714286	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0	0.000142857142857143	0	0	0.00357142857142857	0	0.000142857142857143	0.000285714285714286	0.000428571428571429	0	0.000142857142857143	0.00228571428571429	0.000285714285714286	0	0.000285714285714286	0.000285714285714286	0	0.000428571428571429	0	0	0.000142857142857143	0	0	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0	0.000142857142857143	0.002	0.000857142857142857	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0.00142857142857143	0.000142857142857143	0	0	0	0.000142857142857143	0	0	0.00114285714285714	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0.000285714285714286	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0.000571428571428571	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0.001	0	0.000142857142857143	0.000428571428571429	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0	0.00657142857142857	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000142857142857143	0	0	0	0	0	0.000285714285714286	0	0.000285714285714286	0	0	0	0	0.000428571428571429	0	0.000142857142857143	0.000142857142857143	0	0	0	0.000142857142857143	0	0	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000857142857142857	0	0	0.000571428571428571	0	0.000142857142857143	0	0.00157142857142857	0	0	0	0	0	0.000285714285714286	0	0.000142857142857143	0.000142857142857143	0.00228571428571429	0.000142857142857143	0	0	0.00128571428571429	0.000428571428571429	0	0.000285714285714286	0	0.000285714285714286	0	0	0	0.000285714285714286	0.000571428571428571	0	0	0.000142857142857143	0	0	0.000142857142857143	0	0	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales"	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00128571428571429	0.00514285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0.000142857142857143	0	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000285714285714286	0	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0	0	0	0.000571428571428571	0.000285714285714286	0	0	0	0	0.000285714285714286	0	0.000285714285714286	0.000285714285714286	0	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0
