"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.0100128736947504	0.00042863266180883	0.00100014287755394	0.000858860578299456	0.00128681727194738	0.000857142857142857	0.000857142857142857	0.000286082105564297	0.0012921751615219
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena contorta"	0.00986983264196824	0.00100014287755394	0.00085726532361766	0.000572573718866304	0	0.00142857142857143	0.000714285714285714	0.000143041052782148	0.0018664752333094
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus niger"	0	0.00142877553936277	0.00514359194170596	0.00128829086744918	0.00114383757506434	0.000428571428571429	0.00128571428571429	0.00100128736947504	0.00272792534099067
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.00300386210842512	0.00042863266180883	0.00285755107872553	0.00143143429716576	0.000714898484415213	0.000428571428571429	0.000714285714285714	0.00214561579173223	0.00215362526920316
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000429123158346445	0.00357193884840692	0.000571510215745106	0.00143143429716576	0.00243065484701172	0.000571428571428571	0.000285714285714286	0.00257473895007867	0.00143575017946877
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0.00543556000572164	0.00042863266180883	0.000714387769681383	0.000858860578299456	0.00057191878753217	0.00171428571428571	0.00128571428571429	0.000143041052782148	0.00201005025125628
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium myosotis"	0	0	0	0.00343544231319782	0	0	0	0	0.00789662598707825
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.00672292948076098	0.000571510215745106	0.000142877553936277	0.000429430289149728	0.000857878181298256	0.000142857142857143	0.000428571428571429	0.000429123158346445	0.000717875089734386
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0	0	0	0.00186086458631549	0.00314555333142694	0.003	0.000857142857142857	0.00143041052782148	0.000143575017946877
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.00171649263338578	0.000285755107872553	0	0.00071571714858288	0.00357449242207607	0	0	0.00314690316120727	0.000717875089734386
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.00143041052782148	0.000142877553936277	0.000714387769681383	0.00157457772688234	0	0.000857142857142857	0.000428571428571429	0.000429123158346445	0.00445082555635319
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oryzae"	0.00185953368616793	0	0.000571510215745106	0.00143143429716576	0.00228767515012868	0	0	0.00185953368616793	0.00201005025125628
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.00672292948076098	0.000285755107872553	0	0.00071571714858288	0	0.000857142857142857	0	0.000286082105564297	0.000287150035893755
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium rousetti"	0	0	0	0.00372172917263098	0	0	0	0	0.00531227566403446
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__|s__Clostridium leptum"	0.00143041052782148	0.00042863266180883	0.00157165309329904	0.000286286859433152	0.00142979696883043	0.000571428571428571	0.000714285714285714	0.00157345158060363	0.000861450107681263
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	0.00328994421398942	0.00100014287755394	0.000571510215745106	0.000572573718866304	0.00142979696883043	0.000428571428571429	0.000428571428571429	0.000572164211128594	0.000430725053840632
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium samirii"	0	0	0	0.00400801603206413	0	0	0	0	0.00459440057430007
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio hungatei"	0.000429123158346445	0.00042863266180883	0.0024289184169167	0.00071571714858288	0.000142979696883043	0.00128571428571429	0.001	0.000143041052782148	0.0018664752333094
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus"	0.00557860105850379	0	0.000142877553936277	0.000572573718866304	0.000428939090649128	0	0	0.000143041052782148	0.0012921751615219
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium cebidarum"	0	0	0	0.00429430289149728	0	0	0	0	0.00358937544867193
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena orotica"	0.00572164211128594	0.000285755107872553	0.000285755107872553	0.000286286859433152	0	0.000142857142857143	0.000142857142857143	0.000143041052782148	0.000717875089734386
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella clara"	0	0.000285755107872553	0.000142877553936277	0.00586888061837962	0.000428939090649128	0	0.000142857142857143	0.000143041052782148	0.000430725053840632
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.00114432842225719	0	0.00171453064723532	0.00100200400801603	0.00057191878753217	0.00114285714285714	0.000142857142857143	0.00114432842225719	0.000574300071787509
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma|s__Asteroleplasma anaerobium"	0.000858246316692891	0	0.000142877553936277	0.000858860578299456	0.000142979696883043	0	0.000142857142857143	0.000572164211128594	0.00459440057430007
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.00100128736947504	0.000714387769681383	0.00100014287755394	0.00071571714858288	0.000857878181298256	0.000857142857142857	0.000285714285714286	0.000715205263910742	0.00114860014357502
