"ID"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"txid1912896"	3	2	7	0	1	1	15	1	1	0	0	0	0	4	2	0	0	1	1	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	3	0	11	3	0	1	0	0	1	3	0	8	14	4	0	23	8	13	4	4	1	8	0	0	0	0	0	3	3	0	0	1	3
"txid1903262"	11	18	8	2	4	5	9	72	93	4	12	11	4	34	7	31	8	118	3	74	4	50	9	4	12	21	10	11	15	19	17	11	25	17	77	10	142	14	14	13	5	27	8	9	11	14	9	51	76	27	16	18	20	5	12	41	17	46	24	0	1	20	8	6	5	19	37
"txid28116"	3	7	10	0	1	6	11	1	2	1	1	1	0	24	3	3	2	2	0	1	0	71	4	1	4	1	4	0	1	0	1	0	1	4	4	0	21	3	2	1	0	0	12	4	3	20	31	17	1	65	26	28	6	16	2	7	0	5	1	0	0	2	0	0	1	11	5
"txid1236512"	3	1	2	0	0	2	2	2	3	1	1	4	1	0	1	2	1	2	1	0	0	11	2	0	2	2	3	1	2	1	2	4	0	1	1	1	0	3	2	5	0	0	3	1	2	19	6	26	3	3	4	7	2	2	0	5	0	2	1	0	0	1	1	0	0	3	0
"txid818"	25	5	43	0	11	16	18	0	0	8	5	3	1	21	6	14	1	0	1	0	0	65	2	0	1	1	5	9	10	1	1	0	0	20	0	1	0	2	1	1	10	0	1	0	4	21	1	1	0	25	3	0	1	7	2	4	1	2	2	0	0	12	4	0	2	7	3
"txid820"	24	15	25	0	5	15	36	5	21	1	4	6	2	11	5	12	1	12	3	5	5	111	18	0	13	14	8	9	10	13	10	31	1	7	11	6	18	4	6	28	6	5	14	18	13	32	49	16	25	72	20	83	33	49	6	19	9	17	19	3	1	14	8	0	2	21	15
"txid657309"	1	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	7	6	4	0	12	10	5	2	2	0	1	1	0	0	0	0	0	0	0	0	0	1
"txid435590"	1	0	7	0	0	3	49	3	3	9	0	0	0	27	4	12	3	2	5	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	1	1	8	4	2	0	0	0	3	5	8	43	9	7	1	85	18	13	3	5	5	27	0	2	11	0	0	2	0	0	0	1	0
"txid487174"	17	6	14	0	16	7	30	1	1	1	1	0	0	2	1	7	2	2	0	5	3	3	2	0	4	1	4	1	3	1	0	3	2	4	4	2	3	0	1	2	0	1	4	5	4	4	12	5	1	8	5	9	3	5	0	2	5	4	2	0	0	3	5	0	1	2	1
"txid397865"	8	5	15	3	32	16	19	14	23	2	12	11	2	40	8	44	11	22	3	48	15	45	23	8	31	13	23	10	8	4	4	15	8	4	24	2	22	3	1	6	7	1	38	11	22	12	24	12	26	33	19	24	12	23	14	5	20	17	19	1	1	13	15	4	19	23	10
"txid2518971"	5	3	4	2	11	2	5	5	10	0	0	7	0	3	3	1	4	9	0	4	2	17	2	1	1	1	4	4	3	1	2	1	4	2	10	0	10	1	1	4	2	2	10	4	7	2	3	9	7	1	6	9	6	3	2	3	2	1	4	0	1	6	2	0	4	4	3
"txid2530391"	23	52	76	0	100	43	349	3	42	2	9	7	2	15	13	19	28	3	14	5	118	92	114	31	56	58	51	74	22	37	41	96	21	82	52	31	78	59	66	77	44	21	202	109	112	169	209	38	32	115	215	186	346	228	68	85	71	127	94	5	2	62	50	4	53	201	35
"txid2601703"	1	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1	1	1	0	1	0	1	2	0	0	0	0	0	1	3	8	5	1	1	5	1	0	3	1	2	1	3	3	0	0	1	3	0	0	1	1	0	0	0	1
"txid2530390"	7	12	26	0	16	19	36	0	2	0	3	0	0	4	1	12	9	2	9	1	10	20	15	6	28	21	24	14	9	16	16	26	11	19	25	12	43	16	14	20	10	12	66	36	55	43	65	21	17	54	55	101	47	81	21	31	21	56	24	6	3	35	15	4	3	9	15
"txid1796646"	0	1	1	0	0	1	2	0	1	0	0	0	0	1	0	1	1	2	0	1	1	2	0	0	2	0	1	1	1	0	0	1	0	0	2	0	4	2	1	0	0	0	0	1	0	2	0	2	0	0	2	1	1	2	1	1	0	2	0	0	0	2	0	0	0	1	0
"txid2094151"	3	2	4	4	9	5	8	9	13	0	1	0	1	3	1	1	2	6	2	9	6	9	5	1	5	5	4	11	3	5	4	5	6	6	19	1	22	5	3	2	2	17	14	9	8	11	7	9	28	6	11	22	8	12	6	5	12	12	6	1	0	8	8	2	2	1	4
"txid2606626"	1	0	0	1	1	0	2	5	4	0	1	0	0	1	1	1	1	3	0	2	0	4	1	0	2	1	2	1	1	1	0	0	1	0	6	1	12	0	0	0	0	4	5	1	0	0	1	2	8	3	1	5	3	2	2	2	1	1	0	0	0	1	1	1	0	1	3
"txid2042309"	2	2	20	0	1	2	1	0	1	0	0	2	0	1	0	1	0	2	0	0	0	5	2	1	1	0	2	0	0	0	1	1	0	0	4	0	5	2	1	0	0	0	17	25	11	16	14	1	0	3	0	5	20	7	0	2	0	7	9	0	0	6	4	0	1	5	1
"txid28118"	1	1	2	0	1	0	0	0	4	1	2	14	1	6	2	1	6	2	0	2	4	4	20	4	8	4	21	4	2	2	3	6	0	10	6	4	5	3	4	4	5	0	5	8	21	24	7	2	4	1	25	2	14	9	1	0	5	23	19	0	0	11	7	0	9	23	8
"txid1841864"	28	29	20	18	12	46	26	12	50	29	30	30	15	37	18	64	37	44	19	43	30	75	32	13	33	48	48	38	17	17	39	49	24	53	46	27	41	25	56	19	21	26	58	28	31	41	52	22	46	30	15	35	24	31	18	29	18	18	70	7	1	27	14	9	17	19	30
"txid1870999"	10	5	7	4	3	5	3	5	20	5	11	7	8	5	3	10	13	16	7	17	20	7	13	7	8	5	15	11	4	4	6	8	12	14	14	13	9	4	5	5	3	12	16	7	1	5	10	18	13	0	3	2	11	11	6	4	4	8	5	1	1	3	4	1	5	11	4
"txid305719"	12	13	10	7	6	13	9	15	26	10	14	11	9	11	4	14	12	36	8	37	23	11	9	11	8	9	12	11	8	7	11	11	19	10	17	9	22	13	7	12	4	19	20	8	7	4	9	18	35	6	8	6	14	25	7	9	16	16	20	0	0	6	8	4	6	12	13
"txid873513"	115	173	190	32	129	87	102	196	211	102	95	62	111	213	88	135	121	244	55	324	162	323	137	66	225	242	128	216	84	162	124	204	123	110	227	91	216	130	136	146	34	170	174	104	66	68	89	109	213	65	40	108	75	109	81	76	100	234	142	19	6	106	64	19	61	145	160
"txid537011"	0	0	0	0	0	0	0	18	297	0	0	10	0	6	17	0	1	24	0	19	0	0	0	0	0	0	0	0	0	0	0	0	111	0	143	0	212	1	0	0	0	9	0	0	0	0	0	64	455	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
"txid2801997"	2	3	2	0	2	0	1	0	0	1	2	0	1	3	0	0	0	2	0	2	1	3	3	0	1	0	0	0	2	2	2	3	0	0	0	2	0	0	0	2	0	0	0	0	0	2	3	0	1	0	1	0	0	2	2	1	0	0	2	0	0	1	0	0	1	0	0
"txid1776379"	3	5	0	1	1	2	2	2	4	4	5	2	2	3	1	6	3	4	2	5	6	7	7	3	4	4	5	3	3	1	2	2	2	3	2	5	2	4	3	1	1	7	6	4	2	0	0	4	3	1	0	2	3	4	2	3	4	13	6	0	1	3	3	0	2	3	3
"txid840"	5	4	3	0	1	3	2	5	6	1	6	6	3	4	0	3	8	10	3	16	10	6	3	3	2	5	6	4	2	5	4	5	4	4	9	3	3	7	2	3	1	10	9	8	2	1	2	5	6	0	0	3	4	7	5	4	4	6	4	1	0	3	0	3	3	7	2
"txid439703"	2	2	1	0	1	2	0	1	4	2	2	0	2	2	1	0	0	9	0	5	3	4	2	0	1	1	1	1	1	1	1	1	0	2	1	1	6	2	0	4	0	6	2	0	1	2	1	1	1	0	0	1	1	3	0	2	0	3	5	0	0	0	1	0	3	2	0
"txid2479840"	36	58	47	24	29	33	28	38	75	47	81	31	38	63	31	56	73	61	36	118	77	54	48	49	75	70	74	77	31	51	52	55	62	54	59	70	41	60	50	37	11	66	60	36	26	18	23	97	64	3	12	24	38	56	42	30	47	73	63	9	3	24	19	17	30	53	70
"txid1676614"	556	823	861	433	559	737	414	621	1085	589	890	626	575	776	492	553	760	1240	756	1975	1323	725	1019	665	1028	989	880	1152	284	644	809	1064	1374	1260	1364	1123	621	815	847	548	235	943	1113	707	487	342	286	1048	598	14	286	285	551	908	578	528	495	860	683	119	31	355	379	313	593	1135	859
"txid1852370"	25	62	35	40	18	19	23	83	68	21	25	15	15	42	15	23	17	118	7	78	23	41	33	8	19	35	15	29	13	29	42	16	57	28	63	23	108	23	32	18	5	53	44	8	10	11	32	102	250	46	57	46	25	51	16	25	26	59	33	11	4	24	13	8	23	18	69
"txid742725"	0	0	2	0	0	0	3	2	7	0	0	2	0	2	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	3	0	0	0	0	2	0	0	5	7	1	0	6	4	7	2	1	2	5	0	0	2	0	0	0	0	0	0	0	0
"txid1871023"	2	1	4	0	7	1	3	3	4	0	1	3	1	8	1	9	5	3	0	8	3	6	6	1	7	3	5	2	1	0	0	1	2	1	1	0	5	0	0	1	3	1	4	3	5	1	5	2	3	4	2	5	0	7	2	2	0	5	5	0	2	4	4	1	2	3	0
"txid823"	23	19	32	1	18	17	32	13	33	6	7	9	3	17	12	26	10	13	6	13	12	79	18	3	9	15	10	11	7	8	15	25	6	6	12	7	11	7	8	11	7	27	23	23	15	13	41	12	62	48	72	73	30	27	11	12	10	12	22	5	1	30	11	9	13	37	26
"txid574930"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	2	10	0	0	0	0	1	0	2	0	1	8	0	0	0	0	2	3	14	2	4	0	19	2	1	1	1	0	3	3	1	2	0	0	0	0	0	0	0	1
"txid387661"	5	5	5	0	0	1	4	4	1	3	4	3	3	4	1	7	3	2	1	3	6	4	4	0	2	5	2	4	2	3	4	3	1	2	1	0	4	0	4	0	1	0	5	0	2	6	4	1	3	4	4	7	1	4	4	0	6	5	5	1	1	2	0	3	2	2	3
"txid46503"	308	391	415	25	179	223	269	108	102	134	143	62	78	443	107	452	144	112	87	117	168	421	166	77	237	269	190	219	146	209	318	209	32	114	91	131	136	103	241	95	88	35	259	148	131	159	98	30	167	123	227	285	191	99	137	110	197	339	201	29	6	244	107	98	127	126	225
"txid28031"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	8	0	4	0	1	0	0
"txid1562132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	200	0	0	0	0
"txid1224748"	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	2	191	11	0	40	0	0	0	0
"txid76853"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	17	1	0	4	0	0	0	0
"txid94138"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid46125"	1	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	1	3	3	5	0	0	3	0	4	1	4	1	0	1	1	1	0	0	1	1	0	1	0	0
"txid2750"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid1868794"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"txid1140002"	2	3	0	0	0	2	7	0	0	4	1	7	6	1	12	0	1	2	0	6	12	26	10	0	5	2	1	1	1	5	1	0	4	2	1	0	3	1	0	3	3	0	3	7	7	12	2	2	4	1	0	3	1	1	21	5	0	2	6	1	1	1	1	5	0	2	11
"txid1351"	7	47	0	1	0	1	9	0	2	1	1	8	1	1	2	0	0	2	0	2	1	3	9	0	3	2	1	4	0	0	0	0	5	0	1	0	0	1	0	0	0	1	1	1	1	2	2	3	0	0	0	1	1	0	0	11	0	1	21	0	0	2	3	6	2	2	19
"txid160453"	3	1	0	0	0	7	3	0	0	2	1	1	7	1	10	0	0	1	0	0	18	13	10	3	8	6	8	9	5	3	1	0	2	7	1	1	4	1	0	3	4	0	2	13	5	14	6	5	1	0	0	0	1	0	13	3	0	1	4	0	0	4	3	12	1	9	35
"txid768486"	0	0	0	0	0	0	0	51	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	1	0	0	0	0	0	0
"txid71451"	0	1	0	0	0	1	2	0	1	1	1	1	1	0	3	0	0	1	0	3	12	12	4	4	1	2	7	8	2	1	1	0	3	3	0	1	0	0	0	3	2	0	3	4	2	4	3	2	2	0	0	0	1	1	5	0	0	1	3	0	0	0	0	13	1	2	17
"txid2738"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"txid1583"	1	6	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	13	0	0	0	1	0	0	0	2	1	0	0	1	0	0	1	0	6	0	4	0	0	4	8	24	0	4	39
"txid1363"	1	5	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	3	5	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	3	0	0	2	0	0	0	0	11	0	1	5	0	0	2	4	1	0	2	9
"txid270498"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	2	1	7	2	0	21	0	2	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0
"txid626937"	0	1	0	0	1	0	0	1	3	0	0	0	0	1	1	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0	2	2	2	2	27	10	0	12	13	2	0	0	2	18	0	0	1	0	0	1	2	0	0	0	0
"txid2763654"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	10	7	6	0	4	12	14	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0
"txid2126740"	0	0	0	0	2	2	4	0	1	1	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	4	0	1	0	1	0	1	0	1	1	2	2	7	1	0	4	0	4	1	2	2	0	4	15	14	0	4	8	0	0	1	2	0
"txid759821"	15	9	13	1	14	27	77	3	4	4	7	5	3	10	7	10	8	8	17	0	8	27	13	1	10	7	9	15	19	19	5	14	3	6	5	6	3	9	16	6	3	7	19	21	30	97	69	4	1	72	29	42	24	20	13	14	5	7	11	1	0	12	11	7	8	14	6
"txid1347366"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	60	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid29363"	2	1	0	0	11	274	11	0	10	20	1	1	0	13	6	4	0	19	1	0	1	129	1	2	6	8	0	11	3	5	1	5	1	9	11	2	117	25	8	10	12	0	0	1	1	239	58	44	0	0	3	2	0	0	2	44	0	2	13	0	23	1	0	0	0	0	0
"txid1650661"	4	0	2	0	0	2	5	0	3	0	0	8	1	7	8	1	3	4	6	5	0	39	0	0	0	0	0	0	0	0	0	0	1	0	11	0	29	8	2	0	0	0	41	20	22	21	44	3	0	21	28	22	35	18	16	18	1	7	47	0	0	27	17	0	5	11	5
"txid2605778"	52	16	14	14	18	39	35	51	63	17	12	10	5	18	20	38	10	135	14	79	12	43	12	8	19	16	12	17	32	15	19	40	75	23	98	14	114	24	24	87	10	33	49	53	61	33	117	28	54	40	43	74	81	31	27	64	21	23	47	5	13	68	92	43	43	43	36
"txid39493"	0	1	0	0	5	101	5	0	1	49	1	0	0	7	0	3	0	0	0	0	0	4	2	9	8	0	0	3	8	1	6	1	0	6	0	2	14	10	0	0	7	0	1	0	0	24	6	23	0	2	13	9	0	0	0	8	1	14	34	0	2	4	1	0	0	1	0
"txid1559"	0	0	0	0	1	27	1	0	1	17	1	0	0	2	1	0	0	0	0	0	0	1	0	2	2	1	0	3	3	0	2	1	0	4	0	1	5	6	0	0	3	0	2	0	0	9	1	12	0	0	7	3	0	0	0	3	1	5	9	1	1	1	1	0	0	0	0
"txid1096246"	1	2	1	0	10	2	9	0	0	3	0	6	0	1	0	5	2	0	1	0	0	31	0	1	0	0	1	0	1	2	0	1	0	1	0	0	0	2	0	13	0	0	2	1	4	5	24	1	0	3	7	34	4	4	1	4	0	1	3	0	2	0	0	0	0	1	0
"txid154046"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	6	8	1	0	21	3	1	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0
"txid384636"	1	0	3	1	3	2	4	0	1	0	4	1	2	1	1	1	1	0	0	0	1	1	1	1	2	1	0	1	3	0	0	1	0	1	0	0	0	0	1	2	1	1	2	2	4	0	8	0	0	6	1	3	1	1	1	1	1	3	4	0	0	5	0	0	1	2	3
"txid53442"	1	0	1	0	1	3	1	17	11	4	4	0	0	0	1	0	1	5	1	4	0	0	2	0	1	0	1	0	1	0	2	1	4	2	4	0	6	4	0	0	2	1	8	4	3	5	18	16	2	30	9	2	5	2	3	5	2	1	1	0	0	1	37	4	0	0	0
"txid433296"	1	1	0	0	2	2	1	0	4	0	0	0	0	2	0	2	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0	0	3	0	0	6	23	1	0	8	2	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0
"txid1776384"	4	2	2	0	11	15	8	3	17	1	1	3	1	13	4	7	4	9	3	5	8	4	0	0	1	0	0	0	0	1	0	0	1	0	27	0	32	14	6	0	0	0	15	4	5	19	62	7	1	33	26	27	15	7	4	9	0	1	5	0	0	3	14	0	2	3	1
"txid1852367"	1	0	0	0	1	0	1	0	2	0	0	3	0	1	1	2	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	4	3	0	0	0	0	19	0	11	10	32	5	0	55	17	9	12	2	2	2	0	0	0	0	0	0	0	0	0	0	0
"txid2764712"	1	0	1	0	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	4	2	0	6	4	2	0	9	9	3	1	0	3	4	0	0	2	0	0	1	0	0	0	0	0
"txid2763660"	8	0	0	0	0	2	2	0	2	0	1	3	0	5	8	1	4	10	3	0	3	13	2	0	2	1	1	6	6	1	0	0	2	4	15	1	6	6	13	0	3	0	4	9	2	3	1	0	0	1	0	6	1	0	0	9	0	0	5	0	0	2	3	0	0	0	0
"txid1812858"	1	0	1	0	2	0	10	0	1	1	1	0	2	2	1	3	3	1	2	0	1	3	2	0	0	2	4	3	5	2	0	3	0	2	0	1	3	2	2	1	1	0	2	3	6	12	6	1	0	6	3	5	4	0	0	1	0	0	2	0	0	1	2	1	0	2	1
"txid433287"	5	1	1	0	1	1	1	0	4	12	1	0	0	11	1	11	0	0	4	0	0	2	3	0	1	2	0	4	3	1	0	2	0	1	0	1	2	0	5	0	4	0	14	4	3	14	23	0	0	48	33	3	19	10	6	12	1	2	0	1	0	1	1	1	2	8	0
"txid2358141"	10	1	7	0	5	13	9	0	2	6	2	4	1	14	3	59	1	0	12	0	2	8	5	3	8	2	0	5	13	11	1	3	0	15	0	3	0	3	29	11	7	0	4	7	7	5	12	2	0	7	9	21	9	7	1	5	1	5	10	1	1	5	1	0	0	2	1
"txid2606636"	3	1	2	0	3	0	5	1	1	0	1	2	0	1	2	2	1	1	1	3	2	0	0	0	0	0	0	0	1	0	0	1	1	0	9	2	5	0	0	1	0	2	2	2	4	1	7	3	1	7	3	0	2	1	0	0	1	3	5	1	0	4	0	1	3	3	0
"txid1796615"	0	1	2	6	1	1	3	17	23	1	5	1	2	5	1	2	1	8	1	18	0	3	2	1	0	0	2	4	3	1	1	9	7	1	3	2	21	1	4	12	3	2	13	4	9	7	10	5	0	41	12	7	8	1	1	7	0	1	1	0	0	1	7	0	1	3	3
"txid536633"	5	3	8	35	19	13	20	106	112	4	23	12	10	24	10	7	2	57	6	132	4	16	5	14	1	0	6	4	14	11	3	36	42	6	16	8	110	6	9	45	4	5	63	29	117	44	45	16	9	317	58	20	47	15	13	41	5	7	5	1	2	14	33	3	4	11	7
"txid831"	1	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	1	0	0	3	0	1	0	1	2	0	1	0	1	0	1	2	0	0	2	0	2	3	2	1	1	1	1	1	4	2	7	1	1	1	5	2	1	0	0	0	0	0	4	0	1	5	0	0	1	2	0
"txid185008"	27	18	31	26	28	31	82	22	35	19	13	26	13	55	25	68	40	37	32	18	35	74	15	8	8	5	22	11	47	23	14	24	42	42	38	12	56	43	48	45	22	75	45	67	54	91	152	18	10	272	46	49	37	41	39	55	5	9	9	3	1	49	98	27	109	110	18
"txid673271"	2	0	0	0	1	1	9	0	0	0	0	0	0	1	1	2	0	1	3	0	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	2	1	1	2	0	0	1	2	9	6	0	0	5	7	2	4	2	1	1	0	0	2	0	0	1	1	1	0	2	0
"txid642492"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	691	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid2850323"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	7	11	0	0	43	3	2	3	1	0	3	0	0	0	0	0	1	0	0	0	0	0
