| GRTS Cell Id,SITE_ID,SPARCS,BAT_ID,BAT_SP,AGE,SEX,REPRO_STAT,RFA_MM,MASS_G,NET_HT,SAMPLE,WING_SCORE,BAND,BAND_COLOR,BAND_NUMBR,BAND_ID,BAND_ARM,PIT_TAG,RADIO_FREQ,CAP_TIME,COMMENTS,SITE,LAT,LONG,ACCURACY,MONTH,DAY,YEAR,DATE,START_TIME,STOP_TIME,PROJECT,SITE_NAME,STATE,COUNTY,TYPE,EFFORT,HABITAT,SURVEYOR,PERMIT_NUM,EMAIL,S_COMMENTS,EFFORT_HRS,STATUS,FILE_NAME
636,,,,Eptesicus fuscus,Adult,Male,Non-Reproductive,44.8,,,,,,,ERDC-ELA4096,,,,,21:40,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,40.5,,,,,,,ERDC-ELA0644,,,,,21:13,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,41.6,,,,,,,ERDC-ELA0641,,,,,1:40,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,41.6,,,,,,,ERDC-ELA0647,,,,,20:45,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,40.6,,,,,,,ERDC-ELA0646,,,,,20:45,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Male,Non-Reproductive,40.6,,,,,,,ERDC-ELA0645,,,,,21:00,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,42.7,,,,,,,ERDC-ELA0643,,,,,21:20,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Male,Non-Reproductive,41.6,,,,,,,ERDC-ELA0642,,,,,22:30,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Male,Non-Reproductive,,,,,,,,,,,,,20:45,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Perimyotis subflavus,Adult,Male,Non-Reproductive,34.3,,,,,,,,,,,,0:30,,,,,,,,,6/14/2018,20:00,2:00,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
