tax	hdz-095-s300	hdz-158-s301	hdz-159-s302	hdz-171-s303	hdz-172-s304	hdz-237-s305	hdz-238-s306	hdz-239-s307	hdz-268-s308	hdz-269-s309	hdz-270-s310	hdz-271-s311	hdz-272-s312	hdz-273-s313	hdz-274-s314	hdz-329-s315	hdz-344-s316	hdz-346-s317	hdz-347-s318	hdz-412-s319	hdz-413-s320	hdz-414-s321	hdz-450-s322	pl-ntc-014-ctrl	total
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	0	1	0	0	1	0	1	1	3	5	34	112	3	4	23	0	0	8	3	0	0	1	4	0	204
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	6	15	0	0	0	13	0	0	20	10	10	22	3	5	3	1	75	15	0	2	0	2	0	0	202
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	6	19	0	0	1	0	0	0	4	13	7	14	14	16	16	0	50	40	0	1	0	1	0	0	202
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides congonensis	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	182	0	0	185
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pasteurii	0	1	172	0	0	0	0	0	0	3	0	0	2	4	0	0	0	0	1	0	0	0	1	0	184
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	6	5	0	0	0	8	3	2	4	14	13	16	6	13	21	5	25	13	8	6	0	14	0	0	182
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter lanii	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	175
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	10	6	4	1	0	5	1	1	2	7	9	7	5	6	9	1	71	4	0	4	0	11	8	0	172
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	9	11	0	0	0	2	6	2	5	6	6	9	12	12	32	0	31	11	5	7	0	5	0	0	171
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas helleri	0	0	1	2	0	1	0	0	0	0	0	0	0	20	102	0	0	15	0	0	0	0	29	0	170
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	5	9	0	1	1	4	4	1	11	5	10	37	14	8	8	2	11	13	4	8	0	6	5	0	167
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	5	20	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	133	0	0	162
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	13	4	1	1	8	13	4	9	1	5	13	13	13	9	18	1	1	15	5	6	0	1	2	0	156
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter guillouiae	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	11	24	1	2	1	2	2	3	10	2	17	26	1	4	8	2	14	13	4	0	0	3	0	0	150
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	1	0	75	63	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	144
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	2	39	0	0	0	0	1	1	3	19	12	6	4	5	3	4	34	8	1	0	0	0	1	0	143
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	8	0	0	0	3	2	1	4	14	18	19	4	7	6	0	22	13	15	1	0	4	0	0	141
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	7	10	1	6	3	2	9	5	10	5	5	21	15	4	3	0	10	4	7	6	0	2	5	0	140
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella aceris	0	3	0	7	0	0	1	0	0	0	6	0	52	0	0	0	0	0	0	0	0	0	67	1	137
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	14	7	62	0	0	0	0	0	0	1	1	0	4	1	0	0	0	0	0	0	0	21	12	0	123
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	0	4	65	0	0	0	0	4	0	5	3	8	13	9	0	0	0	0	1	0	0	1	1	0	114
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	37	4	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	1	0	0	0	59	0	0	109
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	5	9	0	0	0	1	2	1	2	1	3	6	4	4	4	2	28	7	1	14	0	10	0	0	104
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium;Ruthenibacterium lactatiformans	4	0	0	0	0	0	0	0	1	0	1	1	0	0	0	3	80	0	0	6	0	6	0	0	102
