"identifier"	"subject"	"rel_biscuit"	"rel_HDZ_oatgel"	"rel_invertebrates"	"rel_protein_rotate"	"rel_gum_arabic"	"rel_seasonal_veggies"	"biscuit"	"gum_arabic"	"invertebrates"	"protein_rotate"	"seasonal_veggies"	"HDZ_oatgel"
"HDZ-168-S58"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-162-S243"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-169-S244"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-170-S245"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-163-S82"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-084-S35"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-099-S72"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-098-S238"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-103-S239"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-102-S96"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-093-S65"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-089-S64"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-101-S57"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-097-S91"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-092-S237"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-088-S234"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-083-S39"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-108-S60"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-096-S95"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-091-S236"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-105-S97"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-087-S78"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-082-S41"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-086-S42"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-090-S235"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-081-S40"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-109-S240"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-085-S92"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-106-S83"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-080-E1"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-107-S55"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-190-S59"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-193-S70"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-192-S75"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-191-S56"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-264-S167"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-268-S308"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-263-S166"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
