"identifier"	"subject"	"rel_omega3"	"rel_omega6"	"rel_fats_total"	"omega3"	"omega6"	"fats_total"
"HDZ-502-S404"	"warble"	635	3370	2000	635	3370	2000
"HDZ-497-S399"	"warble"	635	3370	2000	635	3370	2000
"HDZ-508-S409"	"warble"	635	3370	2000	635	3370	2000
"HDZ-503-S405"	"warble"	635	3370	2000	635	3370	2000
"HDZ-491-S393"	"warble"	635	3370	2000	635	3370	2000
"HDZ-506-S407"	"warble"	635	3370	2000	635	3370	2000
"HDZ-485-S387"	"warble"	635	3370	2000	635	3370	2000
"HDZ-509-S410"	"warble"	635	3370	2000	635	3370	2000
"HDZ-479-S381"	"warble"	635	3370	2000	635	3370	2000
"HDZ-510-S411"	"warble"	635	3370	2000	635	3370	2000
"HDZ-504-S406"	"warble"	635	3370	2000	635	3370	2000
"HDZ-498-S400"	"warble"	635	3370	2000	635	3370	2000
"HDZ-492-S394"	"warble"	635	3370	2000	635	3370	2000
"HDZ-505-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-480-S382"	"warble"	635	3370	2000	635	3370	2000
"HDZ-517-S412"	"warble"	635	3370	2000	635	3370	2000
"HDZ-499-S401"	"warble"	635	3370	2000	635	3370	2000
"HDZ-493-S395"	"warble"	635	3370	2000	635	3370	2000
"HDZ-487-S389"	"warble"	635	3370	2000	635	3370	2000
"HDZ-481-S383"	"warble"	635	3370	2000	635	3370	2000
"HDZ-486-S388"	"warble"	635	3370	2000	635	3370	2000
"HDZ-525-S414"	"warble"	635	3370	2000	635	3370	2000
"HDZ-522-S413"	"warble"	635	3370	2000	635	3370	2000
"HDZ-526-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-530"	"warble"	635	3370	2000	635	3370	2000
"HDZ-518-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-511-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-514-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-513-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-521-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-551"	"warble"	635	3370	2000	635	3370	2000
"HDZ-550"	"warble"	635	3370	2000	635	3370	2000
"HDZ-552"	"warble"	635	3370	2000	635	3370	2000
"HDZ-547"	"warble"	635	3370	2000	635	3370	2000
"HDZ-546"	"warble"	635	3370	2000	635	3370	2000
"HDZ-556"	"warble"	635	3370	2000	635	3370	2000
"HDZ-549"	"warble"	635	3370	2000	635	3370	2000
"HDZ-548"	"warble"	635	3370	2000	635	3370	2000
"HDZ-553"	"warble"	635	3370	2000	635	3370	2000
"HDZ-555"	"warble"	635	3370	2000	635	3370	2000
"HDZ-554"	"warble"	635	3370	2000	635	3370	2000
"HDZ-311-S120"	"culi"	635	3370	2000	635	3370	2000
