"subj_day"	"identifier"	"SampleID"	"ExtractID"	"SequenceID"
"warble_50"	"hdz-173-s246"	"hdz-173"	"hdz-173-e1"	"hdz-173-s246"
"culi_51"	"hdz-156-s68"	"hdz-156"	"hdz-156-e1"	"hdz-156-s68"
"culi_51"	"hdz-060-s80"	"hdz-060"	"hdz-060-e1"	"hdz-060-s80"
"warble_51"	"hdz-155-s67"	"hdz-155"	"hdz-155-e1"	"hdz-155-s67"
"culi_52"	"hdz-174-s247"	"hdz-174"	"hdz-174-e1"	"hdz-174-s247"
"warble_52"	"hdz-161-s77"	"hdz-161"	"hdz-161-e1"	"hdz-161-s77"
"culi_53"	"hdz-168-s58"	"hdz-168"	"hdz-168-e1"	"hdz-168-s58"
"warble_53"	"hdz-162-s243"	"hdz-162"	"hdz-162-e1"	"hdz-162-s243"
"culi_54"	"hdz-169-s244"	"hdz-169"	"hdz-169-e1"	"hdz-169-s244"
"warble_54"	"hdz-170-s245"	"hdz-170"	"hdz-170-e1"	"hdz-170-s245"
"culi_55"	"hdz-163-s82"	"hdz-163"	"hdz-163-e1"	"hdz-163-s82"
"culi_57"	"hdz-084-s35"	"hdz-084"	"hdz-084-e1"	"hdz-084-s35"
"warble_57"	"hdz-099-s72"	"hdz-099"	"hdz-099-e1"	"hdz-099-s72"
"culi_58"	"hdz-098-s238"	"hdz-098"	"hdz-098-e1"	"hdz-098-s238"
"warble_58"	"hdz-103-s239"	"hdz-103"	"hdz-103-e1"	"hdz-103-s239"
"culi_59"	"hdz-102-s96"	"hdz-102"	"hdz-102-e1"	"hdz-102-s96"
"warble_59"	"hdz-093-s65"	"hdz-093"	"hdz-093-e1"	"hdz-093-s65"
"culi_60"	"hdz-089-s64"	"hdz-089"	"hdz-089-e1"	"hdz-089-s64"
"warble_60"	"hdz-101-s57"	"hdz-101"	"hdz-101-e1"	"hdz-101-s57"
"culi_61"	"hdz-097-s91"	"hdz-097"	"hdz-097-e1"	"hdz-097-s91"
"warble_61"	"hdz-092-s237"	"hdz-092"	"hdz-092-e1"	"hdz-092-s237"
"culi_62"	"hdz-088-s234"	"hdz-088"	"hdz-088-e1"	"hdz-088-s234"
"warble_62"	"hdz-083-s39"	"hdz-083"	"hdz-083-e1"	"hdz-083-s39"
"culi_63"	"hdz-108-s60"	"hdz-108"	"hdz-108-e1"	"hdz-108-s60"
"warble_63"	"hdz-096-s95"	"hdz-096"	"hdz-096-e1"	"hdz-096-s95"
"culi_64"	"hdz-091-s236"	"hdz-091"	"hdz-091-e1"	"hdz-091-s236"
"warble_64"	"hdz-105-s97"	"hdz-105"	"hdz-105-e1"	"hdz-105-s97"
"culi_65"	"hdz-087-s78"	"hdz-087"	"hdz-087-e1"	"hdz-087-s78"
"warble_65"	"hdz-082-s41"	"hdz-082"	"hdz-082-e1"	"hdz-082-s41"
"culi_66"	"hdz-086-s42"	"hdz-086"	"hdz-086-e1"	"hdz-086-s42"
"warble_66"	"hdz-090-s235"	"hdz-090"	"hdz-090-e1"	"hdz-090-s235"
"culi_67"	"hdz-081-s40"	"hdz-081"	"hdz-081-e1"	"hdz-081-s40"
"warble_67"	"hdz-109-s240"	"hdz-109"	"hdz-109-e1"	"hdz-109-s240"
"culi_68"	"hdz-085-s92"	"hdz-085"	"hdz-085-e1"	"hdz-085-s92"
"warble_68"	"hdz-106-s83"	"hdz-106"	"hdz-106-e1"	"hdz-106-s83"
"culi_69"	"hdz-080-e1"	"hdz-080"	"hdz-080-e1"	NA
