sampleID	alias	collection	subject	seqrun	barcode	tech_replicates	kit	flow_cell	flow_cell_id	protocol_group_id	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-104	hdz-104-s69	2023-11-20	warble	hdz3	barcode23	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-058	hdz-058-s63	2023-11-21	culi	hdz3	barcode17	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-069	hdz-069-s193	2023-11-22	culi	hdz9	barcode09	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	6	6	6	none	none
hdz-079	hdz-079-s25	2023-11-22	warble	hdz2	barcode02	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-064	hdz-064-s2	2023-11-23	culi	hdz1	barcode02	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-078	hdz-078-s27	2023-11-23	culi	hdz2	barcode04	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-063	hdz-063-s1	2023-11-24	culi	hdz1	barcode01	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-068	hdz-068-s26	2023-11-24	warble	hdz2	barcode03	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-057	hdz-057-s233	2023-11-26	culi	hdz11	barcode03	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-073	hdz-073-s194	2023-11-26	warble	hdz9	barcode10	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-077	hdz-077-s38	2023-11-27	culi	hdz2	barcode16	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-067	hdz-067-s9	2023-11-27	warble	hdz1	barcode09	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-072	hdz-072-s34	2023-11-29	warble	hdz2	barcode11	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-066	hdz-066-s5	2023-11-30	culi	hdz1	barcode05	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-076	hdz-076-s24	2023-12-01	culi	hdz2	barcode01	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-071	hdz-071-s79	2023-12-02	culi	hdz4	barcode10	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-070	hdz-070-s29	2023-12-02	warble	hdz2	barcode06	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-065	hdz-065-s4	2023-12-03	culi	hdz1	barcode04	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	6	4.5	none	none
hdz-188	hdz-188-s62	2023-12-05	warble	hdz3	barcode16	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-187	hdz-187-s71	2023-12-06	culi	hdz4	barcode02	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-186	hdz-186-s73	2023-12-06	warble	hdz4	barcode04	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-184	hdz-184-s248	2023-12-07	culi	hdz11	barcode18	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-183	hdz-183-s84	2023-12-07	warble	hdz4	barcode15	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-182	hdz-182-s52	2023-12-08	culi	hdz3	barcode06	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-176	hdz-176-s51	2023-12-09	culi	hdz3	barcode05	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-195	hdz-195-s201	2023-12-09	warble	hdz9	barcode17	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-181	hdz-181-s74	2023-12-10	culi	hdz4	barcode05	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-179	hdz-179-s98	2023-12-11	culi	hdz5	barcode06	1	SQK-16S114-24	FLO-FLG114	AVI712	HDZ-PL-005	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-180	hdz-180-s99	2023-12-12	culi	hdz5	barcode07	1	SQK-16S114-24	FLO-FLG114	AVI712	HDZ-PL-005	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
