"diet_name"	"nutrient_class"	"nutrient"	"fed"	"fed_unit"	"relative_fed"	"relative_unit"
"biscuit_elim"	"vitamins"	"vit_B5_pantothenic_acid"	0.499	"mg"	17.6565	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_B6_pyridoxine"	0.096	"mg"	3.403	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_B7_biotin"	0.006	"mg"	0.2135	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_B12"	0.1	"mg"	3.5378	"ug_kg"
"biscuit_elim"	"vitamins"	"vit_C"	8.199	"mg"	290.2894	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_A"	732	"mg"	25.9006	"IU_g"
"biscuit_elim"	"vitamins"	"vit_D3"	97.3	"mg"	3.4434	"IU_g"
"biscuit_elim"	"vitamins"	"vit_E"	4.5	"mg"	158.0895	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_K"	0	"mg"	0.7201	"mg_kg"
"biscuit_elim"	"vitamins"	"total"	0	"mg"	0	"mg_kg"
"biscuit_elim"	"total"	"total"	90	"kcal"	1	"proportion"
"biscuit_elim"	"total"	"total"	70000	"mg"	1	"proportion"
"biscuit_elim"	"total"	"total"	28243	"mg_dry"	1	"proportion"
"lessBug_moreEgg"	"proteins"	"methionine"	130.34071	"mg"	0.00466	"proportion"
"lessBug_moreEgg"	"proteins"	"taurine"	17.952	"mg"	0.00064	"proportion"
"lessBug_moreEgg"	"proteins"	"total"	5692.84375	"mg"	0.20344	"proportion"
"lessBug_moreEgg"	"fats"	"omega3"	634.49	"mg"	2.2675	"mg_g"
"lessBug_moreEgg"	"fats"	"omega6"	3369.2	"mg"	12.0405	"mg_g"
"lessBug_moreEgg"	"fats"	"total"	2655.69415	"mg"	0.09491	"proportion"
"lessBug_moreEgg"	"CHOs"	"ADF"	2196.54127	"mg"	0.0785	"proportion"
"lessBug_moreEgg"	"CHOs"	"NDF"	8137.84222	"mg"	0.29082	"proportion"
"lessBug_moreEgg"	"CHOs"	"TDF"	270.69565	"mg"	0.00967	"proportion"
"lessBug_moreEgg"	"CHOs"	"WSC"	0	"mg"	0	"proportion"
"lessBug_moreEgg"	"CHOs"	"crude_fiber"	10595	"mg"	0.37863	"proportion"
"lessBug_moreEgg"	"CHOs"	"starch"	2488.56667	"mg"	0.08893	"proportion"
"lessBug_moreEgg"	"CHOs"	"total"	991.69565	"mg"	0.03544	"proportion"
"lessBug_moreEgg"	"Ash"	"calcium"	290.22518	"mg"	0.01037	"proportion"
"lessBug_moreEgg"	"Ash"	"magnesium"	113.78598	"mg"	0.00407	"proportion"
"lessBug_moreEgg"	"Ash"	"phosphorus"	148.76029	"mg"	0.00532	"proportion"
"lessBug_moreEgg"	"Ash"	"potassium"	264.31908	"mg"	0.00945	"proportion"
"lessBug_moreEgg"	"Ash"	"copper"	0.42528	"mg"	15.1983	"mg_kg"
"lessBug_moreEgg"	"Ash"	"iodine"	0.02172	"mg"	0.7763	"mg_kg"
"lessBug_moreEgg"	"Ash"	"iron"	4.50299	"mg"	160.9229	"mg_kg"
"lessBug_moreEgg"	"Ash"	"manganese"	1.38766	"mg"	49.5905	"mg_kg"
"lessBug_moreEgg"	"Ash"	"zinc"	2.35165	"mg"	84.0407	"mg_kg"
"lessBug_moreEgg"	"Ash"	"total"	1721.86155	"mg"	0.06153	"proportion"
"lessBug_moreEgg"	"vitamins"	"beta_carotene"	0.21937	"mg"	7.8394	"mg_kg"
"lessBug_moreEgg"	"vitamins"	"lycopene"	0.01286	"mg"	0.4594	"ug_kg"
"lessBug_moreEgg"	"vitamins"	"choline"	72.28271	"mg"	2583.1591	"mg_kg"
"lessBug_moreEgg"	"vitamins"	"folic_acid"	0.24073	"mg"	8.6028	"mg_kg"
"lessBug_moreEgg"	"vitamins"	"vit_B1_thiamin"	0.19234	"mg"	6.8737	"mg_kg"
"lessBug_moreEgg"	"vitamins"	"vit_B2_riboflavin"	0.31262	"mg"	11.1721	"mg_kg"
"lessBug_moreEgg"	"vitamins"	"vit_B3_niacin"	1.70526	"mg"	60.9407	"mg_kg"
