"ID"	"culi_1"	"culi_2"	"culi_3"	"culi_4"	"culi_6"	"culi_7"	"culi_8"	"culi_10"	"culi_11"	"culi_12"	"culi_15"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"culi_43"	"culi_46"	"culi_48"	"culi_50"	"culi_51"	"culi_52"	"culi_54"	"culi_55"	"culi_58"	"culi_59"	"culi_61"	"culi_62"	"culi_64"	"culi_65"	"culi_68"	"culi_74"	"culi_75"	"culi_77"	"culi_81"	"culi_82"	"culi_83"	"culi_84"	"culi_85"	"culi_86"	"culi_87"	"culi_88"	"culi_89"	"culi_90"	"culi_91"	"culi_92"	"culi_93"	"culi_95"	"culi_96"	"culi_99"	"culi_100"	"culi_103"	"culi_105"	"culi_106"	"culi_107"	"culi_108"	"culi_109"	"culi_111"	"culi_113"	"culi_114"	"culi_115"	"culi_116"	"culi_117"	"culi_118"	"culi_119"	"culi_120"	"culi_121"	"culi_122"	"culi_123"	"culi_125"	"culi_126"	"culi_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"culi_136"	"culi_137"	"culi_138"	"culi_139"	"culi_140"	"culi_141"	"culi_142"	"culi_143"	"culi_144"	"culi_145"	"culi_146"	"culi_147"	"culi_148"	"culi_150"	"culi_151"	"culi_152"	"culi_153"	"culi_154"	"culi_156"	"culi_157"	"culi_159"	"culi_161"	"culi_172"	"culi_174"	"culi_177"	"culi_178"	"culi_183"	"culi_187"	"culi_192"	"culi_196"	"culi_199"	"culi_200"	"culi_201"	"culi_202"	"culi_416"
"fpt11"	0.42	0.07	0.33	0.24	0.09	0.33	0	0	0.02	0.04	0	0.04	0	0	0.02	0	0.09	0	0	0.04	0	0.2	0.11	0.07	0.09	0.16	0.49	0.09	0	0.09	0	0.02	0	0.09	0.09	0.2	0	0.02	0	12.94	2.21	0.07	0.07	0.04	0.04	0.2	0.02	0.41	0.02	0.33	0.04	0.29	0.04	0.27	0.07	0	0.2	0.22	0.02	0.04	0.24	0.02	0.13	0.13	0.49	2.09	0.07	0.04	0.09	0.69	0.07	1.2	0.18	0	0.02	0	0.02	0.07	0.04	0.04	0	0.02	0.02	0.07	0.04	0.3	0.36	0	0.22	0.04	0	0	0.11	0	0.02	0.13	0	1.05	1.54	0.45	0	0	0	0.02	0	0.02	0	0.07	0	0.04	0.11	0	0.25	0.74	0	0.49	0.51	2.21
"fpt12"	0.02	0.02	0	0	0.04	0.02	0.02	0.02	0.02	0	0.02	0.02	0	0	0	0	0	0.02	0.02	0.04	0	0.02	0.02	0.04	0.02	0.02	0	0.02	0.07	0.02	0	0	0	0.02	0.02	0.02	0	0.02	0	0.04	0	0.04	0	0	0.02	0.02	0	0	0.02	0.02	0.02	0	0.02	0.02	0.02	0	0	0.07	0.02	0	0	0	0.04	0	0.04	0.02	0	0.07	0	0.02	0	0.02	0.02	0	0	0	0	0.04	0	0	0.02	0.02	0.02	0	0	0.01	0.04	0	0	0.02	0.04	0.02	0.07	0	0	0	0.02	0.02	0	0	0	0.02	0.02	0.02	0	0	0	0	0	0	0	0.07	0.02	0	0	0	0	0.02
"fpt13"	0.04	0.02	0	0.02	0.04	0.02	0.04	0.04	0.02	0	0.07	0.04	0	0.18	0.02	0.02	0.04	0.09	0.07	0.11	0.07	0.07	0.09	0.04	0.04	0.09	0.13	0.04	0.07	0.18	0.02	0.02	0	0.07	0.09	0.07	0	0.04	0.02	0.07	0.02	0.04	0.02	0.02	0.02	0.04	0.04	0.04	0.09	0.11	0.04	0.16	0.07	0.13	0.07	0	0.02	0.07	0.02	0.11	0.02	0.16	0.18	0	0.04	0.69	0.02	0.11	0.02	0.09	0.07	0.2	0.02	0.07	0.04	0.02	0.02	0.18	0.04	0.11	0.02	0.04	0.02	0	0	0.02	0.04	0	0.02	0.65	2.23	0.02	0.07	0	0	0.02	0.13	0.09	0.07	0	0	0.02	0.02	0.13	0.09	0	0	0	0	0	0	1.4	3.98	0.58	0.04	0.69	0.16	0.02
"fpt14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.11	0	0	0.02	0	0	0	0	0	0	0	0.13	1.23	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0
"fpt15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.11	0	0	0.02	0	0	0	0	0	0	0	0.13	1.23	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0
"fpt16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0.02	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.04	0.11	0
"fpt17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt18"	17.96	11	17.8	8.23	11.62	18.02	23.21	17.23	17.3	13.7	20.88	18.74	16.24	22.93	16	11.02	18.96	16.64	9.47	15.6	17.56	17.77	20.76	22.24	20.79	15.16	23.34	19.75	15.52	16.7	12.89	10.97	11.32	18.62	18.68	13.85	15.29	10.49	6.63	34.71	24.46	17.29	9.86	11.3	12.25	11.97	7.97	22.97	20.13	21.9	14.79	22.84	16.53	26.84	19.07	14.38	12.19	26.49	12	17.6	13.93	22.39	21.96	17.25	29.59	55.26	13.47	22.57	12.45	40.41	18.63	30.84	16.75	18.59	8.39	10.14	11.67	14.13	15.58	19.75	22.12	17.81	7.43	12.08	4.38	10.96	42.08	12.1	21.12	23.07	29.94	17.87	18.77	15.2	10.84	15.66	16.46	31.4	51.03	34.48	12.61	8.25	8.6	19.26	24.76	2.23	3.69	2.92	2.11	10.05	70.51	37.44	18.92	32.51	3.34	16.5	16.23	40.08
"fpt19"	0.89	0.42	1.29	0.58	0.29	1.07	0.5	0.73	0.47	0.42	0.24	0.73	0.82	1.54	1.05	0.36	1.29	0.98	0.04	0.96	0.58	0.71	0.56	0.36	0.91	0.44	1	0.44	0.82	1.07	0.27	0.36	0.78	0.93	0.22	0.67	0.47	0.36	0.29	0.87	1.67	1.47	0.98	0.25	0.6	0.67	0.29	1.72	0.58	1.49	0.8	1.36	0.49	1.29	0.87	0.42	0.67	2.65	0.38	0.67	0.69	0.6	0.71	0.51	3.63	4.97	0.27	0.71	0.53	1.71	1.11	0.56	0.82	0.58	0.44	0.36	0.29	0.36	0.4	0.96	1.42	1.09	0.53	0.49	0.16	0.93	15.06	0.49	2.87	0.9	6.09	0.18	0.94	1.54	1	0.51	0.29	4.43	3.97	2.12	0.42	0.07	0.47	0.83	1.56	0.69	0.22	0.27	0.36	0.82	1.79	1.17	1.09	1.97	0.53	0.76	1.41	2.43
"fpt20"	0	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.07	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0
"fpt21"	0.31	0.09	0.2	0.04	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0.02	0	0.07	0	0	0	0	0	0.04	0	0.02	0.11	0	0.13	0	0	0.11	0.02	0.14	0.09	0.13	0	0.11	0.02	0.16	0	0	0.16	0.04	0.02	0.02	0.09	0.02	0.02	0.09	0.02	0.16	0	0.33	0.04	0.22	0.27	0.07	0.02	0	0.02	0	0.02	0	0.02	0.45	0	0.02	0	0	0	0.01	12.2	0.02	0.38	0	0	0	0.29	0	0	0.07	0.02	0.91	0.13	0	0	0	0.04	0	0	0	0.02	0.02	0	0.09	0.38	0	0.09	0.31	0	0.62	0.09	0.27
"fpt22"	0.31	0.09	0.2	0.04	0	0.02	0.06	0	0	0	0.02	0.2	0.11	0	0.16	0.04	0.09	0.02	0	0.18	0	0.07	0	0.02	0.02	0.02	0.11	0	0	0.31	0	0.11	0.27	0	0.02	0.16	0.02	0.04	0	0.02	0.11	0	0.13	0	0	0.11	0.04	0.16	0.09	0.16	0.09	0.13	0.07	0.16	0	0	0.16	0.07	0.02	0.04	0.09	0.02	0.04	0.09	0.02	0.16	0	0.33	0.07	0.22	0.27	0.13	0.02	0	0.09	0.02	0.02	0	0.02	0.45	0.16	0.02	0	0	0	0.01	12.2	0.02	0.38	0	0.22	0	0.29	0	0	0.07	0.02	0.91	0.13	0	0	0	0.07	0	0.04	0	0.02	0.02	0	0.11	0.42	0	0.09	0.31	0	0.67	0.2	0.27
"fpt23"	0.11	0.02	0.09	0.02	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0.04	0.09	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0.13	0	0	0.11	0.04	0.13	0.07	0.13	0.04	0.11	0.02	0.07	0	0	0.13	0.04	0.02	0.04	0.11	0.02	0.07	0.07	0	0.13	0	0.33	0.04	0.24	0.27	0.07	0.02	0	0.07	0.02	0.02	0	0.02	0.45	0	0.02	0	0	0	0.26	12.32	0.02	0.38	0.02	0	0	0.29	0	0	0.07	0.02	1.05	1.36	0	0	0	0.04	0	0	0	0	0	0	0	0.11	0	0.09	0.09	0	0.04	0.11	0.27
"fpt24"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0.07	0	0	0.11	0.04	0.02	1.57	0
"fpt25"	0.09	0.04	1.74	0.76	0.02	0.02	0.01	0	0.02	0	0.07	0.2	0.02	0.16	0.11	0	0.24	0.04	0.04	0.33	0.02	0.04	0	0.02	0.11	0.33	0.04	0	0	0	0	0.04	0	0.04	0.04	0.13	0	0	0.02	7	0.04	0.04	0.6	0.02	0.02	0	0.13	0.38	0.04	0.47	0.13	0.42	0.22	0.38	0.16	0.04	0	0.04	0.11	0.38	0.49	0.47	2.05	0.07	0.58	7.55	0.09	1.22	0.47	5.63	1.67	1.93	0.09	0.31	0.36	0.04	0	0.24	0.18	0.04	0.18	0.11	0.02	0.04	0	0.03	0.94	0.02	0.18	0.69	0	0.02	1.92	0.02	0.02	0.11	0.13	4.65	13.68	9.8	0.07	0.44	0.27	0	0.02	0.04	0.09	0.07	0.04	0.02	32.69	0.11	0.04	7.48	0.22	3.94	2.35	6.74
"fpt26"	0.36	0.13	0.27	0.04	0	0.02	0.01	0	0	0	0	0.02	0	0.02	0	0	0	0	0.04	0.07	0	0.09	0.02	0.04	0	0.02	0.18	0.02	0.11	0.09	0.07	0.13	0.02	0	0.02	0.02	0	0.04	0	0.02	1.52	0.02	0.16	0.02	0.02	0.04	0	0.32	0.04	0.18	0	0	0.02	2	0.02	0.18	0.16	0.02	0.02	0.04	0.02	0.04	0.04	0.09	0.51	2.56	0	0.18	0.04	0.4	0.31	0.02	0.09	0.11	0.04	0	0	0.04	0	0.13	0.04	0.09	0	0.02	0	0.03	0.13	0.02	0.02	0.02	0.69	0	0.04	0.16	0	0.02	0.04	0.65	0.2	0.16	0	0	0.62	0	0.07	0	0.02	0.09	0.04	0.11	0.58	0	0.02	0.98	0.02	0.76	0.36	0.69
"fpt27"	0.62	0.24	3.69	1.51	0.04	0.16	0.12	0	0.07	0.07	0.16	0.65	0.18	0.42	0.33	0.04	0.67	0.13	0.04	0.85	0.09	0.2	0.27	0.11	0.16	0.44	0.38	0.02	0.11	0.42	0.09	0.27	0.29	0.09	0.09	0.36	0.02	0.11	0.02	7.12	1.72	0.16	1.18	0.04	0.04	0.2	0.24	1.09	0.22	1.49	0.31	1.05	0.58	2.76	0.22	0.27	0.29	0.2	0.27	0.78	1.02	0.67	3.94	0.27	1.6	15.26	0.16	2.89	0.89	11.37	3.76	3.49	0.24	0.76	0.93	0.09	0.04	0.42	0.33	0.65	0.42	0.27	0.04	0.11	0.02	0.36	14.26	0.04	0.69	0.81	0.96	0.04	4.75	0.22	0.07	0.45	0.24	11.04	28.06	18.87	0.09	0.51	1	0.02	0.16	0.13	0.13	0.16	0.07	0.18	65.04	0.16	0.16	20.95	0.56	9.47	7.02	14.72
"fpt28"	2.04	1.29	5.49	1.42	0.49	3.18	2.4	3.53	1.49	2.34	2.8	2.78	1.69	2.63	2.25	3	2.38	1.78	2.13	2.05	2.38	2.2	2.14	1.29	1.81	1.58	3.27	1.13	2.07	2.8	1.49	3.4	0.69	2.02	1.51	1.56	1.27	1	0.87	1.83	2.86	1.94	1.05	1.16	3.36	6.23	0.33	4.7	3.63	3.78	2.07	4.78	1.62	5.99	1.38	1.09	1.49	0.65	1.09	3.36	1.91	3.07	4.4	1.05	7.12	18.96	1.05	2.69	1.53	12.88	4.34	3.91	1.45	1.94	1.27	0.87	1.11	1.98	1.78	2	2.96	1.4	0.36	0.93	0.09	0.75	19.63	1.29	3.25	4.39	10.61	1.87	3.97	0.4	0.47	2.18	2.67	8.53	18.68	10.03	1.2	0.53	0.49	2.95	1.56	0.38	0.09	0.29	0.09	1.87	13.05	4.75	5.14	12.84	0.65	8.34	4.38	10.53
"fpt29"	2.47	1.44	7.43	2.2	0.49	3.22	2.49	3.53	1.49	2.38	2.89	3.18	1.82	2.83	2.49	3.05	2.62	1.87	2.18	2.61	2.4	2.36	2.18	1.38	1.92	2	3.6	1.16	2.18	3.18	1.56	3.63	0.98	2.07	1.6	1.87	1.29	1.07	0.87	8.9	4.42	2	1.76	1.18	3.39	6.27	0.51	5.46	3.74	4.47	2.27	5.23	1.91	8.43	1.51	1.34	1.65	0.78	1.2	3.76	2.42	3.54	6.5	1.2	8.21	29.12	1.11	4.14	2.07	18.86	6.27	5.89	1.6	2.34	1.76	0.91	1.13	2.25	1.98	2.18	3.38	1.63	0.36	1	0.11	1.05	20.82	1.31	3.45	5.13	10.84	1.89	5.93	0.56	0.51	2.36	2.82	13.96	33.68	19.7	1.27	0.98	1.4	2.97	1.71	0.45	0.22	0.4	0.16	2.02	67.65	4.86	5.2	23.96	0.87	13.19	7.49	17.96
"fpt30"	2.04	1.29	5.49	1.42	0.49	3.18	2.4	3.53	1.49	2.34	2.8	2.78	1.69	2.63	2.25	3	2.38	1.78	2.13	2.05	2.38	2.2	2.14	1.29	1.81	1.58	3.27	1.13	2.07	2.8	1.49	3.4	0.69	2.02	1.51	1.56	1.27	1	0.87	1.83	2.86	1.94	1.05	1.16	3.36	6.23	0.33	4.7	3.63	3.78	2.07	4.78	1.62	5.99	1.38	1.09	1.49	0.65	1.09	3.36	1.91	3.07	4.4	1.05	7.12	18.96	1.05	2.69	1.53	12.88	4.34	3.91	1.45	1.94	1.27	0.87	1.11	1.98	1.78	2	2.96	1.4	0.36	0.93	0.09	0.75	19.63	1.29	3.25	4.39	10.61	1.87	3.97	0.4	0.47	2.18	2.67	8.53	18.68	10.03	1.2	0.53	0.49	2.95	1.56	0.38	0.09	0.29	0.09	1.87	13.05	4.75	5.14	12.84	0.65	8.34	4.38	10.53
"fpt31"	30.5	21.67	34.88	27.83	18.25	24.47	27.11	31.52	30.81	35.08	23.04	32.67	24.15	25.76	20.24	23.41	13.44	14.97	24.66	31.85	22.69	41.61	36.21	30.09	37.06	26.63	32.7	24.11	22.75	27.17	35.57	21.92	13.85	26.9	28.28	29.18	20.93	40.16	23.04	33.37	26.58	24.2	26.89	33.23	18.15	25.58	41.24	35.37	26.01	29.22	26.38	35.07	27.07	32	9.17	22.39	26.75	20.02	30.25	39.25	26.18	31.05	36.46	24.37	44.76	46.97	24.74	29.49	32.07	42.99	38.69	27.9	20.8	37.28	47.91	37.37	27.55	41.72	22.96	22.04	26.71	35.8	11.34	33.61	16.43	28.07	38.26	32.64	19.87	18.18	22.68	26.14	29.68	11.55	18.83	12.88	26.29	34.02	49.11	37.85	22.98	8.63	36	30.91	30.5	9.84	30.2	24.04	32.31	37.13	85.77	9.83	27.05	47.97	32.6	57.06	16.12	42.05
"fpt32"	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.02	0	0	0	0	0	0.04	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0.18	0	0	0.02	0	0.07	0.04	0	0	0	0.02	0.04	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02
"fpt33"	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.04	0	0.02	0	0.02	0	0.02	0	0	0.07	0.02	0.02	0	0	0	0	0.02	0	0.11	0	0	0	0	0	0.31	0.02	0	0	0	0.02	0.02	0.02	0.02	0	0.02	0.2	0.02	0	0	0	0.02	0	0.02	0	0.04	0	0	0.11	0.02	0	0	0.02	0.02	0	0	0.02	0	0	0.02	0.2	0.11	0	0	0	0.02	0	0	0	0	0	0.01	0	0	0	0.04	0.07	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0.02	0.04	1.07	0
"fpt34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0.02	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.04	0.11	0
"fpt35"	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0.02	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0.04	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.04	0.18	0
