"ID"	"hdz.013"	"hdz.014"	"hdz.021"	"hdz.011"	"hdz.010"	"hdz.016"	"hdz.026"	"hdz.024"	"hdz.020"	"hdz.035"	"hdz.040"	"hdz.047"	"hdz.054"	"hdz.069"	"hdz.064"	"hdz.063"	"hdz.057"	"hdz.071"	"hdz.065"	"hdz.187"	"hdz.184"	"hdz.181"	"hdz.180"	"hdz.167"	"hdz.060"	"hdz.174"	"hdz.163"	"hdz.098"	"hdz.102"	"hdz.097"	"hdz.087"	"hdz.085"	"hdz.192"	"hdz.264"	"hdz.258"	"hdz.274"	"hdz.252"	"hdz.249"	"hdz.240"	"hdz.272"	"hdz.250"	"hdz.270"	"hdz.273"	"hdz.262"	"hdz.271"	"hdz.203"	"hdz.266"	"hdz.394"	"hdz.196"	"hdz.235"	"hdz.198"	"hdz.326"	"hdz.330"	"hdz.318"	"hdz.317"	"hdz.308"	"hdz.314"	"hdz.319"	"hdz.324"	"hdz.305"	"hdz.310"	"hdz.320"	"hdz.301"	"hdz.241"	"hdz.327"	"hdz.236"	"hdz.230"	"hdz.222"	"hdz.398"	"hdz.339"	"hdz.321"	"hdz.221"	"hdz.408"	"hdz.219"	"hdz.220"	"hdz.392"	"hdz.229"	"hdz.405"	"hdz.350"	"hdz.224"	"hdz.215"	"hdz.227"	"hdz.226"	"hdz.388"	"hdz.352"	"hdz.354"	"hdz.361"	"hdz.452"	"hdz.426"	"hdz.442"	"hdz.445"	"hdz.311"
"txid1917870"	7	3	2	3	3	5	11	6	5	10	9	26	16	16	3	11	17	6	6	18	11	5	7	5	8	3	13	6	3	6	13	21	6	1	5	20	4	3	11	9	3	5	11	13	6	11	13	4	13	10	12	20	21	12	10	10	9	11	18	8	8	14	9	11	13	8	7	5	13	8	4	11	14	7	22	2	4	5	5	8	7	1	4	7	5	2	2	0	6	0	0	8
"txid1852382"	8	5	5	0	3	15	9	13	10	3	13	16	13	10	4	14	14	15	14	21	13	11	8	7	11	10	18	29	7	31	20	50	9	6	15	18	3	2	21	13	9	16	12	4	8	21	17	12	26	22	43	28	26	21	10	17	22	35	46	11	18	18	28	12	40	31	16	10	21	15	21	13	45	4	34	6	19	18	14	8	18	4	5	10	12	6	6	0	10	0	0	20
"txid253257"	2	2	0	2	2	4	4	3	2	2	2	2	3	6	6	4	6	2	6	6	6	5	7	4	6	4	6	4	7	4	3	5	0	3	3	4	11	1	1	5	3	6	8	4	5	9	7	4	3	10	6	6	5	7	10	3	3	4	4	1	3	6	3	6	2	2	6	12	5	4	1	3	17	27	3	0	4	6	4	4	2	2	1	1	0	0	0	0	19	0	0	1
"txid1286362"	0	0	0	0	0	0	1	0	0	0	2	6	2	3	1	1	3	1	0	2	2	1	1	1	0	1	1	1	1	1	2	6	0	1	2	3	1	0	0	2	1	4	2	2	1	0	1	0	2	2	3	2	2	4	3	4	2	1	2	1	1	1	2	1	0	1	1	2	1	0	0	1	13	4	2	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1
"txid168384"	4	2	2	1	4	2	2	3	1	2	3	5	2	4	3	1	5	1	4	3	2	4	1	6	1	2	3	0	1	6	1	3	1	1	3	5	2	2	1	1	1	5	3	2	1	5	6	2	5	2	2	2	6	9	6	6	5	2	6	2	3	2	3	4	0	2	4	1	5	2	1	1	7	3	2	2	0	5	9	2	1	1	1	3	1	0	0	0	3	0	0	8
"txid796944"	11	7	5	2	11	7	9	9	9	11	10	15	10	14	8	9	11	3	8	6	12	13	6	11	8	15	8	4	6	12	6	14	11	4	6	9	10	6	4	11	4	8	14	5	12	15	13	10	22	11	11	8	12	13	13	10	10	9	14	3	6	8	10	10	2	2	4	8	8	2	5	15	20	25	10	8	8	8	7	4	8	4	4	4	4	0	1	0	5	0	1	4
"txid796943"	322	174	185	147	344	277	241	372	241	166	227	228	186	175	232	239	176	97	177	206	222	209	236	163	150	270	162	134	206	153	151	163	112	91	136	212	253	121	119	109	92	160	164	129	148	198	170	179	439	184	150	192	237	197	234	222	302	186	312	114	264	150	201	171	55	92	139	301	156	97	68	264	514	275	248	83	194	194	160	157	141	82	91	198	54	15	17	3	164	0	0	273
"txid237576"	173	91	76	73	198	155	128	216	120	81	120	150	93	103	110	133	102	66	94	98	104	130	149	75	90	134	98	69	108	137	93	118	89	51	67	137	109	64	65	88	63	89	93	100	65	110	82	89	292	114	85	106	100	101	118	110	140	91	154	75	117	76	110	88	33	46	74	156	57	60	34	155	208	249	165	46	127	78	71	66	64	35	33	77	26	8	16	0	105	2	7	141
"txid2606632"	1	2	2	0	2	3	1	2	1	0	2	1	0	2	1	1	0	0	0	1	3	1	0	1	1	4	2	0	0	3	1	1	1	1	1	2	1	0	0	1	0	3	1	2	2	0	0	1	1	1	1	1	2	3	4	2	1	4	2	2	3	1	2	4	0	2	1	1	2	2	0	2	5	2	1	0	3	0	2	1	0	0	1	4	1	1	1	0	1	0	0	0
"txid585394"	5	2	0	1	2	5	6	18	0	5	5	2	0	3	1	2	0	6	2	2	2	1	1	1	1	0	1	3	1	0	1	1	3	0	1	1	0	0	0	1	1	2	2	4	1	1	0	4	0	2	6	1	3	6	3	0	0	4	1	5	0	3	1	1	6	3	0	4	4	0	1	1	0	0	2	5	1	3	3	3	0	0	1	1	5	4	2	0	2	0	0	2
