"SequenceID"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"ExtractID"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"SampleID"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HDZ-364-S210"	"hdz10"	3	3	"HDZ-364-E1"	NA	NA	NA	NA	3165	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-364"	"HDZ Loris DNA Extracts Box 5"	""	73	"HDZ Keepers"	""	2024-04-12	"Culi"	"yes"
"HDZ-365-S211"	"hdz10"	4	4	"HDZ-365-E1"	NA	NA	NA	NA	2259	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-365"	"HDZ Loris DNA Extracts Box 5"	""	55	"HDZ Keepers"	""	2024-04-13	"Culi"	"yes"
"HDZ-366-S212"	"hdz10"	5	5	"HDZ-366-E1"	NA	NA	NA	NA	0	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-366"	"HDZ Loris DNA Extracts Box 5"	""	46	"HDZ Keepers"	""	2024-04-13	"Warble"	"yes"
"HDZ-367-S213"	"hdz10"	6	6	"HDZ-367-E1"	NA	NA	NA	NA	2998	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-367"	"HDZ Loris DNA Extracts Box 5"	""	47	"HDZ Keepers"	""	2024-04-19	"Warble"	"yes"
"HDZ-368-S214"	"hdz10"	7	7	"HDZ-368-E1"	NA	NA	NA	NA	0	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-08	"AS"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-368"	"HDZ Loris DNA Extracts Box 5"	""	16	"HDZ Keepers"	""	2024-04-24	"Culi"	"yes"
"HDZ-369-S215"	"hdz10"	8	8	"HDZ-369-E1"	NA	NA	NA	NA	4202	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-08	"AS"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-369"	"HDZ Loris DNA Extracts Box 5"	""	20	"HDZ Keepers"	""	2024-04-05	"Warble"	"yes"
"HDZ-370-S216"	"hdz10"	9	9	"HDZ-370-E1"	NA	NA	NA	NA	3500	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-08	"AS"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-370"	"HDZ Loris DNA Extracts Box 5"	""	55	"HDZ Keepers"	"Whistling, confirmed breeding"	2024-04-04	"Culi"	"yes"
"HDZ-371-S217"	"hdz10"	10	10	"HDZ-371-E1"	NA	NA	NA	NA	1597	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-371"	"HDZ Loris DNA Extracts Box 5"	""	22	"HDZ Keepers"	"Whistling, confirmed breeding"	2024-04-04	"Warble"	"yes"
"HDZ-372-S218"	"hdz10"	11	11	"HDZ-372-E1"	NA	NA	NA	NA	3596	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-372"	"HDZ Loris DNA Extracts Box 5"	""	26	"HDZ Keepers"	""	2024-04-06	"Culi"	"yes"
"HDZ-373-S219"	"hdz10"	12	12	"HDZ-373-E1"	NA	NA	NA	NA	4534	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-373"	"HDZ Loris DNA Extracts Box 5"	""	11	"HDZ Keepers"	""	2024-03-08	"Culi"	"yes"
