"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"	0.0169562906735388	0.0102445914801873	0.00680306957777937	0.0204144251027881	0.0160419841642699	0.021326677099365	0.016179384857616	0.0253091745757837
"Mucin (Mucus Glycoprotein) -- Macromolecule"	0.0175077962838549	0.0117760761281689	0.0038523406042847	0.0203121484239164	0.0118481511613251	0.0172010191280506	0.0157450389553981	0.0291343111878056
"Fructan (Inulin, Levan) -- Macromolecule"	0.0171167286692671	0.0113746189874359	0.00383184943085766	0.0203326037596907	0.0118596097214424	0.0172139522251394	0.0155821592420664	0.0277250503307449
"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"	0.0164749766863537	0.0111515872425842	0.00412897144554983	0.0207826211467261	0.0120773223636718	0.0174338148756483	0.0152021065776258	0.0276675294794363
"Mannan -- Macromolecule"	0.00764085954656211	0.00524868039550963	0.00351423624273844	0.0183484361895801	0.0100835329032554	0.0149635933316951	0.0135733094443087	0.0210813920046017
"Urea -- Production"	0.00593620584194852	0.00440115976507323	0.00321711422804627	0.0179393294740933	0.00915538953375119	0.0137737483995292	0.0126503244020957	0.0191688236985907
"D-Galactose -- Consumption"	0.00623702708393915	0.00480261690580626	0.00272532606579716	0.0234622701331642	0.00716160007333478	0.0101136819234102	0.00958275646768195	0.0177164222030486
"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"	0.0121130686774895	0.00796966768270017	0.00262287019866193	0.0112708900116595	0.00768869383873222	0.0109414001370908	0.010288568558786	0.0183060109289617
"Hemicellulose, not specified -- Macromolecule"	0.00826255678000943	0.00633410155378782	0.00267409813222954	0.011966371427987	0.00760848391791087	0.0110060656225346	0.00988136927545674	0.0205061834915157
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"	0.0064977388269977	0.0046093227269348	0.00262287019866193	0.0110867919896905	0.00715014151321745	0.0108896677487358	0.00974563618101365	0.0178314639056658
"H2 (Hydrogen) -- Production"	0.0129353134055973	0.00802914281466062	0.00106554101820641	0.0169370180211508	0.00415945732259284	0.00456538327233222	0.00352906045552026	0.0122231809030774
"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"	0.00470283874978692	0.00377667087948851	0.00235648494411032	0.0103094892302657	0.00631366662465195	0.00920836512719701	0.00868691804435757	0.0150129421915444
"L-Methionine (D-Methionine) -- Consumption"	0.00470283874978692	0.00377667087948851	0.00235648494411032	0.0103094892302657	0.00631366662465195	0.00920836512719701	0.00868691804435757	0.0150129421915444
"Arabinogalactan -- Macromolecule"	0.00646765670279864	0.00395509627536986	0.00153683800702847	0.00973673982858429	0.00545427461585177	0.00750119631148071	0.00594510953660722	0.0118636755823986
"Melibiose -- Consumption"	0.00487330412024828	0.00209649840160583	0.00413921703226335	0.00922535643422587	0.00869704712905776	0.0105404741273393	0.00597225615549583	0.00635605406960023
