seqrun	barcode	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start
hdz12	barcode24	33	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz13	barcode01	8735	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode02	5240	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode03	9409	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode04	6325	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode05	3959	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode06	8195	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode07	7588	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode08	1558	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode09	3709	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode10	5403	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode11	5763	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode12	7980	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode13	8380	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode14	7712	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode15	833	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode16	5331	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode17	8079	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode18	7572	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode19	7403	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode20	4613	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode21	9358	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode22	9821	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode23	12009	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz13	barcode24	29	AVP114	PL12-13	PL013	2024-08-30	2024-08-30 17:37:28.176954
hdz2	barcode01	1694	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode02	1333	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
