"identifier"	"food"	"mg_fed"
"HDZ-040-S187"	"Invertebrates"	10000
"HDZ-040-S187"	"Protein Rotation"	2100
"HDZ-040-S187"	"Seasonal Veggie Rotation"	15000
"HDZ-036-S94"	"Biscuit"	13200
"HDZ-036-S94"	"Gum Arabic"	12000
"HDZ-036-S94"	"Invertebrates"	10000
"HDZ-036-S94"	"Protein Rotation"	2100
"HDZ-036-S94"	"Seasonal Veggie Rotation"	15000
"HDZ-037-S186"	"Biscuit"	13200
"HDZ-037-S186"	"Gum Arabic"	12000
"HDZ-037-S186"	"Invertebrates"	10000
"HDZ-037-S186"	"Protein Rotation"	2100
"HDZ-037-S186"	"Seasonal Veggie Rotation"	15000
"HDZ-031-E1"	"Biscuit"	13200
"HDZ-031-E1"	"Gum Arabic"	12000
"HDZ-031-E1"	"Invertebrates"	10000
"HDZ-031-E1"	"Protein Rotation"	2100
"HDZ-031-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-032-S46"	"Biscuit"	13200
"HDZ-032-S46"	"Gum Arabic"	12000
"HDZ-032-S46"	"Invertebrates"	10000
"HDZ-032-S46"	"Protein Rotation"	2100
"HDZ-032-S46"	"Seasonal Veggie Rotation"	15000
"HDZ-033-S43"	"Biscuit"	13200
"HDZ-033-S43"	"Gum Arabic"	12000
"HDZ-033-S43"	"Invertebrates"	10000
"HDZ-033-S43"	"Protein Rotation"	2100
"HDZ-033-S43"	"Seasonal Veggie Rotation"	15000
"HDZ-038-S45"	"Biscuit"	13200
"HDZ-038-S45"	"Gum Arabic"	12000
"HDZ-038-S45"	"Invertebrates"	10000
"HDZ-038-S45"	"Protein Rotation"	2100
"HDZ-038-S45"	"Seasonal Veggie Rotation"	15000
"HDZ-034-S44"	"Biscuit"	13200
"HDZ-034-S44"	"Gum Arabic"	12000
"HDZ-034-S44"	"Invertebrates"	10000
"HDZ-034-S44"	"Protein Rotation"	2100
"HDZ-034-S44"	"Seasonal Veggie Rotation"	15000
"HDZ-042-S188"	"Biscuit"	13200
"HDZ-042-S188"	"Gum Arabic"	12000
"HDZ-042-S188"	"Invertebrates"	10000
"HDZ-042-S188"	"Protein Rotation"	2100
"HDZ-042-S188"	"Seasonal Veggie Rotation"	15000
"HDZ-041-S53"	"Biscuit"	13200
"HDZ-041-S53"	"Gum Arabic"	12000
"HDZ-041-S53"	"Invertebrates"	10000
"HDZ-041-S53"	"Protein Rotation"	2100
"HDZ-041-S53"	"Seasonal Veggie Rotation"	15000
"HDZ-052-S50"	"Biscuit"	13200
"HDZ-052-S50"	"Gum Arabic"	12000
"HDZ-052-S50"	"Invertebrates"	10000
"HDZ-052-S50"	"Protein Rotation"	2100
"HDZ-052-S50"	"Seasonal Veggie Rotation"	15000
"HDZ-039-S33"	"Biscuit"	13200
"HDZ-039-S33"	"Gum Arabic"	12000
"HDZ-039-S33"	"Invertebrates"	10000
"HDZ-039-S33"	"Protein Rotation"	2100
"HDZ-039-S33"	"Seasonal Veggie Rotation"	15000
"HDZ-046-S48"	"Biscuit"	13200
"HDZ-046-S48"	"Gum Arabic"	12000
"HDZ-046-S48"	"Invertebrates"	10000
"HDZ-046-S48"	"Protein Rotation"	2100
"HDZ-046-S48"	"Seasonal Veggie Rotation"	15000
"HDZ-051-S54"	"Biscuit"	13200
"HDZ-051-S54"	"Gum Arabic"	12000
"HDZ-051-S54"	"Invertebrates"	10000
"HDZ-051-S54"	"Protein Rotation"	2100
"HDZ-051-S54"	"Seasonal Veggie Rotation"	15000
"HDZ-047-S190"	"Biscuit"	13200
"HDZ-047-S190"	"Gum Arabic"	12000
"HDZ-047-S190"	"Invertebrates"	10000
"HDZ-047-S190"	"Protein Rotation"	2100
"HDZ-047-S190"	"Seasonal Veggie Rotation"	15000
"HDZ-048-E1"	"Biscuit"	13200
"HDZ-048-E1"	"Gum Arabic"	12000
"HDZ-048-E1"	"Invertebrates"	10000
"HDZ-048-E1"	"Protein Rotation"	2100
"HDZ-048-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-043-E1"	"Biscuit"	13200
"HDZ-043-E1"	"Gum Arabic"	12000
"HDZ-043-E1"	"Invertebrates"	10000
"HDZ-043-E1"	"Protein Rotation"	2100
"HDZ-043-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-053-S191"	"Biscuit"	13200
"HDZ-053-S191"	"Gum Arabic"	12000
"HDZ-053-S191"	"Invertebrates"	10000
"HDZ-053-S191"	"Protein Rotation"	2100
"HDZ-053-S191"	"Seasonal Veggie Rotation"	15000
"HDZ-049-E1-S346"	"Biscuit"	13200
"HDZ-049-E1-S346"	"Gum Arabic"	12000
"HDZ-049-E1-S346"	"Invertebrates"	10000
"HDZ-049-E1-S346"	"Protein Rotation"	2100
"HDZ-049-E1-S346"	"Seasonal Veggie Rotation"	15000
"HDZ-054-S192"	"Biscuit"	13200
"HDZ-054-S192"	"Gum Arabic"	12000
"HDZ-054-S192"	"Invertebrates"	10000
"HDZ-054-S192"	"Protein Rotation"	2100
"HDZ-054-S192"	"Seasonal Veggie Rotation"	15000
"HDZ-044-S189"	"Biscuit"	13200
"HDZ-044-S189"	"Gum Arabic"	12000
"HDZ-044-S189"	"Invertebrates"	10000
"HDZ-044-S189"	"Protein Rotation"	2100
"HDZ-044-S189"	"Seasonal Veggie Rotation"	15000
"HDZ-059-E1"	"Biscuit"	13200
"HDZ-059-E1"	"Gum Arabic"	12000
"HDZ-059-E1"	"Invertebrates"	10000
"HDZ-059-E1"	"Protein Rotation"	2100
"HDZ-059-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-094-S66"	"Biscuit"	13200
"HDZ-094-S66"	"Gum Arabic"	12000
"HDZ-094-S66"	"Invertebrates"	10000
"HDZ-094-S66"	"Protein Rotation"	2100
"HDZ-094-S66"	"Seasonal Veggie Rotation"	15000
"HDZ-104-S69"	"Biscuit"	13200
"HDZ-104-S69"	"Gum Arabic"	12000
"HDZ-104-S69"	"Invertebrates"	10000
"HDZ-104-S69"	"Protein Rotation"	2100
"HDZ-104-S69"	"Seasonal Veggie Rotation"	15000
"HDZ-058-S63"	"Biscuit"	13200
"HDZ-058-S63"	"Gum Arabic"	12000
"HDZ-058-S63"	"Invertebrates"	10000
"HDZ-058-S63"	"Protein Rotation"	2100
"HDZ-058-S63"	"Seasonal Veggie Rotation"	15000
"HDZ-069-S193"	"Biscuit"	13200
"HDZ-069-S193"	"Gum Arabic"	12000
"HDZ-069-S193"	"Invertebrates"	10000
"HDZ-069-S193"	"Protein Rotation"	2100
"HDZ-069-S193"	"Seasonal Veggie Rotation"	15000
"HDZ-079-S25"	"Biscuit"	13200
"HDZ-079-S25"	"Gum Arabic"	12000
"HDZ-079-S25"	"Invertebrates"	10000
"HDZ-079-S25"	"Protein Rotation"	2100
"HDZ-079-S25"	"Seasonal Veggie Rotation"	15000
"HDZ-064-S2"	"Oat Gel"	5000
"HDZ-064-S2"	"Biscuit"	13200
"HDZ-064-S2"	"Gum Arabic"	12000
"HDZ-064-S2"	"Invertebrates"	8000
"HDZ-064-S2"	"Protein Rotation"	2100
"HDZ-064-S2"	"Seasonal Veggie Rotation"	20000
"HDZ-078-S27"	"Oat Gel"	5000
"HDZ-078-S27"	"Biscuit"	13200
"HDZ-078-S27"	"Gum Arabic"	12000
"HDZ-078-S27"	"Invertebrates"	8000
"HDZ-078-S27"	"Protein Rotation"	2100
"HDZ-078-S27"	"Seasonal Veggie Rotation"	20000
"HDZ-074-E1"	"Biscuit"	13200
"HDZ-074-E1"	"Gum Arabic"	12000
"HDZ-074-E1"	"Invertebrates"	10000
"HDZ-074-E1"	"Protein Rotation"	2100
"HDZ-074-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-063-S1"	"Oat Gel"	5000
"HDZ-063-S1"	"Biscuit"	13200
"HDZ-063-S1"	"Gum Arabic"	12000
"HDZ-063-S1"	"Invertebrates"	8000
"HDZ-063-S1"	"Protein Rotation"	2100
"HDZ-063-S1"	"Seasonal Veggie Rotation"	20000
"HDZ-068-S26"	"Biscuit"	13200
