alias	seqrun	collection	sampleID	subject	barcode	kit	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start	tech_replicates	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-001-s231	hdz11	2023-11-04	hdz-001	warble	barcode01	SQK-16S114-24	15054	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-028-s16	hdz1	2023-11-05	hdz-028	culi	barcode16	SQK-16S114-24	8057	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	2	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-028-s36	hdz2	2023-11-05	hdz-028	culi	barcode13	SQK-16S114-24	1958	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	2	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-027-s32	hdz2	2023-11-05	hdz-027	warble	barcode09	SQK-16S114-24	441	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-035-s185	hdz9	2023-11-06	hdz-035	culi	barcode01	SQK-16S114-24	11854	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	5	4	none	none
hdz-030-s6	hdz1	2023-11-06	hdz-030	warble	barcode06	SQK-16S114-24	9198	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	2	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-030-s37	hdz2	2023-11-06	hdz-030	warble	barcode14	SQK-16S114-24	1646	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	2	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-045-s49	hdz3	2023-11-07	hdz-045	warble	barcode03	SQK-16S114-24	3140	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-050-s232	hdz11	2023-11-08	hdz-050	warble	barcode02	SQK-16S114-24	14207	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-040-s187	hdz9	2023-11-09	hdz-040	culi	barcode03	SQK-16S114-24	15664	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-036-s94	hdz5	2023-11-09	hdz-036	warble	barcode02	SQK-16S114-24	6858	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-037-s186	hdz9	2023-11-10	hdz-037	culi	barcode02	SQK-16S114-24	6397	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-032-s46	hdz2	2023-11-11	hdz-032	culi	barcode24	SQK-16S114-24	105	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-033-s43	hdz2	2023-11-11	hdz-033	warble	barcode21	SQK-16S114-24	9	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-038-s45	hdz2	2023-11-12	hdz-038	culi	barcode23	SQK-16S114-24	1977	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-034-s44	hdz2	2023-11-12	hdz-034	warble	barcode22	SQK-16S114-24	4484	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-042-s188	hdz9	2023-11-13	hdz-042	culi	barcode04	SQK-16S114-24	5966	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-041-s53	hdz3	2023-11-13	hdz-041	warble	barcode07	SQK-16S114-24	2777	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-052-s50	hdz3	2023-11-13	hdz-052	warble	barcode04	SQK-16S114-24	3285	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-039-s33	hdz2	2023-11-14	hdz-039	culi	barcode10	SQK-16S114-24	2551	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-046-s48	hdz3	2023-11-14	hdz-046	culi	barcode02	SQK-16S114-24	881	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-051-s54	hdz3	2023-11-14	hdz-051	warble	barcode08	SQK-16S114-24	4318	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-047-s190	hdz9	2023-11-15	hdz-047	culi	barcode06	SQK-16S114-24	11592	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-053-s191	hdz9	2023-11-18	hdz-053	culi	barcode07	SQK-16S114-24	5120	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-049-e1-s346	hdz16	2023-11-18	hdz-049	warble	barcode01	SQK-16S114-24	2285	AVU071	PL016	PL16	2024-09-20	2024-09-20 23:00:38.522417	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
