"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"	"NameLoc"	"Sire"	"Dam"	"DateBirth"	"Status"	"Sex"	"CurrentLoc"	"Disposition"	"DispIcon"	"LocAssignment"	"Breeding"	"BreedIcon"	"MateID"	"Plan"	"Assignment"	"Note"	"colorCurrent"	"NameLocCurrent"	"Country"	"AgeBTP"	"AgeReal"
2667	1	"COL"	2016-03-25	"Birth"	2016-03-25	2017-08-28	"Columbus Zoo and Aquarium"	2639	2642	2016-03-25	"A"	"M"	"CLE"	"HOLD"	"'spinner'"	"CLE"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	NA	"#6C9064"	"Cleveland Metroparks Zoo"	"United States"	8	9
2667	2	"AKR"	2017-08-28	"Transfer"	2017-08-28	2022-02-25	"Akron Zoological Park"	2639	2642	2016-03-25	"A"	"M"	"CLE"	"HOLD"	"'spinner'"	"CLE"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	NA	"#6C9064"	"Cleveland Metroparks Zoo"	"United States"	8	9
2667	3	"CLE"	2022-02-25	"Transfer"	2022-02-25	2025-03-20	"Cleveland Metroparks Zoo"	2639	2642	2016-03-25	"A"	"M"	"CLE"	"HOLD"	"'spinner'"	"CLE"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	NA	"#6C9064"	"Cleveland Metroparks Zoo"	"United States"	8	9
2671	1	"ELP"	2016-09-28	"Birth"	2016-09-28	2017-10-25	"El Paso Zoo"	2449	2632	2016-09-28	"A"	"M"	"GAR"	"HOLD"	"'spinner'"	"GAR"	"BREED WITH"	"'heart-circle-check'"	2666	"Include"	NA	NA	"#443838"	"Lee Richardson Zoo"	"United States"	8	8
2671	2	"GAR"	2017-10-25	"Transfer"	2017-10-25	2025-03-20	"Lee Richardson Zoo"	2449	2632	2016-09-28	"A"	"M"	"GAR"	"HOLD"	"'spinner'"	"GAR"	"BREED WITH"	"'heart-circle-check'"	2666	"Include"	NA	NA	"#443838"	"Lee Richardson Zoo"	"United States"	8	8
2673	1	"MOO"	2016-12-16	"Birth"	2016-12-16	2018-01-30	"Aquarium & Rainforest at Moody Gardens"	2649	2638	2016-12-16	"A"	"M"	"MEM"	"HOLD"	"'spinner'"	"MEM"	"BREED WITH"	"'heart-circle-check'"	2718	"Include"	NA	NA	"#402C38"	"Memphis Zoological Garden & Aquarium"	"United States"	8	8
2673	2	"PUE"	2018-01-30	"Transfer"	2018-01-30	2019-11-04	"Pueblo Zoo"	2649	2638	2016-12-16	"A"	"M"	"MEM"	"HOLD"	"'spinner'"	"MEM"	"BREED WITH"	"'heart-circle-check'"	2718	"Include"	NA	NA	"#402C38"	"Memphis Zoological Garden & Aquarium"	"United States"	8	8
2673	3	"MEM"	2019-11-04	"Transfer"	2019-11-04	2025-03-20	"Memphis Zoological Garden & Aquarium"	2649	2638	2016-12-16	"A"	"M"	"MEM"	"HOLD"	"'spinner'"	"MEM"	"BREED WITH"	"'heart-circle-check'"	2718	"Include"	NA	NA	"#402C38"	"Memphis Zoological Garden & Aquarium"	"United States"	8	8
2676	1	"CBR"	2016-11-03	"Birth"	2016-11-03	2017-10-26	"Chicago Zoological Park / Brookfield Zoo"	2631	2626	2016-11-03	"A"	"M"	"PHI"	"HOLD"	"'spinner'"	"PHI"	"BREED WITH"	"'heart-circle-check'"	2713	"Include"	NA	NA	"#808064"	"Philadelphia Zoo"	"United States"	8	8
2676	2	"PHI"	2017-10-26	"Transfer"	2017-10-26	2025-03-20	"Philadelphia Zoo"	2631	2626	2016-11-03	"A"	"M"	"PHI"	"HOLD"	"'spinner'"	"PHI"	"BREED WITH"	"'heart-circle-check'"	2713	"Include"	NA	NA	"#808064"	"Philadelphia Zoo"	"United States"	8	8
2677	1	"DUK"	2017-01-18	"Birth"	2017-01-18	2017-09-14	"Duke Lemur Center"	2496	2502	2017-01-18	"A"	"F"	"OMA"	"HOLD"	"'spinner'"	"OMA"	"BREED WITH"	"'heart-circle-check'"	2652	"Include"	NA	NA	"#CCB08C"	"Omaha's Henry Doorly Zoo"	"United States"	7	8
2677	2	"OMA"	2017-09-14	"Transfer"	2017-09-14	2025-03-20	"Omaha's Henry Doorly Zoo"	2496	2502	2017-01-18	"A"	"F"	"OMA"	"HOLD"	"'spinner'"	"OMA"	"BREED WITH"	"'heart-circle-check'"	2652	"Include"	NA	NA	"#CCB08C"	"Omaha's Henry Doorly Zoo"	"United States"	7	8
2679	1	"COL"	2017-02-05	"Birth"	2017-02-05	2019-07-11	"Columbus Zoo and Aquarium"	2639	2642	2017-02-05	"A"	"F"	"DUL"	"HOLD"	"'spinner'"	"DUL"	"BREED WITH"	"'heart-circle-check'"	2685	"Include"	NA	NA	"#000000"	"Lake Superior Zoological Gardens"	"United States"	7	8
2679	2	"DUL"	2019-07-11	"Transfer"	2019-07-11	2025-03-20	"Lake Superior Zoological Gardens"	2639	2642	2017-02-05	"A"	"F"	"DUL"	"HOLD"	"'spinner'"	"DUL"	"BREED WITH"	"'heart-circle-check'"	2685	"Include"	NA	NA	"#000000"	"Lake Superior Zoological Gardens"	"United States"	7	8
2682	1	"LIT"	2017-08-08	"Birth"	2017-08-08	2019-02-14	"Little Rock Zoological Gardens"	2634	2654	2017-08-08	"A"	"M"	"NYB"	"SEND TO"	"'plane-departure'"	"BLO"	"BREED WITH"	"'heart-circle-check'"	2708	"Include"	NA	NA	"#6C5044"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	7	7
2682	1	"LIT"	2017-08-08	"Birth"	2017-08-08	2019-02-14	"Little Rock Zoological Gardens"	2634	2654	2017-08-08	"A"	"M"	"BLO"	"RECEIVE FROM"	"'plane-arrival'"	"NYB"	"BREED WITH"	"'heart-circle-check'"	2708	"Include"	NA	NA	"#A88464"	"Miller Park Zoo"	"United States"	7	7
2682	2	"BLO"	2019-02-14	"Transfer"	2019-02-14	2025-03-20	"Miller Park Zoo"	2634	2654	2017-08-08	"A"	"M"	"NYB"	"SEND TO"	"'plane-departure'"	"BLO"	"BREED WITH"	"'heart-circle-check'"	2708	"Include"	NA	NA	"#6C5044"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	7	7
2682	2	"BLO"	2019-02-14	"Transfer"	2019-02-14	2025-03-20	"Miller Park Zoo"	2634	2654	2017-08-08	"A"	"M"	"BLO"	"RECEIVE FROM"	"'plane-arrival'"	"NYB"	"BREED WITH"	"'heart-circle-check'"	2708	"Include"	NA	NA	"#A88464"	"Miller Park Zoo"	"United States"	7	7
2685	1	"CHI"	2017-11-28	"Birth"	2017-11-28	2019-07-11	"Lincoln Park Zoological Gardens"	2646	2637	2017-11-28	"A"	"M"	"DUL"	"HOLD"	"'spinner'"	"DUL"	"BREED WITH"	"'heart-circle-check'"	2679	"Include"	NA	NA	"#000000"	"Lake Superior Zoological Gardens"	"United States"	7	7
2685	2	"DUL"	2019-07-11	"Transfer"	2019-07-11	2025-03-20	"Lake Superior Zoological Gardens"	2646	2637	2017-11-28	"A"	"M"	"DUL"	"HOLD"	"'spinner'"	"DUL"	"BREED WITH"	"'heart-circle-check'"	2679	"Include"	NA	NA	"#000000"	"Lake Superior Zoological Gardens"	"United States"	7	7
2689	1	"COL"	2019-05-28	"Birth"	2019-05-28	2020-06-25	"Columbus Zoo and Aquarium"	2639	2659	2019-05-28	"A"	"M"	"COL"	"HOLD"	"'spinner'"	"COL"	"BREED WITH"	"'heart-circle-check'"	2642	"Include"	NA	NA	"#2C0808"	"Columbus Zoo and Aquarium"	"United States"	5	5
2689	2	"CLE"	2020-06-25	"Transfer"	2020-06-25	2022-06-23	"Cleveland Metroparks Zoo"	2639	2659	2019-05-28	"A"	"M"	"COL"	"HOLD"	"'spinner'"	"COL"	"BREED WITH"	"'heart-circle-check'"	2642	"Include"	NA	NA	"#2C0808"	"Columbus Zoo and Aquarium"	"United States"	5	5
2689	3	"AKR"	2022-06-23	"Transfer"	2022-06-23	2024-04-30	"Akron Zoological Park"	2639	2659	2019-05-28	"A"	"M"	"COL"	"HOLD"	"'spinner'"	"COL"	"BREED WITH"	"'heart-circle-check'"	2642	"Include"	NA	NA	"#2C0808"	"Columbus Zoo and Aquarium"	"United States"	5	5
2689	4	"COL"	2024-04-30	"Transfer"	2024-04-30	2025-03-20	"Columbus Zoo and Aquarium"	2639	2659	2019-05-28	"A"	"M"	"COL"	"HOLD"	"'spinner'"	"COL"	"BREED WITH"	"'heart-circle-check'"	2642	"Include"	NA	NA	"#2C0808"	"Columbus Zoo and Aquarium"	"United States"	5	5
2690	1	"COL"	2019-05-28	"Birth"	2019-05-28	2020-06-25	"Columbus Zoo and Aquarium"	2639	2659	2019-05-28	"A"	"M"	"AKR"	"HOLD"	"'spinner'"	"AKR"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	NA	"#600814"	"Akron Zoological Park"	"United States"	5	5
2690	2	"CLE"	2020-06-25	"Transfer"	2020-06-25	2022-06-23	"Cleveland Metroparks Zoo"	2639	2659	2019-05-28	"A"	"M"	"AKR"	"HOLD"	"'spinner'"	"AKR"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	NA	"#600814"	"Akron Zoological Park"	"United States"	5	5
2690	3	"AKR"	2022-06-23	"Transfer"	2022-06-23	2025-03-20	"Akron Zoological Park"	2639	2659	2019-05-28	"A"	"M"	"AKR"	"HOLD"	"'spinner'"	"AKR"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	NA	"#600814"	"Akron Zoological Park"	"United States"	5	5
2707	1	"CBR"	2020-08-26	"Birth"	2020-08-26	2022-10-04	"Chicago Zoological Park / Brookfield Zoo"	2631	2626	2020-08-26	"A"	"F"	"CHI"	"HOLD"	"'spinner'"	"CHI"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	"The SSP Coordinator is aware of the health monitoring of 2707, please reach out if you are interested in breeding in the future."	"#2C1418"	"Lincoln Park Zoological Gardens"	"United States"	4	4
2707	2	"CHI"	2022-10-04	"Transfer"	2022-10-04	2025-03-20	"Lincoln Park Zoological Gardens"	2631	2626	2020-08-26	"A"	"F"	"CHI"	"HOLD"	"'spinner'"	"CHI"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	"The SSP Coordinator is aware of the health monitoring of 2707, please reach out if you are interested in breeding in the future."	"#2C1418"	"Lincoln Park Zoological Gardens"	"United States"	4	4
2708	1	"CBR"	2020-08-26	"Birth"	2020-08-26	2022-08-25	"Chicago Zoological Park / Brookfield Zoo"	2631	2626	2020-08-26	"A"	"F"	"NZP"	"RECEIVE FROM"	"'plane-arrival'"	"NYB"	"BREED WITH"	"'heart-circle-check'"	2682	"Include"	NA	NA	"#A8444C"	"Smithsonian National Zoological Park"	"United States"	4	4
2708	1	"CBR"	2020-08-26	"Birth"	2020-08-26	2022-08-25	"Chicago Zoological Park / Brookfield Zoo"	2631	2626	2020-08-26	"A"	"F"	"NYB"	"SEND TO"	"'plane-departure'"	"NZP"	"BREED WITH"	"'heart-circle-check'"	2682	"Include"	NA	NA	"#6C5044"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	4	4
2708	2	"NZP"	2022-08-25	"Transfer"	2022-08-25	2025-03-20	"Smithsonian National Zoological Park"	2631	2626	2020-08-26	"A"	"F"	"NZP"	"RECEIVE FROM"	"'plane-arrival'"	"NYB"	"BREED WITH"	"'heart-circle-check'"	2682	"Include"	NA	NA	"#A8444C"	"Smithsonian National Zoological Park"	"United States"	4	4
