"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"	"Status"	"NameLoc"	"Country"	"Sex"	"Sire"	"Dam"	"DateBirth"
2632	2	"ELP"	2012-02-01	"Transfer"	2012-02-01	2025-01-01	"D"	"El Paso Zoo"	"United States"	"F"	1130	2436	2010-08-09
2632	2	"ELP"	2012-02-01	"End"	2025-01-01	2025-01-01	"D"	"El Paso Zoo"	"United States"	"F"	1130	2436	2010-08-09
2633	1	"PHI"	2010-08-09	"Birth"	2010-08-09	2010-08-09	"D"	"Philadelphia Zoo"	"United States"	"U"	1130	2436	2010-08-09
2633	1	"PHI"	2010-08-09	"End"	2010-08-09	2010-08-09	"D"	"Philadelphia Zoo"	"United States"	"U"	1130	2436	2010-08-09
2634	1	"ABQ"	2010-08-12	"Birth"	2010-08-12	2014-04-24	"D"	"Albuquerque Biological Park"	"United States"	"M"	1131	2414	2010-08-12
2634	2	"LIT"	2014-04-24	"Transfer"	2014-04-24	2024-11-18	"D"	"Little Rock Zoological Gardens"	"United States"	"M"	1131	2414	2010-08-12
2634	2	"LIT"	2014-04-24	"End"	2024-11-18	2024-11-18	"D"	"Little Rock Zoological Gardens"	"United States"	"M"	1131	2414	2010-08-12
2635	1	"ABQ"	2010-08-12	"Birth"	2010-08-12	2013-12-12	"D"	"Albuquerque Biological Park"	"United States"	"M"	1131	2414	2010-08-12
2635	2	"BUS"	2013-12-12	"Transfer"	2013-12-12	2017-01-03	"D"	"Busch Gardens Tampa Bay"	"United States"	"M"	1131	2414	2010-08-12
2635	3	"BLO"	2017-01-03	"Transfer"	2017-01-03	2018-02-23	"D"	"Miller Park Zoo"	"United States"	"M"	1131	2414	2010-08-12
2635	3	"BLO"	2017-01-03	"End"	2018-02-23	2018-02-23	"D"	"Miller Park Zoo"	"United States"	"M"	1131	2414	2010-08-12
2636	1	"NYB"	2010-12-06	"Birth"	2010-12-06	2011-05-22	"D"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"U"	2417	2423	2010-12-06
2636	1	"NYB"	2010-12-06	"End"	2011-05-22	2011-05-22	"D"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"U"	2417	2423	2010-12-06
2637	1	"DUK"	2011-02-04	"Birth"	2011-02-04	2011-10-26	"A"	"Duke Lemur Center"	"United States"	"F"	2406	2608	2011-02-04
2637	2	"CBR"	2011-10-26	"Transfer"	2011-10-26	2015-07-08	"A"	"Chicago Zoological Park / Brookfield Zoo"	"United States"	"F"	2406	2608	2011-02-04
2637	3	"CHI"	2015-07-08	"Transfer"	2015-07-08	2025-03-20	"A"	"Lincoln Park Zoological Gardens"	"United States"	"F"	2406	2608	2011-02-04
2637	3	"CHI"	2015-07-08	"End"	2025-03-20	2025-03-20	"A"	"Lincoln Park Zoological Gardens"	"United States"	"F"	2406	2608	2011-02-04
2638	1	"MOO"	2011-06-14	"Birth"	2011-06-14	2023-01-01	"D"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"F"	1121	1145	2011-06-14
2638	1	"MOO"	2011-06-14	"End"	2023-01-01	2023-01-01	"D"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"F"	1121	1145	2011-06-14
2639	1	"MOO"	2011-06-14	"Birth"	2011-06-14	2013-12-04	"D"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"M"	1121	1145	2011-06-14
2639	2	"COL"	2013-12-04	"Transfer"	2013-12-04	2022-02-25	"D"	"Columbus Zoo and Aquarium"	"United States"	"M"	1121	1145	2011-06-14
2639	2	"COL"	2013-12-04	"End"	2022-02-25	2022-02-25	"D"	"Columbus Zoo and Aquarium"	"United States"	"M"	1121	1145	2011-06-14
2640	1	"DUK"	2012-04-09	"Birth"	2012-04-09	2014-05-14	"A"	"Duke Lemur Center"	"United States"	"F"	2420	2608	2012-04-09
2640	2	"NYB"	2014-05-14	"Transfer"	2014-05-14	2025-03-20	"A"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"F"	2420	2608	2012-04-09
2640	2	"NYB"	2014-05-14	"End"	2025-03-20	2025-03-20	"A"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"F"	2420	2608	2012-04-09
2641	1	"DUK"	2012-04-09	"Birth"	2012-04-09	2014-06-11	"A"	"Duke Lemur Center"	"United States"	"M"	2420	2608	2012-04-09
2641	2	"SOZ"	2014-06-11	"Transfer"	2014-06-11	2018-05-23	"A"	"San Diego Zoo"	"United States"	"M"	2420	2608	2012-04-09
2641	3	"EVA"	2018-05-23	"Transfer"	2018-05-23	2025-03-20	"A"	"Mesker Park Zoo"	"United States"	"M"	2420	2608	2012-04-09
2641	3	"EVA"	2018-05-23	"End"	2025-03-20	2025-03-20	"A"	"Mesker Park Zoo"	"United States"	"M"	2420	2608	2012-04-09
2642	1	"GAR"	2011-10-27	"Birth"	2011-10-27	2013-11-23	"A"	"Lee Richardson Zoo"	"United States"	"F"	2402	2451	2011-10-27
2642	2	"COL"	2013-11-23	"Transfer"	2013-11-23	2025-03-20	"A"	"Columbus Zoo and Aquarium"	"United States"	"F"	2402	2451	2011-10-27
2642	2	"COL"	2013-11-23	"End"	2025-03-20	2025-03-20	"A"	"Columbus Zoo and Aquarium"	"United States"	"F"	2402	2451	2011-10-27
2643	1	"NYB"	2011-12-09	"Birth"	2011-12-09	2011-12-11	"D"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"F"	2417	2423	2011-12-09
2643	1	"NYB"	2011-12-09	"End"	2011-12-11	2011-12-11	"D"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"F"	2417	2423	2011-12-09
2644	1	"NYB"	2011-12-09	"Birth"	2011-12-09	2011-12-12	"D"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"U"	2417	2423	2011-12-09
2644	1	"NYB"	2011-12-09	"End"	2011-12-12	2011-12-12	"D"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"U"	2417	2423	2011-12-09
2645	1	"ABQ"	2011-12-07	"Birth"	2011-12-07	2015-01-20	"D"	"Albuquerque Biological Park"	"United States"	"M"	1131	2414	2011-12-07
