Institution Name,Mnemonic,Country,Association,"Current
Holdings","Historic
Holdings"
Woodland Park Zoo,SEATTLE,United States,"AZA, WAZA",0 (0.0.0),19 (8.8.3)
Shaldon Wildlife Trust,SHALDON,United Kingdom,"BIAZA, EAZA",0 (0.0.0),1 (1.0.0)
Skansen Akvariet,SKANAKV,Sweden,"SAZA, EAZA, WAZA",0 (0.0.0),"37
(19.18.0)"
Saint Louis Zoological Park,ST LOUIS,United States,"AZA, WAZA",0 (0.0.0),4 (2.2.0)
Taipei Zoo,TAIPEI,Taiwan,"WAZA, SEAZA,
EAZA, TAZASSOC",0 (0.0.0),1 (0.1.0)
Toronto Zoo,TORONTO,Canada,"AZA, WPC, CAZA, WAZA",0 (0.0.0),1 (1.0.0)
Undetermined Location,UNDETERMI,Undetermined,,0 (0.0.0),2 (0.2.0)
US Fish and Wildlife Service [General],USFWS,United States,,0 (0.0.0),2 (1.1.0)
Miejski Ogrod Zoologiczny Warsaw,WARSAW,Poland,"WAZA, EARAZA, EAZA, PZDA",0 (0.0.0),1 (1.0.0)
Oglebay's Good Children's Zoo,WHEELING,United States,AZA,0 (0.0.0),3 (1.2.0)
SWITZRLND: Invalid use of GeoRef,,Switzerland,,0 (0.0.0),1 (1.0.0)
US Dept of the Interior (USDI),USDI,United States,,0 (0.0.0),8 (3.5.0)
Wildlife World Zoo,WILD WRLD,United States,"ZAAUS, AMMPA",0 (0.0.0),2 (1.1.0)
Worldwide Primates (Matt Block),WORLDWID E,United States,,0 (0.0.0),1 (1.0.0)
