"Taxa"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00185714285714286	0.00214285714285714	0.00328571428571429	0.000857142857142857	0.00285714285714286	0.00242857142857143	0.00685714285714286	0.0151428571428571	0.00442857142857143	0.001	0.00157142857142857	0.000714285714285714	0.00142857142857143	0.00257142857142857	0.00128571428571429	0.005	0.0161428571428571	0.00314285714285714	0.00157142857142857	0.00257142857142857	0.00214285714285714	0.00657142857142857	0.00342857142857143	0.00171428571428571	0.00614285714285714	0.00357142857142857	0.00385714285714286	0.00171428571428571	0.00285714285714286	0.00485714285714286	0.00671428571428571	0.00471428571428571	0.00257142857142857	0.00214285714285714	0.00485714285714286	0.00157142857142857	0.00371428571428571	0.003	0.00271428571428571	0.00728571428571429	0.000857142857142857	0.00142857142857143	0.00542857142857143	0.00285714285714286	0.00157142857142857	0.00285714285714286	0.00657142857142857	0.00271428571428571	0.007	0.001	0.00357142857142857	0.0108571428571429	0.00242857142857143	0.00185714285714286	0.00642857142857143	0.00228571428571429	0.00242857142857143	0.00542857142857143	0.00114285714285714	0.00242857142857143	0.00414285714285714	0.00171428571428571	0.00185714285714286	0.00185714285714286	0.00185714285714286	0.003	0.00314285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0.000285714285714286	0	0.000142857142857143	0	0.000285714285714286	0.000285714285714286	0	0	0.000142857142857143	0.000285714285714286	0.000857142857142857	0	0	0	0	0.000714285714285714	0	0	0	0	0	0.00242857142857143	0	0	0	0.0201428571428571	0.000142857142857143	0.000142857142857143	0.000428571428571429	0	0	0.000285714285714286	0.000142857142857143	0	0	0.00128571428571429	0.00357142857142857	0	0	0.00142857142857143	0.00142857142857143	0.00342857142857143	0.00285714285714286	0.00128571428571429	0.00157142857142857	0.000428571428571429	0.000428571428571429	0.000714285714285714	0.0191428571428571	0.00928571428571429	0.002	0.000714285714285714	0.000571428571428571	0.00614285714285714	0.004	0.00442857142857143	0.00171428571428571	0.00257142857142857	0.000857142857142857	0.0324285714285714	0.0294285714285714	0.00157142857142857	0	0.000285714285714286	0.00514285714285714	0.00371428571428571	0.0104285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00657142857142857	0.00214285714285714	0.00228571428571429	0.000142857142857143	0.000285714285714286	0.00314285714285714	0.00214285714285714	0.00128571428571429	0.00285714285714286	0.00314285714285714	0.00314285714285714	0.00185714285714286	0.00185714285714286	0.00128571428571429	0.001	0.00257142857142857	0.000571428571428571	0.00157142857142857	0.001	0.00428571428571429	0.001	0.00171428571428571	0.00128571428571429	0.00114285714285714	0.00142857142857143	0.00185714285714286	0.00142857142857143	0.000857142857142857	0.000857142857142857	0.000571428571428571	0.000857142857142857	0.000142857142857143	0.000857142857142857	0.003	0.00371428571428571	0.000428571428571429	0.005	0.000428571428571429	0.00285714285714286	0	0.00114285714285714	0.00314285714285714	0.00571428571428571	0.00171428571428571	0.00228571428571429	0.00142857142857143	0.00242857142857143	0.00228571428571429	0.00114285714285714	0.00357142857142857	0.00228571428571429	0.00142857142857143	0.00242857142857143	0.00328571428571429	0.002	0.00128571428571429	0.00185714285714286	0.005	0.00771428571428571	0.000142857142857143	0.00128571428571429	0.00471428571428571	0.00357142857142857	0.001	0.000571428571428571	0.00214285714285714	0.00185714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000285714285714286	0	0	0	0.00128571428571429	0	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0.000142857142857143	0	0	0	0	0.000428571428571429	0	0	0.00571428571428571	0.0282857142857143	0.000142857142857143	0.000428571428571429	0	0	0	0	0.000285714285714286	0	0.000714285714285714	0	0	0	0.006	0	0.000857142857142857	0.000142857142857143	0.00371428571428571	0.000714285714285714	0.0388571428571429	0.00814285714285714	0	0.0372857142857143	0	0.000142857142857143	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000428571428571429	0.000142857142857143	0.007	0.000714285714285714	0.000142857142857143	0	0	0	0	0	0	0.00114285714285714	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0	0	0.000285714285714286	0	0	0	0.000142857142857143	0	0	0	0.000142857142857143	0	0	0.00171428571428571	0	0	0	0.00171428571428571	0.000142857142857143	0	0.0365714285714286	0.0247142857142857	0.000285714285714286	0	0	0.000428571428571429	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0	0.000285714285714286	0	0	0	0.000714285714285714	0.000142857142857143	0.0354285714285714	0.001	0	0.000142857142857143	0	0.000142857142857143	0	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.00114285714285714	0.000142857142857143	0	0.000857142857142857	0.00385714285714286	0.000285714285714286	0.00428571428571429	0.00171428571428571	0.000714285714285714	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.00228571428571429	0.00114285714285714	0.00471428571428571	0.000142857142857143	0.00657142857142857	0.000428571428571429	0.000571428571428571	0.000857142857142857	0.00214285714285714	0.00128571428571429	0.00357142857142857	0.002	0.00214285714285714	0.00228571428571429	0.00114285714285714	0.00414285714285714	0.000142857142857143	0.00142857142857143	0.000142857142857143	0.000285714285714286	0.00185714285714286	0.00214285714285714	0.00114285714285714	0.000714285714285714	0.000285714285714286	0.000285714285714286	0.00142857142857143	0	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000714285714285714	0	0.00185714285714286	0.000428571428571429	0	0.000142857142857143	0.001	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.00371428571428571	0.000857142857142857	0.000714285714285714	0.000142857142857143	0	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0	0.000142857142857143	0.000285714285714286	0	0.00142857142857143	0.000285714285714286	0.000285714285714286	0	0	0.000857142857142857	0.001	0	0.000142857142857143	0.00114285714285714	0	0	0	0.000142857142857143	0	0	0	0.0231428571428571	0.000571428571428571	0	0	0.00142857142857143	0.000142857142857143	0.001	0.000285714285714286	0.000142857142857143	0	0.00142857142857143	0	0.000285714285714286	0	0	0	0	0.000142857142857143	0.00328571428571429	0.001	0	0	0.000285714285714286	0	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000714285714285714	0	0.00114285714285714	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0.000285714285714286	0	0.000142857142857143	0.00228571428571429	0.00271428571428571	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.00528571428571429	0.02
"k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales"	0	0	0	0	0.000428571428571429	0.000142857142857143	0.000285714285714286	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0.000142857142857143	0.002	0.000285714285714286	0.000428571428571429	0.000428571428571429	0	0.000428571428571429	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000428571428571429	0	0	0	0	0	0.000142857142857143	0	0.000285714285714286	0	0	0.00542857142857143	0.001	0.000857142857142857	0.000285714285714286	0.00414285714285714	0	0	0.00642857142857143	0.00342857142857143	0.00185714285714286	0.00214285714285714	0.00285714285714286	0.00128571428571429	0.000428571428571429	0	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales"	0.000428571428571429	0.000285714285714286	0	0.000428571428571429	0.000285714285714286	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.000285714285714286	0.000714285714285714	0	0.000142857142857143	0	0.000142857142857143	0	0.000142857142857143	0.000714285714285714	0	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000714285714285714	0.000285714285714286	0	0.000714285714285714	0.000285714285714286	0	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000285714285714286	0	0.000428571428571429	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.000857142857142857	0.000142857142857143	0	0.000142857142857143	0.002	0.000285714285714286	0	0.000714285714285714	0.00114285714285714	0.00142857142857143	0.00214285714285714	0.000428571428571429	0.000571428571428571	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.00128571428571429	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.000857142857142857	0	0.000428571428571429	0.000285714285714286	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0.000571428571428571	0	0.000428571428571429	0	0.000142857142857143	0	0	0	0	0	0.000285714285714286	0	0.000714285714285714	0	0	0.000142857142857143	0.000714285714285714	0.000857142857142857	0.000428571428571429	0	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.000571428571428571	0.000285714285714286	0.000142857142857143	0	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0.000285714285714286	0	0	0	0	0	0	0.000428571428571429	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0.000285714285714286	0	0.000142857142857143	0	0	0	0	0.000142857142857143	0	0	0
