code,Location,Institution,State_Province,Country,code_country,iconLoc,colorLoc
LAN,LANGLEY,Mountain View Conservation & Breeding,British Columbia,Canada,CAN,🇨🇦,#AE027EFF
LIT,LITTLEROC,Little Rock Zoological Gardens,Arkansas,United States,USA,🇺🇸,#FFEDB3FF
LOS,LOSANGELE,Los Angeles Zoo & Botanical Gardens,California,United States,USA,🇺🇸,#FDB462FF
LAO,LaoPeoplesDemocraticRepublic,Wild,Laos,Laos,LAO,🇱🇦,#BFE6CFFF
MEM,MEMPHIS,Memphis Zoological Garden & Aquarium,Tennessee,United States,USA,🇺🇸,#FCB482FF
MIL,MILWAUKEE,Milwaukee County Zoological Gardens,Wisconsin,United States,USA,🇺🇸,#FFFF66FF
MIN,MINNESOTA,Minnesota Zoological Garden,Minnesota,United States,USA,🇺🇸,#FDB46CFF
MOO,MOODY,Aquarium & Rainforest at Moody Gardens,Texas,United States,USA,🇺🇸,#F1D576FF
MOS,MOSCOW,Moscow Zoological Park,Russia,Russian Federation,RUS,🇷🇺,#B3CA8EFF
MYA,MYAKKACLR,Lemur Conservation Foundation,Florida,United States,USA,🇺🇸,#E36F5CFF
NYB,NYBRONX,Bronx Zoo/Wildlife Conservation Society,New York,United States,USA,🇺🇸,#FFFFBFFF
NZP,NZPWASH,Smithsonian National Zoological Park,District of Columbia,United States,USA,🇺🇸,#983999FF
OAS,OASES,OASES (John Creviston),British Columbia,Canada,CAN,🇨🇦,#FB745CFF
OMA,OMAHA,Omaha's Henry Doorly Zoo,Nebraska,United States,USA,🇺🇸,#FB8D76FF
PAI,PAIGNTON,Paignton Zoo Environmental Park,United Kingdom,United Kingdom,GBR,🇬🇧,#CCECF4FF
PHI,PHILADELP,Philadelphia Zoo,Pennsylvania,United States,USA,🇺🇸,#F0047FFF
POZ,POZNAN,Ogrod Zoologiczny w Poznaniu,Poland,Poland,POL,🇵🇱,#D6AAD3FF
PRO,PROSPECTP,Prospect Park Zoo,New York,United States,USA,🇺🇸,#FB9A85FF
PUB,PUBLIC,General Public,Undetermined,Undetermined,UND,?,#FEB342FF
PUE,PUEBLO,Pueblo Zoo,Colorado,United States,USA,🇺🇸,#E5AC4DFF
QUE,QUEBEC,Jardin Zoologique du Quebec (extinct),Quebec,Canada,CAN,🇨🇦,#D9F0BBFF
SOZ,SANDIEGOZ,San Diego Zoo,California,United States,USA,🇺🇸,#67BCD8FF
SAN,SANFRAN,San Francisco Zoological Gardens,California,United States,USA,🇺🇸,#009270FF
SBA,SBARBARA,Santa Barbara Zoological Gardens,California,United States,USA,🇺🇸,#8CBEB4FF
SDW,SDWAP,San Diego Zoo Safari Park,California,United States,USA,🇺🇸,#7FA056FF
SEA,SEATTLE,Woodland Park Zoo,Washington,United States,USA,🇺🇸,#B3E1B6FF
SHA,SHALDON,Shaldon Wildlife Trust,United Kingdom,United Kingdom,GBR,🇬🇧,#E6F5C9FF
SKA,SKANAKV,Skansen Akvariet,Sweden,Sweden,SWE,🇸🇪,#B3DF7FFF
STL,STLOUIS,Saint Louis Zoological Park,Missouri,United States,USA,🇺🇸,#B3E1C2FF
SWI,SWITZRLNDInvaliduseofGeoRef,SWITZRLND: Invalid use of GeoRef,Switzerland,Switzerland,CHE,🇨🇭,#FDCDA1FF
TAI,TAIPEI,Taipei Zoo,Taiwan,Taiwan,TWN,🇹🇼,#CCECDDFF
TOR,TORONTO,Toronto Zoo,Ontario,Canada,CAN,🇨🇦,#E6F47FFF
THA,Thailand,Wild,Thailand,Thailand,THA,🇹🇭,#678F66FF
UND,UNDETERMI,Undetermined Location,Undetermined,Undetermined,UND,?,#E3B9DBFF
USD,USDI,US Dept of the Interior (USDI),Undetermined,United States,USA,🇺🇸,#D9F1F7FF
USF,USFWS,US Fish and Wildlife Service [General],Undetermined,United States,USA,🇺🇸,#8CCD60FF
VIE,VietNam,Wild,Vietnam,Vietnam,VNM,🇻🇳,#F74370FF
WAR,WARSAW,Miejski Ogrod Zoologiczny Warsaw,Poland,Poland,POL,🇵🇱,#BFE6CFFF
WHE,WHEELING,Oglebay's Good Children's Zoo,West Virginia,United States,USA,🇺🇸,#F668B2FF
WIL,WILDWRLD,Wildlife World Zoo,Arizona,United States,USA,🇺🇸,#A6BA80FF
WGE,WORANGE,Turtle Back Zoo,New Jersey,United States,USA,🇺🇸,#FBA794FF
WOR,WORLDWIDE,Worldwide Primates (Matt Block),Florida,United States,USA,🇺🇸,#B168B1FF
