OTU	HDZ-culi-430-S292	HDZ-culi-444-S296	HDZ-culi-445-S297	HDZ-culi-250-S150	HDZ-culi-408-S338	HDZ-culi-252-S152	HDZ-culi-040-S187	HDZ-culi-249-S149	HDZ-culi-192-S75	HDZ-culi-361-S184	HDZ-culi-026-S15	HDZ-culi-363-S209	HDZ-culi-362-S208	HDZ-culi-395-S272	HDZ-culi-085-S92	HDZ-culi-263-S166	HDZ-culi-253-S153	HDZ-culi-035-S185	HDZ-culi-426-S226	HDZ-culi-054-S192	HDZ-culi-226-S124	HDZ-culi-058-S63	HDZ-culi-203-S203	HDZ-culi-311-S120	HDZ-culi-381-S327	HDZ-culi-169-S244	HDZ-culi-254-S154	HDZ-culi-400-S331	HDZ-culi-235-S282	HDZ-culi-022-S31	HDZ-culi-065-S4	HDZ-culi-057-S233	HDZ-culi-221-S90	HDZ-culi-028-S16	HDZ-culi-258-S162	HDZ-culi-271-S311	HDZ-culi-197-S202	HDZ-culi-184-S248	HDZ-culi-390-S267	HDZ-culi-322-S133	HDZ-culi-013-S8	HDZ-culi-437-S253	HDZ-culi-078-S27	HDZ-culi-202-E1-S348b	HDZ-culi-270-S310	HDZ-culi-272-S312	HDZ-culi-317-S155	HDZ-culi-094-S66	HDZ-culi-018-S30	HDZ-culi-364-S210	HDZ-culi-071-S79	HDZ-culi-245-S145	HDZ-culi-269-S309	HDZ-culi-320-S131	HDZ-culi-345-S258	HDZ-culi-211-S106	HDZ-culi-201-E1-S347	HDZ-culi-047-S190	HDZ-culi-365-S211	HDZ-culi-398-S329	HDZ-culi-037-S186	HDZ-culi-273-S313	HDZ-culi-088-S234	HDZ-culi-405-S335	HDZ-culi-097-S91	HDZ-culi-240-S140	HDZ-culi-174-S247	HDZ-culi-176-S51	HDZ-culi-389-S266	HDZ-culi-076-S24	HDZ-culi-175-S61	HDZ-culi-156-S68	HDZ-culi-324-S135	HDZ-culi-241-S141	HDZ-culi-024-S19	HDZ-culi-264-S167	HDZ-culi-372-S218	HDZ-culi-274-S314	HDZ-culi-339-S252	HDZ-culi-039-S33	HDZ-culi-243-S143	HDZ-culi-327-S138	HDZ-culi-326-S137	HDZ-culi-102-S96	HDZ-culi-341-S170	HDZ-culi-238-S306	HDZ-culi-108-S60	HDZ-culi-373-S219	HDZ-culi-182-S52	HDZ-culi-401-S332	HDZ-culi-215-S108	HDZ-culi-220-S85	HDZ-culi-301-S110	HDZ-culi-434-S230	HDZ-culi-021-S7	HDZ-culi-084-S35	HDZ-culi-357-S180	HDZ-culi-091-S236	HDZ-culi-066-S5	HDZ-culi-450-S322	HDZ-culi-231-S278	HDZ-culi-230-S277	HDZ-culi-229-S130	HDZ-culi-236-S283	HDZ-culi-016-S21	HDZ-culi-328-S158	HDZ-culi-336-S159	HDZ-culi-190-S59	HDZ-culi-429-E1-S355	HDZ-culi-262-S165	HDZ-culi-348-S259	HDZ-culi-198-S88	HDZ-culi-394-S271	HDZ-culi-396-S273	HDZ-culi-383-S260	HDZ-culi-452-S344	HDZ-culi-181-S74	HDZ-culi-318-S156	HDZ-culi-305-S114	HDZ-culi-064-S2	HDZ-culi-319-S157	HDZ-culi-224-S123	HDZ-culi-350-S174	HDZ-culi-187-S71	HDZ-culi-014-S18	HDZ-culi-330-S323	HDZ-culi-087-S78	HDZ-culi-442-S294	HDZ-culi-347-S318	HDZ-culi-201-E1-S347b	HDZ-culi-180-S99	HDZ-culi-384-S261	HDZ-culi-433-S229	HDZ-culi-358-S181	HDZ-culi-429-E1-S355b	HDZ-culi-342-S171	HDZ-culi-388-S265	HDZ-culi-010-S23	HDZ-culi-053-S191	HDZ-culi-438-S275	HDZ-culi-077-S38	HDZ-culi-386-S263	HDZ-culi-310-S119	HDZ-culi-020-S12	HDZ-culi-089-S64	HDZ-culi-370-S216	HDZ-culi-352-S176	HDZ-culi-321-S132	HDZ-culi-098-S238	HDZ-culi-392-S269	HDZ-culi-042-S188	HDZ-culi-377-S287	HDZ-culi-266-S254	HDZ-culi-222-S109	HDZ-culi-163-S82	HDZ-culi-063-S1	HDZ-culi-046-S48	HDZ-culi-166-S197	HDZ-culi-196-S76	HDZ-culi-011-S10	HDZ-culi-168-S58	HDZ-culi-167-S198	HDZ-culi-204-S249	HDZ-culi-219-S81	HDZ-culi-308-S117	HDZ-culi-314-S126	HDZ-culi-060-S80	HDZ-culi-233-S280	HDZ-culi-227-S128	HDZ-culi-179-S98	HDZ-culi-375-S285	HDZ-culi-354-S177	HDZ-culi-038-S45	HDZ-culi-202-E1-S348	HDZ-culi-081-S40	HDZ-culi-028-S36	HDZ-culi-069-S193
cluster1_HDZ-culi-408-S338	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster93_HDZ-culi-224-S123	422	298	572	9	0	0	15	0	0	0	0	0	0	0	0	0	0	0	216	0	0	5	17	813	0	0	0	0	0	7	6	9	12	0	0	65	22	0	597	0	0	10	0	28	0	29	4	0	15	0	14	67	0	149	0	147	0	21	0	0	0	64	0	4	0	17	0	0	0	0	0	0	92	4	0	0	0	0	0	5	0	60	86	0	0	0	0	0	0	0	0	0	195	1154	262	0	0	0	0	525	0	6	0	0	6	29	91	0	7	14	166	39	0	47	8	1067	0	279	30	0	0	2188	741	0	0	28	0	14	0	0	0	0	370	0	5	0	0	0	0	49	0	0	783	0	0	0	0	0	0	0	4	0	16	4	0	33	0	144	0	48	0	0	20	0	99	1010	0	0	0	0	0	0	0	60	0	0	20
cluster99_HDZ-culi-169-S244	0	0	17	333	22	5	300	0	34	12	75	48	16	27	64	123	104	28	0	113	91	0	123	34	25	148	115	119	99	0	97	326	65	18	68	156	76	77	87	0	59	24	4	28	299	236	182	5	0	0	6	170	92	60	55	6	46	21	17	105	50	188	140	175	131	93	272	4	44	0	0	0	57	209	39	65	28	183	287	0	0	52	142	5	463	54	4	53	0	142	65	55	57	0	92	4	139	171	0	4	60	56	56	25	51	75	40	4	0	291	118	16	112	100	46	0	25	78	32	7	106	69	171	23	174	277	68	11	101	24	24	31	0	15	0	120	87	57	39	0	0	5	81	49	0	51	92	206	81	58	46	106	150	38	57	48	0	0	63	52	7	87	191	4	73	26	29	24	69	30	35	57	6	40	0	6	128
cluster9_HDZ-culi-438-S275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster1820_HDZ-culi-054-S192	0	0	0	4	0	0	17	0	4	0	0	0	0	0	0	6	0	6	0	5	4	0	0	0	0	18	0	0	0	0	0	0	0	0	0	4	7	4	4	0	5	0	0	0	10	0	12	0	0	0	0	7	4	0	0	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	14	0	0	0	0	13	0	0	4	0	8	0	0	18	0	0	0	0	4	0	0	7	0	0	0	12	7	0	0	0	0	0	0	0	0	0	14	0	0	0	0	4	5	0	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	20	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0	0	0	0	0	4	0	0	0
cluster1465_HDZ-culi-330-S323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	26	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
cluster274_HDZ-culi-398-S329	0	0	0	66	0	0	115	0	15	0	57	0	0	6	35	27	45	28	0	70	22	0	53	59	10	62	23	79	20	0	69	87	30	19	25	61	32	174	5	0	97	0	0	19	39	55	60	0	0	0	11	21	27	20	17	10	6	46	0	84	5	92	53	25	21	28	142	4	23	4	0	0	57	62	116	0	11	66	50	4	0	21	31	0	45	13	0	14	0	27	6	20	115	0	47	6	0	89	0	0	24	55	8	33	42	47	11	0	0	70	13	36	19	58	13	0	35	53	27	0	44	23	50	16	33	166	23	0	22	0	31	4	0	0	0	21	24	5	21	0	0	0	98	23	0	12	0	9	63	23	32	46	65	28	14	34	0	0	12	0	0	38	71	0	84	163	30	23	11	13	6	0	0	19	0	5	75
cluster2737_HDZ-culi-097-S91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster0_HDZ-culi-364-S210	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	18	0	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	9	0	0	0	6	4	0	10	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
cluster71_HDZ-culi-430-S292	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster26_HDZ-culi-211-S106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster122_HDZ-culi-377-S287	0	0	0	0	0	0	4	4	0	11	0	0	0	0	0	0	0	4	0	0	4	0	4	0	0	0	0	4	11	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	4	6	0	6	4	0	0	6	0	0	8	0	0	0	17	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
cluster12_HDZ-culi-320-S131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster319_HDZ-culi-377-S287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster3_HDZ-culi-438-S275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
