"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"Glycerol -- Consumption"	0.041857479135459	0.0205018432631704	0.0407387934397313	0.0335425294226473	0.0218735970469397	0.0196560868257744	0.0311787223070668	0.0363606368060711	0.0284724314552576
"Nitrate (NO3-) -- Consumption"	0.0415150866680933	0.013223926745154	0.0427231559844643	0.0442300303120864	0.0214745348431187	0.015364006670494	0.0361371705111168	0.0258846820094036	0.0157577583609521
"Formate -- Production"	0.00220415150866681	0.13388036627423	0.00797137090619223	0.00414122870682662	0.00710829550556193	0.0136417069903497	0.0289771713044686	0.00557617751381671	0.0396806266947876
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"	0.000363791996576075	0.0848138898798906	0.00337511236240905	0.00189272652236406	0.00396568065047139	0.011536674047951	0.0185644300759634	0.0068134950094861	0.0316962940644772
"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"	0.0109137598972823	0.00880009513616364	0.00953172436017028	0.0180591726081202	0.016336608968923	0.0154460209409771	0.0143794997917452	0.0175039181720696	0.0209701717384754
"CO2 -- Production"	0.00158356516156645	0.0366274229991676	0.00413832872576788	0.0030739017205311	0.0181573302738564	0.0236474479892835	0.00985739502965152	0.0064835436773076	0.0153660741187105
"Mucin (Mucus Glycoprotein) -- Macromolecule"	0.00648405735073828	0.00718278035438221	0.00680110581570869	0.00564971751412429	0.020227465456178	0.0232100385467071	0.00593030405204387	0.0178173719376392	0.0180777342573064
"Fructan (Inulin, Levan) -- Macromolecule"	0.00627006205863471	0.00727791651801641	0.00666542290666712	0.00574933469951188	0.020227465456178	0.0229366576450969	0.00598980543049247	0.0172234595397179	0.0180777342573064
"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"	0.00674085170126257	0.00658817933166845	0.00418920981665847	0.00566394854060823	0.0203771137826109	0.0235380956286394	0.00638648128681648	0.0170089911738019	0.018409159385357
"Melibiose -- Consumption"	0.0104643697838648	0.00554168153169224	0.00530859381625142	0.0148571916492337	0.0102259689729137	0.00984171245796769	0.0120986136178821	0.0107399158624103	0.0118710454956312
"H2 (Hydrogen) -- Production"	0.00318852985234325	0.00649304316803425	0.00620749308865182	0.00496662824289516	0.0219733625978949	0.0229093195549359	0.00658481921497848	0.00846325167037862	0.00819523952997891
"Mannan -- Macromolecule"	0.00564947571153435	0.00413842311808776	0.00252709418089924	0.00335852225020991	0.011248565870205	0.0149265972279177	0.00436343441956405	0.0149302977810773	0.016812292859295
"Ethanol -- Production"	0.00213995292103574	0.033059816862885	0.00152643272671766	0.00108155801277946	0.00346685289569512	0.00360862790125482	0.0083103591899879	0.00234265445846738	0.0131666164507382
"Arabinogalactan -- Macromolecule"	0.00556387759469292	0.00397193483172791	0.00239141127185767	0.00241927450226985	0.0137676460318252	0.0168949397195112	0.00341141236438644	0.00996453023179081	0.00861705332931606
"CO2 -- Consumption"	0.00106997646051787	0.00409085503627066	0.0027136581808314	0.00224850218446257	0.0173841472539532	0.0211596817846305	0.00323290822904064	0.00575765074651489	0.0042181379933715
"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"	0.0010057778728868	0.00418599119990486	0.00261189599905022	0.0021204229461071	0.0173093230907368	0.0207496104322152	0.00317340685059204	0.00564216778025241	0.00418800843627599
"Hemicellulose, not specified -- Macromolecule"	0.000791782580783223	0.00390058270900226	0.00196740218110276	0.00180734036346042	0.0134184666034818	0.0159107684737144	0.00239988893076023	0.00806731007176442	0.00982223561313649
"Urea -- Production"	0.00532848277337899	0.00299678915447735	0.00174691745391021	0.00244773655523773	0.00653464358756921	0.00839279367943355	0.00297506892243004	0.0126536335890456	0.0149743898764688
"D-Galactose -- Consumption"	0.00199015621656324	0.00228326792722083	0.00106850290870236	0.00152271983378161	0.00660946775078565	0.00571366084365346	0.00321307443622444	0.00788583683906624	0.0107863814401928
"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"	0.000834581639203938	0.00221191580449518	0.00142467054493648	0.00165079907213707	0.00571157779218836	0.00590502747478061	0.00172553997500942	0.00608760207869339	0.00961132871346791
"FOS (Fructooligosaccharide) -- Consumption"	0.000513588701048577	0.00259246045903199	0.0013398687267855	0.00099617185387582	0.0106000897889959	0.0122474643921376	0.00150736825403122	0.00270560092386373	0.00198855076830371
