"ID"	"study_day"	"subj_day"	"CollectionDate"	"Subject"	"Subj_Certainty"	"probiotic"	"StudbookID"	"Sex"	"MotherID"	"FatherID"	"BirthYear"	"BirthLocation"	"SubjectAge"	"oatgel"	"steroid"	"cauliflower"	"tomatoes"	"broccoli"	"med_type"	"med_name"	"med_dose"	"dose_units"	"enclosure"	"access"	"estrus"	"pregnant"	"health_note"	"repro_note"	"SampleNotes"
"hdz-349"	147	"W147"	2024-03-20	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"no"	NA	NA	""
"hdz-218"	148	"W148"	2024-03-21	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"no"	NA	"swollen_vulva"	""
"hdz-406"	149	"W149"	2024-03-22	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-391"	150	"W150"	2024-03-23	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-316"	151	"W151"	2024-03-24	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-223"	152	"W152"	2024-03-25	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-217"	153	"W153"	2024-03-26	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-228"	154	"W154"	2024-03-27	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-403"	157	"W157"	2024-03-30	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-402"	158	"W158"	2024-03-31	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	""
"hdz-387"	159	"W159"	2024-04-01	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"yes"	"no"	NA	NA	"Warble vulva swollen"
"hdz-376"	161	"W161"	2024-04-03	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"yes"	"yes"	"no"	NA	"copulation_observed"	"Warble and Culi resting together"
"hdz-378"	164	"W164"	2024-04-06	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"yes"	"no"	"yes"	NA	NA	""
"hdz-379"	170	"W170"	2024-04-12	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"yes"	"no"	"yes"	NA	NA	""
"hdz-359"	173	"W173"	2024-04-15	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"yes"	"no"	"yes"	NA	NA	""
"hdz-355"	178	"W178"	2024-04-20	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
"hdz-360"	180	"W180"	2024-04-22	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
"hdz-380"	181	"W181"	2024-04-23	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
"hdz-451"	185	"W185"	2024-04-27	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
"hdz-453"	187	"W187"	2024-04-29	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
"hdz-449"	188	"W188"	2024-04-30	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
"hdz-448"	189	"W189"	2024-05-01	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
"hdz-439"	191	"W191"	2024-05-03	"warble"	"yes"	"no"	"2677"	"F"	"2502"	"2496"	2017	"DUKE PRIM"	7	"no"	0	"yes"	"yes"	"yes"	"none"	"none"	0	"mg/day"	"new"	"no"	"no"	"yes"	NA	NA	""
