"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000428939090649128	0	0.000142877553936277	0.000143041052782148	0.00200228832951945	0.000857878181298256	0.000571428571428571	0.00200286123032904
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.00057191878753217	0.000142918393597256	0.00042863266180883	0	0.000715102974828375	0.00214469545324564	0.000571428571428571	0.00100143061516452
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0.00114383757506434	0.00071459196798628	0.000285755107872553	0	0.000429061784897025	0.00128681727194738	0.000857142857142857	0.000715307582260372
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0.00171575636259651	0.000285836787194512	0.00171453064723532	0	0.00128718535469108	0.000142979696883043	0.000142857142857143	0.000143061516452074
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0.000857878181298256	0.0012862655423753	0.000571510215745106	0	0.000715102974828375	0.000428939090649128	0.000428571428571429	0.000715307582260372
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.0010008578781813	0.000571673574389024	0.000285755107872553	0.000429123158346445	0.00085812356979405	0.00057191878753217	0	0.000143061516452074
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0.000714898484415213	0.000428755180791768	0.000142877553936277	0	0.00100114416475973	0.000714898484415213	0.000142857142857143	0.000572246065808298
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.000285959393766085	0	0.000142877553936277	0.00300386210842512	0.000143020594965675	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0.000142979696883043	0	0.000142877553936277	0.00271778000286082	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0.000285959393766085	0.000142918393597256	0.000285755107872553	0	0.000429061784897025	0.000714898484415213	0.000285714285714286	0.000429184549356223
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0	0	0	0.00100128736947504	0.000143020594965675	0.000285959393766085	0.000285714285714286	0.000286123032904149
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna"	0.00057191878753217	0	0	0.000143041052782148	0.000143020594965675	0.000285959393766085	0.000142857142857143	0.000572246065808298
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catenibacillus"	0.0010008578781813	0.000428755180791768	0.000142877553936277	0	0.000143020594965675	0	0	0.000143061516452074
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.000285959393766085	0.000142918393597256	0	0.00114432842225719	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.000142979696883043	0	0	0.000143041052782148	0.000143020594965675	0.000285959393766085	0.000142857142857143	0.000715307582260372
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0.000428939090649128	0	0	0.000572164211128594	0.00028604118993135	0	0.000285714285714286	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0	0	0	0	0	0.00157277666571347	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0	0.000143020594965675	0	0	0.0011444921316166
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalimonas"	0	0	0	0	0.000143020594965675	0.000285959393766085	0	0.000715307582260372
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Murimonas"	0.000142979696883043	0	0	0	0.000143020594965675	0.000428939090649128	0	0.000429184549356223
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Gluceribacter"	0.000285959393766085	0.000285836787194512	0	0	0.000143020594965675	0.000285959393766085	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter"	0.000285959393766085	0.000428755180791768	0	0	0.00028604118993135	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla"	0	0	0	0	0.00028604118993135	0.000142979696883043	0	0.000429184549356223
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia"	0	0	0	0	0.00028604118993135	0.000142979696883043	0	0.000429184549356223
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Jingyaoa"	0.000285959393766085	0.000142918393597256	0	0	0	0.000142979696883043	0	0.000286123032904149
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea"	0	0	0	0	0.000143020594965675	0	0	0.000572246065808298
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Qiania"	0.000142979696883043	0	0	0	0	0	0	0.000572246065808298
