"Taxa"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.00557142857142857	0.00214285714285714	0.001	0.000571428571428571	0.000428571428571429	0.0108571428571429	0.00785714285714286	0.0242857142857143	0.00828571428571429	0.012	0.0102857142857143	0.0195714285714286	0.0192857142857143	0.0128571428571429	0.00842857142857143	0.0145714285714286	0.0362857142857143	0.00771428571428571	0.028	0.00685714285714286	0.00414285714285714	0.0147142857142857	0.0111428571428571	0.004	0.00357142857142857	0.012	0.00957142857142857	0.006	0.00485714285714286	0.041	0.0341428571428571	0.0222857142857143	0.0125714285714286	0.0367142857142857	0.0194285714285714	0.00685714285714286	0.00414285714285714	0.00442857142857143	0.0185714285714286	0.00642857142857143	0.0174285714285714	0.0107142857142857	0.0124285714285714	0.0374285714285714	0.0111428571428571	0.0111428571428571	0.0171428571428571	0.0128571428571429	0.0335714285714286	0.0105714285714286	0.00757142857142857	0.00528571428571429	0.0102857142857143	0.0142857142857143	0.000571428571428571	0.0141428571428571	0.0192857142857143	0.0494285714285714	0.01	0.019	0.016	0.012	0.00914285714285714	0.00671428571428571	0.0274285714285714	0	0	0	0.000428571428571429	0.007	0.00885714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00471428571428571	0.00271428571428571	0.002	0.00128571428571429	0.00285714285714286	0.00271428571428571	0.00514285714285714	0.0118571428571429	0.00942857142857143	0.00342857142857143	0.00557142857142857	0.00357142857142857	0.01	0.00928571428571429	0.008	0.0132857142857143	0.0155714285714286	0.00528571428571429	0.00485714285714286	0.00314285714285714	0.00228571428571429	0.00342857142857143	0.00257142857142857	0.00228571428571429	0.00242857142857143	0.002	0.002	0.0104285714285714	0.00428571428571429	0.00542857142857143	0.004	0.00357142857142857	0.002	0.0118571428571429	0.00685714285714286	0.00571428571428571	0.00642857142857143	0.00285714285714286	0.0115714285714286	0.00457142857142857	0.0122857142857143	0.00785714285714286	0.00714285714285714	0.00728571428571429	0.0101428571428571	0.0108571428571429	0.0115714285714286	0.0142857142857143	0.0374285714285714	0.00285714285714286	0.006	0.00342857142857143	0.00542857142857143	0.0151428571428571	0.000857142857142857	0.00871428571428571	0.0417142857142857	0.0367142857142857	0.00742857142857143	0.018	0.009	0.008	0.00385714285714286	0.0107142857142857	0.021	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.00928571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae"	0.01	0.00114285714285714	0.003	0.00342857142857143	0	0.000142857142857143	0.000142857142857143	0	0	0	0.00114285714285714	0	0.00271428571428571	0.00157142857142857	0.000857142857142857	0.00128571428571429	0.00957142857142857	0.00114285714285714	0.00157142857142857	0.00171428571428571	0.000285714285714286	0.00457142857142857	0	0.000428571428571429	0	0.206	0.001	0.00214285714285714	0.000142857142857143	0.0102857142857143	0.000285714285714286	0.00242857142857143	0.000714285714285714	0.000857142857142857	0.022	0.00242857142857143	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.000714285714285714	0.00514285714285714	0.00185714285714286	0.0102857142857143	0.0574285714285714	0.00357142857142857	0.00171428571428571	0.02	0.00314285714285714	0.0195714285714286	0.00157142857142857	0.000285714285714286	0.000285714285714286	0.00128571428571429	0.00157142857142857	0	0.000571428571428571	0.00814285714285714	0	0	0.00642857142857143	0.00128571428571429	0.000428571428571429	0.00614285714285714	0.0114285714285714	0	0.00171428571428571	0.000857142857142857	0	0	0.0108571428571429	0.026
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0.000142857142857143	0.00242857142857143	0	0	0.000142857142857143	0	0	0	0	0	0.000714285714285714	0	0.000857142857142857	0.00242857142857143	0	0	0	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0.000428571428571429	0.000285714285714286	0	0	0.00457142857142857	0.000714285714285714	0.00171428571428571	0.000428571428571429	0	0.000857142857142857	0.000285714285714286	0.01	0	0	0.00228571428571429	0.000428571428571429	0.000142857142857143	0.134714285714286	0.0235714285714286	0.000142857142857143	0	0.0142857142857143	0.00371428571428571	0.000142857142857143	0	0.000428571428571429	0	0.000428571428571429	0.000428571428571429	0	0.00657142857142857	0	0	0	0.0224285714285714	0.0198571428571429	0	0.000142857142857143	0.000142857142857143	0.001	0.000142857142857143	0	0	0	0	0.0337142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00385714285714286	0.00228571428571429	0.000142857142857143	0.000428571428571429	0.00114285714285714	0.0107142857142857	0.00171428571428571	0.011	0.00142857142857143	0.00457142857142857	0.00242857142857143	0.00757142857142857	0.000714285714285714	0.001	0.000428571428571429	0.00214285714285714	0.003	0.00128571428571429	0.00442857142857143	0.001	0.00542857142857143	0.002	0.00128571428571429	0.00185714285714286	0.000857142857142857	0.00371428571428571	0.00342857142857143	0.000714285714285714	0.005	0.00314285714285714	0.00914285714285714	0.00185714285714286	0.00771428571428571	0.0202857142857143	0.002	0.003	0.00357142857142857	0.00128571428571429	0.000857142857142857	0.00314285714285714	0.00571428571428571	0.00242857142857143	0.000571428571428571	0.004	0.000857142857142857	0.00428571428571429	0.00242857142857143	0.002	0.00114285714285714	0.0118571428571429	0.00185714285714286	0.002	0.00571428571428571	0.00171428571428571	0.000428571428571429	0.00157142857142857	0.00214285714285714	0.0257142857142857	0.000428571428571429	0.00457142857142857	0.000571428571428571	0.000285714285714286	0.00942857142857143	0.00114285714285714	0.0128571428571429	0.00257142857142857	0.00157142857142857	0.000714285714285714	0	0.000714285714285714	0.00214285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00414285714285714	0.003	0.00228571428571429	0.00314285714285714	0.00142857142857143	0.00314285714285714	0.00414285714285714	0.005	0.00257142857142857	0.00257142857142857	0.00542857142857143	0.00442857142857143	0.00471428571428571	0.00414285714285714	0.002	0.003	0.00671428571428571	0.003	0.00357142857142857	0.00142857142857143	0.00171428571428571	0.00214285714285714	0.004	0.003	0.00157142857142857	0.00185714285714286	0.003	0.00128571428571429	0.00257142857142857	0.00457142857142857	0.00328571428571429	0.00328571428571429	0.00285714285714286	0.00471428571428571	0.00171428571428571	0.00128571428571429	0.00271428571428571	0.00171428571428571	0.005	0.00185714285714286	0.00442857142857143	0.00157142857142857	0.00485714285714286	0.0115714285714286	0.00242857142857143	0.00414285714285714	0.003	0.00385714285714286	0.00342857142857143	0.00128571428571429	0.002	0.00271428571428571	0.00214285714285714	0.00157142857142857	0.000571428571428571	0.00342857142857143	0.00257142857142857	0.00342857142857143	0.00142857142857143	0.00514285714285714	0.00257142857142857	0.004	0.000428571428571429	0.002	0.00214285714285714	0.002	0.00114285714285714	0.00171428571428571	0.00528571428571429	0.00571428571428571	0.00285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00428571428571429	0.00114285714285714	0.004	0.000142857142857143	0.000857142857142857	0.00257142857142857	0.00357142857142857	0.00485714285714286	0.00428571428571429	0.00214285714285714	0.00328571428571429	0.00442857142857143	0.00385714285714286	0.00771428571428571	0.00185714285714286	0.00257142857142857	0.00628571428571429	0.00285714285714286	0.00357142857142857	0.00185714285714286	0.000857142857142857	0.00328571428571429	0.00114285714285714	0.000857142857142857	0.000571428571428571	0.00185714285714286	0.00342857142857143	0.00242857142857143	0.000571428571428571	0.00785714285714286	0.00242857142857143	0.00557142857142857	0.00157142857142857	0.00385714285714286	0.0104285714285714	0.001	0.00214285714285714	0.001	0.00357142857142857	0.00271428571428571	0.00314285714285714	0.00185714285714286	0.00371428571428571	0.00714285714285714	0.00214285714285714	0.00128571428571429	0.00385714285714286	0.00242857142857143	0.00842857142857143	0.00214285714285714	0.000857142857142857	0.00271428571428571	0.00257142857142857	0.00485714285714286	0.000285714285714286	0.00157142857142857	0.00628571428571429	0.00342857142857143	0.00171428571428571	0.00228571428571429	0.00185714285714286	0.00171428571428571	0.000571428571428571	0.00171428571428571	0.00171428571428571	0	0	0	0.0107142857142857	0.0105714285714286	0.003
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.005	0.00128571428571429	0.001	0.000285714285714286	0.000142857142857143	0.000857142857142857	0.00571428571428571	0.000571428571428571	0.00157142857142857	0.000714285714285714	0.00242857142857143	0.00485714285714286	0.00528571428571429	0.00371428571428571	0.00285714285714286	0.001	0.00271428571428571	0.00157142857142857	0.00171428571428571	0.00142857142857143	0.00242857142857143	0.000714285714285714	0.00257142857142857	0.00171428571428571	0.000428571428571429	0.00142857142857143	0.00114285714285714	0	0.000428571428571429	0.000571428571428571	0.00114285714285714	0.00128571428571429	0.000285714285714286	0.00142857142857143	0.005	0.00114285714285714	0.000714285714285714	0.00485714285714286	0.0115714285714286	0.00328571428571429	0.00728571428571429	0.000285714285714286	0.000142857142857143	0.00128571428571429	0.00257142857142857	0.00271428571428571	0.00314285714285714	0.00342857142857143	0.00428571428571429	0.00142857142857143	0.00242857142857143	0.00385714285714286	0.00142857142857143	0.00128571428571429	0.000285714285714286	0.0101428571428571	0.0161428571428571	0.0161428571428571	0.00757142857142857	0.000428571428571429	0.00257142857142857	0.000428571428571429	0	0	0.003	0	0.000857142857142857	0	0.00242857142857143	0.00671428571428571	0.00314285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0.000142857142857143	0.00471428571428571	0.000428571428571429	0.000142857142857143	0.00257142857142857	0.000428571428571429	0.003	0.00242857142857143	0.000571428571428571	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.00171428571428571	0.00428571428571429	0.000428571428571429	0.000142857142857143	0.000285714285714286	0	0	0	0	0	0	0.000857142857142857	0.0112857142857143	0.000428571428571429	0	0.00328571428571429	0.000142857142857143	0.00271428571428571	0.000285714285714286	0	0	0	0.0147142857142857	0.002	0	0	0.000142857142857143	0.000571428571428571	0	0.00142857142857143	0	0	0.001	0.000142857142857143	0	0.00285714285714286	0	0	0.00114285714285714	0.000285714285714286	0.000142857142857143	0.00928571428571429	0.005	0.0531428571428571	0.000428571428571429	0.0112857142857143	0.0127142857142857	0.000142857142857143	0.000142857142857143	0.00171428571428571	0.00814285714285714	0	0.000285714285714286	0.00171428571428571	0	0.000142857142857143	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0.00214285714285714	0.000714285714285714	0.000571428571428571	0.000571428571428571	0.00171428571428571	0.00128571428571429	0.00228571428571429	0.00142857142857143	0.00485714285714286	0.00342857142857143	0.00585714285714286	0.000857142857142857	0.00371428571428571	0.004	0.004	0.000285714285714286	0.000857142857142857	0.000857142857142857	0.00357142857142857	0.000142857142857143	0.000428571428571429	0.00171428571428571	0.004	0.00214285714285714	0.00157142857142857	0.00557142857142857	0.00357142857142857	0.000142857142857143	0.000571428571428571	0.001	0.00585714285714286	0.00257142857142857	0.00428571428571429	0.00571428571428571	0.000714285714285714	0.00228571428571429	0.00528571428571429	0.00171428571428571	0.00142857142857143	0.00314285714285714	0.00257142857142857	0.00457142857142857	0.000571428571428571	0.000428571428571429	0.00114285714285714	0.00314285714285714	0	0.000571428571428571	0.0217142857142857	0.00957142857142857	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.00214285714285714	0.000571428571428571	0.000142857142857143	0.00157142857142857	0.000142857142857143	0	0	0	0	0.00128571428571429
