"Taxa"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid) -- Consumption"	0	7.04671975195547e-05	8.92657888864093e-05	0	6.71095899604053e-05
"Cholic acid (Cholate) -- Production"	0	0	6.6949341664807e-05	2.44899958367007e-05	0.000134219179920811
"Tauro-b-muricholic acid -- Consumption"	0	0	6.6949341664807e-05	2.44899958367007e-05	0.000134219179920811
"Taurocholate -- Consumption"	0	0	6.6949341664807e-05	2.44899958367007e-05	0.000134219179920811
"beta-Muricholic acid -- Production"	0	0	6.6949341664807e-05	2.44899958367007e-05	0.000134219179920811
"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"	6.94364078231686e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Cholic acid (Cholate) -- Consumption"	6.94364078231686e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Trimethylamine -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	6.71095899604053e-05
"Dimethylamine -- Production"	2.31454692743895e-05	5.2850398139666e-05	6.6949341664807e-05	2.44899958367007e-05	2.23698633201351e-05
"Putrescine -- Production"	2.31454692743895e-05	5.2850398139666e-05	6.6949341664807e-05	2.44899958367007e-05	2.23698633201351e-05
"4-Aminobutyrate (GABA) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"7-Oxodeoxycholic acid -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"7-Oxolithocholic acid -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Biotin (Vitamin B7) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Cadaverine -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"D-Fructuronate -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"D-Tagaturonate -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Folic acid (Folate, Vitamin B9) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Formaldehyde -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Fumarate -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Indole-3-acetate (Indoleacetate) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"L-Idonate -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"L-Threonine (Threonine) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Methanol -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Pentanol -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
"Riboflavin (Vitamin B2) -- Production"	2.31454692743895e-05	5.2850398139666e-05	2.23164472216023e-05	2.44899958367007e-05	2.23698633201351e-05
