"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0.000142918393597256	0.000571428571428571	0.000572164211128594	0.000571510215745106	0.000428816466552316	0.00257363454389477	0.000142877553936277	0.0001431229426077
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"	0.000571673574389024	0.000428571428571429	0.000143041052782148	0.00042863266180883	0.000857632933104631	0.00142979696883043	0.00085726532361766	0.0002862458852154
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella"	0	0.000714285714285714	0.000143041052782148	0.000571510215745106	0.000428816466552316	0.00114383757506434	0.00200028575510787	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.000142918393597256	0.000714285714285714	0.000143041052782148	0.00085726532361766	0.000714694110920526	0.000285959393766085	0.00100014287755394	0.0007156147130385
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.000142918393597256	0.00157142857142857	0	0.000714387769681383	0.000571755288736421	0.000142979696883043	0.000571510215745106	0.0007156147130385
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus"	0	0.000571428571428571	0	0	0.00300171526586621	0	0.000714387769681383	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000142918393597256	0.000285714285714286	0.000286082105564297	0.000285755107872553	0.000857632933104631	0.00142979696883043	0.000285755107872553	0.0001431229426077
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella"	0.000285836787194512	0.001	0.000143041052782148	0.000285755107872553	0.00028587764436821	0.0010008578781813	0.00042863266180883	0.0002862458852154
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus"	0.000571673574389024	0	0.000429123158346445	0.000142877553936277	0.00100057175528874	0.000714898484415213	0.00042863266180883	0.0002862458852154
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella"	0	0.000428571428571429	0.000143041052782148	0.000142877553936277	0.00100057175528874	0.000428939090649128	0	0.0011449835408616
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0.000142918393597256	0.000285714285714286	0.000143041052782148	0.000142877553936277	0	0.000428939090649128	0.000285755107872553	0.0015743523686847
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0	0.000571428571428571	0	0.000285755107872553	0.00028587764436821	0.000142979696883043	0.00114302043149021	0.0005724917704308
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0	0.000142857142857143	0	0.000142877553936277	0.000142938822184105	0.00057191878753217	0.00042863266180883	0.0008587376556462
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea"	0	0.001	0	0	0	0	0	0.0010018605982539
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla"	0	0.000285714285714286	0.000429123158346445	0	0.000428816466552316	0.000428939090649128	0.000142877553936277	0.0002862458852154
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.000285836787194512	0	0.000143041052782148	0	0.000714694110920526	0.000428939090649128	0.000285755107872553	0.0001431229426077
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix"	0	0.000285714285714286	0	0.000142877553936277	0.00028587764436821	0.000857878181298256	0.000285755107872553	0.0001431229426077
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0	0.000714285714285714	0	0.000142877553936277	0.000428816466552316	0	0.000285755107872553	0.0002862458852154
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna"	0	0.000285714285714286	0.000143041052782148	0.000571510215745106	0	0.000428939090649128	0	0.0001431229426077
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.000428755180791768	0	0.000143041052782148	0.000285755107872553	0.000142938822184105	0.000285959393766085	0.000142877553936277	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0.000142918393597256	0	0.000143041052782148	0	0.00028587764436821	0.000428939090649128	0.000285755107872553	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia"	0	0	0.000143041052782148	0	0.00028587764436821	0.000714898484415213	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Murimonas"	0	0.000285714285714286	0.000143041052782148	0.000142877553936277	0	0.000285959393766085	0.000142877553936277	0.0001431229426077
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Gluceribacter"	0	0.000142857142857143	0	0	0.000142938822184105	0.000428939090649128	0.000142877553936277	0.0001431229426077
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Qiania"	0	0.000142857142857143	0.000143041052782148	0	0.000142938822184105	0.000428939090649128	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Caecibacteroides"	0	0.000428571428571429	0	0	0.000142938822184105	0.000142979696883043	0	0.0001431229426077
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0	0.000285714285714286	0	0.000142877553936277	0.000142938822184105	0.000285959393766085	0	0
