"ID"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"ko00195"	0.00180041182079442	0.00179818665890595	0.00129934071411557	0.00174657929274336	0.00183954158043747	0.00171564674456918	0.00169655391846857	0.00174136055302513
"ko00220"	0.00343544203674222	0.00396596800462169	0.00363923539886971	0.00388225328914926	0.00391733628933269	0.00384149857597438	0.00387182900730276	0.00371930474539328
"ko00230"	0.014346103794135	0.0147826375058302	0.0145739893274841	0.0147576402163923	0.0149444741461006	0.0146212083144807	0.0145143918615856	0.0139399987145157
"ko00240"	0.0111784361233984	0.0108348075196923	0.0108001340704595	0.0111100962796874	0.0112216561513634	0.0106455925366911	0.0107880594224831	0.0101055529749884
"ko00250"	0.00606480776995476	0.00684514936456965	0.00691798448792577	0.00676654570849754	0.0065650749144872	0.00632852609097488	0.00664154756638068	0.00716463805362487
"ko00253"	0.000100534661076721	0.000146946558162444	3.96352780331025e-05	0.000148306495720719	0.000173702609648398	0.00012974403588669	0.000121518691550154	0.000122414148624518
"ko00260"	0.00712999790405457	0.0078684093768879	0.00675850871306677	0.00805942627140554	0.00795292153008112	0.00774943998832215	0.00764557495269306	0.00769581016225473
"ko00261"	0.00140221381341767	0.00170643799183631	0.00181311947434311	0.00168797056664689	0.0015593520557157	0.00151459663302337	0.00160343344206209	0.00197186235028634
"ko00270"	0.00908541341404007	0.00874857051865327	0.00672472877104786	0.00877414567395139	0.00886766531281888	0.00851231909112261	0.0083739921787448	0.00767163807416346
"ko00280"	0.00510856098791013	0.00551279779702906	0.00413685506001097	0.00565536152423615	0.00548005000734746	0.00488263847838374	0.00516073131303007	0.00489072632010804
"ko00281"	0.000580914140392957	0.000566420114881721	0.00106405330745141	0.000566137429948891	0.000645227762332794	0.000583761844177025	0.000605370595133779	0.000355667783965249
"ko00290"	0.0024260471531162	0.0030262055481339	0.00262648575482706	0.00303745863842799	0.00289849808950111	0.00276795641524325	0.00275137457316713	0.00270252381604057
"ko00300"	0.00503973400715447	0.00502766989150353	0.00334433972724051	0.005294525588306	0.00475969332906317	0.00474017217830476	0.00473801126937535	0.00470363450657114
"ko00310"	0.00163584772054544	0.00171832837688444	0.0033804396607825	0.00173607770474658	0.00178522707851939	0.00179615095412066	0.00186108323673388	0.00120534879364154
"ko00311"	0.000210458971561634	0.000286653190995605	0.000193337351060897	0.00036820293517433	0.000237253614127487	0.000238711841678021	0.000274195501480689	0.000312889831597799
"ko00330"	0.00365530499231822	0.00401101556786038	0.00500818183545367	0.00414093753439518	0.00430942559460549	0.00413658760394746	0.00403283794261496	0.00345960619169174
"ko00332"	0.000439159714004903	0.000455734286156999	0.000322327883618625	0.000453136289191331	0.000451830902833665	0.000426097645731946	0.000422770808599985	0.000444971301736812
"ko00333"	0.00152476188271055	0.00175169849557929	0.00170137365594219	0.00163612349847398	0.00167772080506576	0.00175840803009624	0.00174402195000215	0.0022545177403647
"ko00340"	0.0030700986796888	0.00385902457298866	0.00262987289333387	0.00403829827748269	0.00391092584873376	0.00353071761586659	0.00356206110572763	0.00369264819748174
"ko00350"	0.00227841247921071	0.00247595185112754	0.00365815281973666	0.00230027943084239	0.00236568285928402	0.00252507786687381	0.00254353331036169	0.0020006914173614
