task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
93	60/4113ca	4092771	minimap_pipeline:output_results (31)	COMPLETED	0	2024-10-12 16:41:06.076	455ms	13ms	20.2%	0	0	71.2 KB	255 B
96	17/e2228d	4093035	minimap_pipeline:output_results (33)	COMPLETED	0	2024-10-12 16:41:06.107	436ms	10ms	42.1%	0	0	71.2 KB	255 B
94	97/93af13	4092824	minimap_pipeline:output_results (32)	COMPLETED	0	2024-10-12 16:41:06.085	456ms	14ms	52.6%	0	0	71.2 KB	255 B
97	33/dc2890	4093129	minimap_pipeline:output_results (34)	COMPLETED	0	2024-10-12 16:41:06.123	437ms	39ms	27.7%	0	0	71.2 KB	255 B
90	af/93e9aa	4092715	minimap_pipeline:output_results (29)	COMPLETED	0	2024-10-12 16:41:06.067	485ms	6ms	33.6%	0	0	71.2 KB	255 B
98	b8/26f629	4093185	minimap_pipeline:output_results (35)	COMPLETED	0	2024-10-12 16:41:06.135	430ms	6ms	31.6%	0	0	71.2 KB	255 B
100	68/a35e0d	4093359	minimap_pipeline:output_results (36)	COMPLETED	0	2024-10-12 16:41:06.153	432ms	8ms	70.6%	0	0	71.2 KB	255 B
103	5f/250e21	4093539	minimap_pipeline:output_results (39)	COMPLETED	0	2024-10-12 16:41:06.176	413ms	5ms	47.1%	0	0	71.2 KB	255 B
101	8a/180fea	4093298	minimap_pipeline:output_results (37)	COMPLETED	0	2024-10-12 16:41:06.144	461ms	6ms	37.5%	0	0	71.2 KB	255 B
102	58/0a9e4d	4093411	minimap_pipeline:output_results (38)	COMPLETED	0	2024-10-12 16:41:06.163	460ms	6ms	59.5%	0	0	71.2 KB	255 B
110	f7/719841	4093990	minimap_pipeline:output_results (44)	COMPLETED	0	2024-10-12 16:41:06.231	393ms	5ms	67.3%	0	0	71.2 KB	255 B
105	70/33fac0	4093665	minimap_pipeline:output_results (40)	COMPLETED	0	2024-10-12 16:41:06.197	467ms	7ms	60.0%	0	0	71.2 KB	255 B
91	a5/d0e6b2	4092927	minimap_pipeline:output_results (30)	COMPLETED	0	2024-10-12 16:41:06.097	566ms	8ms	57.1%	0	0	71.2 KB	255 B
