ref	taxid
NR_044600.1	616952
NR_117251.1	665467
NR_108142.1	410840
NR_040791.1	81895
NR_149206.1	1339210
NR_165786.1	2202825
NR_115219.1	243690
NR_044129.1	418707
NR_117045.1	767694
NR_115551.1	410
NR_043104.1	693986
NR_175461.1	2499852
NR_041442.1	374426
NR_074244.1	426355
NR_169399.1	2488750
NR_108523.1	1003091
NR_041025.1	269069
NR_041030.1	144191
NR_117361.1	670291
NR_165776.1	2580413
NR_171528.1	2249811
NR_144703.1	1033741
NR_181328.1	2778729
NR_156051.1	1854496
NR_104766.1	186651
NR_133831.1	1294048
NR_151913.1	1437009
NR_180504.1	2528245
NR_108474.1	655015
NR_025544.1	29468
NR_042531.1	391905
NR_044946.1	1134912
NR_042108.1	1132444
NR_180917.1	2743612
NR_134765.1	873516
NR_133785.1	1282438
NR_044947.1	595536
NR_118384.1	1245469
NR_125638.1	1518501
NR_145860.1	1654716
NR_074313.1	323097
NR_122099.1	1513892
NR_178241.1	644215
NR_134225.1	1333996
NR_116565.1	562969
NR_113322.1	987056
NR_179991.1	1868589
NR_113183.1	768533
NR_178343.1	515947
NR_108621.1	1209958
NR_171508.1	2233532
NR_115793.1	39645
NR_181255.1	2502215
NR_157678.1	1631247
NR_165713.1	2294114
NR_135857.1	1777866
NR_165763.1	2707057
NR_157661.1	1776423
NR_113738.1	28104
NR_135858.1	1777867
NR_042483.1	43617
NR_180627.1	2682781
NR_026426.1	69974
NR_157679.1	1631249
NR_116467.1	559315
NR_115048.1	425306
NR_180479.1	2725666
NR_024880.1	39844
NR_156984.1	1735103
NR_117518.1	1231190
NR_148327.1	1670619
NR_043190.1	314235
NR_113874.1	28101
NR_164937.1	2670329
NR_109036.1	877384
NR_173673.1	2712698
NR_145648.1	1590622
NR_148593.1	1502156
NR_134057.1	1482074
NR_134764.1	1439726
NR_156159.1	1920512
NR_180296.1	2555902
NR_116005.1	1205680
NR_180858.1	2604328
NR_180566.1	2528239
NR_174322.1	1183401
NR_041396.1	358
NR_178592.1	1534408
NR_116128.1	28320
NR_024863.1	67774
NR_133842.1	1191678
NR_136447.1	879568
NR_145866.1	1132695
NR_117530.1	508661
NR_126174.1	1214924
NR_117203.1	1368418
NR_145565.1	1401443
NR_116874.1	648995
NR_181268.1	2746702
NR_133844.1	451876
NR_115996.1	1368429
NR_180060.1	2171756
NR_113739.1	398
NR_157780.1	1737357
NR_157662.1	1905846
NR_181841.1	2871820
NR_044596.1	1121830
NR_134730.1	1419723
NR_137248.1	1579333
NR_181208.1	2762760
NR_178792.1	1638099
NR_179703.1	2608987
NR_173599.1	2821844
NR_113946.1	258256
NR_116431.1	538381
NR_157992.1	2029869
NR_117452.1	747076
NR_042795.1	223390
NR_043515.1	331696
NR_113962.1	266121
NR_113665.1	281
NR_169339.1	2267266
NR_114615.1	169056
NR_145909.1	1235591
NR_178242.1	708113
NR_159164.1	1348470
NR_175508.1	2560861
NR_132723.1	1161401
NR_179861.1	2056226
NR_074158.1	314260
NR_029201.1	57000
NR_026060.1	57002
NR_180319.1	2488730
NR_178604.1	1365611
NR_108884.1	1146892
NR_134735.1	1553448
NR_151998.1	1795310
NR_163657.1	2049468
NR_137359.1	1671480
NR_114276.1	525640
NR_153730.1	1945662
NR_180120.1	2233774
NR_170512.1	2491866
NR_043810.1	376733
NR_170475.1	2508543
NR_044922.1	59779
NR_179754.1	2032623
NR_042714.1	53463
NR_149253.1	1571208
NR_169472.1	2528244
NR_043887.1	384678
NR_029038.1	147645
NR_181079.1	2737662
NR_151925.1	1783356
NR_044469.1	490979
NR_044275.1	1123067
NR_117433.1	687525
NR_164992.1	2585369
NR_164619.1	1969806
NR_042706.1	512383
NR_181603.1	2802396
NR_037119.1	50715
NR_112682.1	442969
NR_181710.1	2804533
NR_036877.1	77585
NR_146664.1	1442381
NR_037120.1	1071
NR_112776.1	504468
NR_181270.1	2771361
NR_181601.1	2835040
NR_178246.1	1225642
NR_158137.1	2038730
NR_109678.1	1224513
NR_042501.1	373043
NR_159916.1	2078947
NR_029061.1	257708
NR_174326.1	2692566
NR_028983.1	198093
NR_178966.1	1854500
NR_179151.1	2231721
NR_044191.1	424704
NR_025221.1	182403
NR_181214.1	2811429
NR_148768.1	1720247
NR_117870.1	403962
NR_179811.1	2220096
NR_104981.1	28077
NR_146015.1	765888
NR_126263.1	1233113
NR_159344.1	1981099
NR_176535.1	2171757
NR_043929.1	393310
NR_164879.1	1789672
NR_179970.1	2233999
NR_152076.1	1817965
NR_044259.1	1121861
NR_157671.1	1963835
NR_042567.1	404900
NR_173537.1	2164067
NR_156087.1	1867774
NR_044081.1	414052
NR_116676.1	578943
NR_180110.1	2602016
NR_179841.1	2602015
NR_029046.1	171674
NR_027605.1	431944
NR_180134.1	2053833
NR_149242.1	1285242
NR_104755.1	1083
NR_149243.1	1437059
NR_113625.1	180198
NR_170445.1	2663030
NR_114840.1	130776
NR_148629.1	1705616
NR_132292.1	1155801
NR_112948.1	656747
NR_025582.1	94
NR_025583.1	217070
NR_044547.1	1207063
NR_159190.1	1909734
NR_116679.1	580166
NR_125450.1	732237
NR_025860.1	784
NR_074480.2	781
NR_074459.2	652620
NR_043652.1	349750
NR_041568.1	418853
NR_179610.1	1964213
NR_116883.1	650004
NR_146661.1	1503981
NR_108901.1	762261
NR_125648.1	1267766
NR_165000.1	1854641
NR_146028.1	1572751
NR_171421.1	2306995
NR_134693.1	1463597
NR_137340.1	1532023
NR_108695.1	692370
NR_179814.1	2306996
NR_133799.1	1305696
NR_112090.1	48935
NR_153728.1	1737444
NR_145944.2	1955250
NR_114027.1	273168
NR_180932.1	2728851
NR_148770.1	1507448
NR_116654.1	574956
NR_113728.1	28212
NR_133861.1	1344948
NR_181339.1	2759526
NR_024997.1	93063
NR_181213.1	2812555
NR_113761.1	40681
NR_171471.1	1979270
NR_109167.1	930197
NR_042372.1	429134
NR_043612.1	344880
NR_175513.1	2559804
NR_180206.1	2305907
NR_117270.1	658225
NR_116570.1	563996
NR_116711.1	587738
NR_159248.1	1166337
NR_158139.1	1915074
NR_113868.1	93064
NR_118263.1	1069987
NR_178516.1	1141887
NR_153746.1	1045317
NR_113762.1	40682
NR_028626.1	152682
NR_041399.1	418184
NR_042493.1	370959
NR_157757.1	1886787
NR_024685.1	301154
NR_179033.1	1855283
NR_178890.1	1813879
NR_146851.1	1462999
NR_029111.1	257003
NR_175418.1	2681549
NR_113760.1	40683
NR_116833.1	634430
NR_133866.1	1241761
NR_043264.1	310400
NR_024631.1	180400
NR_146016.1	1234595
NR_153720.1	1771310
NR_147725.1	1597969
NR_116728.1	80877
NR_152013.1	1353888
NR_117613.1	1389922
NR_113733.1	85698
NR_041769.1	521
NR_137341.1	463025
NR_113628.1	518
NR_137342.1	463014
NR_040941.1	203699
NR_181955.1	2895469
NR_156991.1	1917182
NR_044082.1	414049
NR_132681.1	1007095
NR_133951.1	1247510
NR_118637.1	1410040
NR_104897.1	47671
NR_149240.1	1553431
NR_178798.1	1441714
NR_152705.1	1752142
NR_180756.1	2743470
NR_118396.1	80867
NR_179421.1	1675792
NR_024935.1	12917
NR_118410.1	1177982
NR_165728.1	2496871
NR_116284.1	491919
NR_025834.1	28220
NR_180791.1	2735555
NR_165757.1	2708319
NR_041011.1	265291
NR_181641.1	2796366
NR_109655.1	1194168
NR_025530.1	225992
NR_025107.1	160825
NR_149789.1	1783360
NR_180733.1	2606214
NR_113613.1	32013
NR_113709.1	285
NR_115741.1	363952
NR_113708.1	80866
NR_116495.1	558537
NR_040903.1	183670
NR_159298.1	1267217
NR_114189.1	304
NR_108842.1	747304
NR_176534.1	2116657
NR_180938.1	2728837
NR_175457.1	2530451
NR_158124.1	1781167
NR_178921.1	1842727
NR_114214.1	1321609
NR_109102.1	913761
NR_112562.1	363844
NR_169352.1	1836200
NR_169353.1	1836199
NR_043811.1	376815
NR_169351.1	1836198
NR_116099.1	452922
NR_118029.1	1051899
NR_114106.1	75659
NR_114134.1	55508
NR_170539.1	2751477
NR_026365.1	29581
NR_170540.1	2751478
NR_132608.1	368607
NR_170541.1	2654252
NR_157781.1	1886785
NR_175435.1	2603288
NR_171529.1	2495579
NR_042502.1	373040
NR_044274.1	442526
NR_149216.1	1822381
NR_116871.1	648894
NR_178954.1	1850242
NR_026014.1	47229
NR_042652.1	457921
NR_178603.1	2045208
NR_133798.1	1224511
NR_112833.1	573739
NR_112029.1	69280
NR_104759.1	933080
NR_043308.1	321983
NR_043307.1	321982
NR_125569.1	864828
NR_180845.1	2743358
NR_174231.1	1862385
NR_043913.1	391953
NR_113844.1	196015
NR_169344.1	1263962
NR_151910.1	1547922
NR_041768.1	420662
NR_175563.1	413882
NR_178786.1	2742824
NR_025673.1	215580
NR_147381.1	1852381
NR_169348.1	2584944
NR_179604.1	1944635
NR_024875.1	70586
NR_044322.1	450365
NR_024874.1	70584
NR_178616.1	1395940
NR_041367.1	363843
NR_132677.1	946333
NR_149234.1	1550730
NR_024834.1	279810
NR_178315.1	370407
NR_104685.1	539
NR_042240.1	265175
NR_042978.1	888742
NR_044614.1	493
NR_164951.1	1853278
NR_121687.1	483
NR_025893.1	214482
NR_118249.1	1107316
NR_116767.1	1032488
NR_116766.1	1030841
NR_104948.1	1056810
NR_025894.1	61
NR_179187.1	1682490
NR_104817.1	44576
NR_178571.1	1288494
NR_115148.1	1231
NR_043249.1	311182
NR_115995.1	424218
NR_113147.1	1223802
NR_114805.1	171865
NR_117675.1	47959
NR_181165.1	2732487
NR_074103.1	640081
NR_024855.1	65401
NR_181922.1	2929842
NR_174215.1	2565932
NR_025694.1	218208
NR_028896.1	90730
NR_157796.1	947919
NR_026350.1	53245
NR_041484.1	392842
NR_043571.1	339722
NR_116693.1	617001
NR_116694.1	617002
NR_181720.1	2831190
NR_176800.1	35833
NR_036969.1	159728
NR_180811.1	2605782
NR_147405.1	1903261
NR_178704.1	1523623
NR_043213.1	304413
NR_026407.1	57664
NR_029275.1	37625
NR_029276.1	37626
NR_044032.1	407188
NR_075007.1	404380
NR_026077.1	60036
NR_044429.1	483547
NR_126282.1	1340425
NR_043575.1	345631
NR_114303.1	1114878
NR_075011.1	28232
NR_043576.1	345632
NR_134039.1	1510391
NR_173648.1	2798583
NR_181772.1	2843196
NR_181773.1	2843197
NR_165024.1	2570226
NR_165023.1	2364273
NR_181738.1	2847989
NR_165026.1	2562681
NR_042768.1	225196
NR_074940.1	351605
NR_042754.2	213224
NR_180303.1	1969733
NR_029238.1	29542
NR_178508.1	1842532
NR_075013.1	338963
NR_027547.1	161493
NR_115866.1	83460
NR_156940.1	1867797
NR_074917.1	80816
NR_024781.1	162028
NR_041981.1	694315
NR_126182.1	1391654
NR_180016.1	2303410
NR_104789.1	889268
NR_113269.1	442868
NR_042341.1	293647
NR_025344.1	51
NR_178400.1	52
NR_025345.1	83446
NR_178401.1	83447
NR_160522.1	889272
NR_181714.1	2829994
NR_156102.1	1885912
NR_044443.1	56
NR_179941.1	2093424
NR_179938.1	2093420
NR_179944.1	2093419
NR_118001.1	927083
NR_024807.1	215803
NR_134090.1	888845
NR_025079.1	117208
NR_074118.1	706587
NR_102776.1	316277
NR_041306.1	909663
NR_109598.1	1156395
NR_148651.1	1750598
NR_118509.1	28197
NR_115195.1	1032240
NR_117024.1	1032241
NR_178298.1	1935204
NR_180483.1	2505970
NR_180417.1	2510190
NR_118510.1	522485
NR_118511.1	195
NR_043784.1	1121267
NR_118516.1	824
NR_115702.1	28898
NR_043599.1	32021
NR_118523.1	650054
NR_181373.1	2762557
NR_180527.1	2267891
NR_042684.1	488546
NR_118526.1	204
NR_115081.1	497724
NR_180416.1	2510188
NR_118085.1	654363
NR_043602.1	28080
NR_116923.1	1031542
NR_178934.1	1655500
NR_025124.1	137778
NR_043799.1	375927
NR_025096.1	123841
NR_043108.1	45498
NR_180169.1	2040648
NR_178296.1	222136
NR_115105.1	361872
NR_118766.2	215
NR_024836.1	60246
NR_135861.1	1591088
NR_149209.1	1677920
NR_181912.1	2905877
NR_114600.3	398626
NR_041825.1	152490
NR_024923.1	87012
NR_180168.1	2293435
NR_025939.1	216
NR_028019.1	95149
NR_114955.1	552535
NR_026029.1	50960
NR_181839.1	2867412
NR_114557.1	157268
NR_137347.1	1675686
NR_104824.1	648
NR_042155.1	196024
NR_116026.1	29489
NR_119190.1	644
NR_119041.1	651
NR_118945.1	645
NR_116584.1	633415
NR_116585.1	633417
NR_113274.1	762983
NR_169448.1	1173586
NR_181445.1	2814293
NR_025934.1	2718
NR_028847.1	194702
NR_115058.1	1132028
NR_137377.1	1548455
NR_113279.1	930806
NR_179344.1	2760804
NR_044896.1	85075
NR_133046.1	526714
NR_116907.1	560361
NR_115810.1	382777
NR_044364.1	53393
NR_028863.1	69359
NR_042526.1	390879
NR_173628.1	1653858
NR_178345.1	2792603
NR_178346.1	160660
NR_125567.1	195064
NR_122087.1	547122
NR_028745.1	108003
NR_074692.1	1033854
NR_042862.1	713586
NR_043974.1	397271
NR_044427.1	476279
NR_152000.1	1811807
NR_043875.1	381308
NR_112620.1	394805
NR_112829.1	571898
NR_147719.1	1548547
NR_116699.1	585455
NR_025333.1	82981
NR_176501.1	2172103
NR_025335.1	82985
NR_104940.1	565
NR_115224.1	255519
NR_041968.1	1006004
NR_025329.1	82989
NR_025330.1	82990
NR_181726.1	2831590
NR_036919.1	82992
NR_126317.1	158823
NR_104823.1	35703
NR_028687.1	57706
NR_170426.1	1748967
NR_156052.1	1914243
NR_024861.1	67824
NR_028894.1	1006003
NR_041697.1	67828
NR_117751.1	545
NR_028688.1	67829
NR_178769.1	1563222
NR_028685.1	67825
NR_028686.1	67826
NR_180890.1	2653932
NR_180641.1	2562449
NR_024862.1	67827
NR_041527.1	133448
NR_165712.1	2267246
NR_024640.1	61645
NR_148649.1	881260
NR_116756.1	69218
NR_179167.1	2494701
NR_180237.1	2497875
NR_118011.1	69219
NR_126208.1	1296536
NR_180236.1	2494702
NR_028993.1	208224
NR_042349.1	299767
NR_146667.2	539813
NR_180451.1	2529382
NR_179166.1	2497436
NR_179946.1	2071710
NR_117547.1	1354262
NR_180450.1	2529381
NR_025569.1	208962
NR_114042.1	562
NR_074902.1	585054
NR_136472.1	1499973
NR_180509.1	2899544
NR_180558.1	2579935
NR_102493.2	1028307
NR_180233.1	2489010
NR_159317.1	2058152
NR_118335.1	1134687
NR_118853.1	571
NR_180640.1	2587529
NR_117683.1	573
NR_134063.1	1463164
NR_181901.1	2026240
NR_025635.1	244366
NR_028677.1	1006000
NR_028803.1	580
NR_024883.1	73098
NR_112007.1	61648
NR_181179.1	2725494
NR_025566.1	1300165
NR_116033.1	497725
NR_125586.1	1005665
NR_125587.1	1005667
NR_169476.1	2529380
NR_118333.1	1158459
NR_104933.1	83655
NR_181872.1	2815358
NR_024642.1	61646
NR_179968.1	2080838
NR_179018.1	1907578
NR_179034.1	1855371
NR_179439.1	1755099
NR_114080.1	566
NR_125691.1	1398493
NR_180316.1	2488306
NR_125461.1	1259973
NR_114502.1	54291
NR_119214.1	1005996
NR_037085.1	577
NR_074888.1	54736
NR_074910.1	90371
NR_104901.1	621
NR_026332.1	622
NR_026331.1	623
NR_104826.1	624
NR_074908.1	630626
NR_134807.1	1505757
NR_118531.1	1388748
NR_179954.1	2022662
NR_181658.1	2815733
NR_114235.1	158852
NR_043860.1	379893
NR_104934.1	158877
NR_114520.1	552
NR_104724.1	68334
NR_104932.1	182337
NR_148650.1	1563158
NR_148820.1	1619313
NR_137333.1	1560201
NR_114078.1	55211
NR_118858.1	55212
NR_074869.1	465817
NR_117304.1	665913
NR_117305.1	665914
NR_137380.1	1615494
NR_137415.1	1458355
NR_104943.1	221276
NR_179668.1	2161819
NR_111998.1	549
NR_115258.1	574096
NR_026045.1	553
NR_116113.1	470931
NR_116748.1	472694
NR_178670.1	1465635
NR_116247.1	472705
NR_116114.1	470932
NR_116797.1	59814
NR_178843.1	92488
NR_116112.1	470933
NR_116246.1	472693
NR_178694.1	1592631
NR_118121.1	1076550
NR_104928.1	66270
NR_116115.1	470934
NR_126303.1	1544694
NR_116111.1	53336
NR_136431.1	1487935
NR_112985.1	569
NR_116898.1	546367
NR_025334.1	82983
NR_113580.1	582
NR_163665.1	1973495
NR_179961.1	2050966
NR_159332.1	1987580
NR_179839.1	2050967
NR_104767.1	183417
NR_114419.1	584
NR_043998.1	102862
NR_149294.1	626774
NR_115878.1	585
NR_115879.1	520999
NR_104914.1	1141662
NR_174258.1	2027290
NR_042413.1	587
NR_042411.1	158850
NR_024848.1	588
NR_042415.1	333965
NR_180978.1	2691583
NR_114705.1	71656
NR_114713.1	1121120
NR_144604.1	1505588
NR_125699.1	1508507
NR_181128.1	568768
NR_159925.1	1201031
NR_118292.1	55207
NR_118224.1	180957
NR_118227.1	554
NR_025316.1	78398
NR_153752.1	1905730
NR_159086.1	2042057
NR_118293.1	1175631
NR_028786.1	160434
NR_104925.1	41202
NR_180980.1	2703885
NR_025337.1	745277
NR_181673.1	2816248
NR_146845.1	1510573
NR_181072.1	2703882
NR_181675.1	2816250
NR_146846.1	58169
NR_180981.1	2787622
NR_181672.1	2816244
NR_181674.1	2816249
NR_146849.1	574964
NR_146847.1	1510570
NR_146848.1	1510574
NR_180979.1	2703884
NR_156931.1	1646377
NR_135871.1	1513468
NR_156932.1	1646373
NR_041979.1	61651
NR_116808.1	649197
NR_025340.1	82995
NR_121703.1	614
NR_114043.1	615
NR_044385.1	1449981
NR_114157.1	618
NR_037111.1	82996
NR_025341.1	28151
NR_037112.1	137545
NR_024644.1	61652
NR_169468.1	2741499
NR_027545.1	631
NR_104916.1	777
NR_044955.1	28085
NR_104894.1	449
NR_178916.1	1498499
NR_029242.1	39770
NR_026064.1	73780
NR_029241.1	414
NR_180968.1	2681310
NR_116196.1	686340
NR_145641.1	1673609
NR_117677.1	470
NR_117625.1	106648
NR_178628.1	1217715
NR_117628.1	202951
NR_113343.1	471
NR_174302.1	2420890
NR_165666.1	2004650
NR_148843.1	280147
NR_156989.1	1871111
NR_148643.1	1324350
NR_133953.1	1443941
NR_117627.1	1120926
NR_117626.1	106649
NR_117622.1	29430
NR_178590.1	1353941
NR_117784.1	1341679
NR_117624.1	40214
NR_026208.1	40215
NR_181459.1	2699469
NR_152082.1	1785128
NR_180591.1	2715163
NR_113346.1	28090
NR_115298.1	281375
NR_148845.1	1776740
NR_145841.1	1397514
NR_102814.1	1148157
NR_180005.1	742719
NR_117621.1	981326
NR_152069.1	1806892
NR_148846.1	1776741
NR_181286.1	2053287
NR_114074.1	40216
NR_180534.1	2419601
NR_025412.1	108981
NR_134684.1	1530123
NR_115299.1	281376
NR_116070.1	465797
NR_181115.1	2715164
NR_171416.1	2136183
NR_181930.1	1977882
NR_044454.1	487316
NR_180533.1	2419603
NR_117629.1	202955
NR_025392.1	108980
NR_134685.1	70346
NR_042049.1	1191460
NR_180336.1	2662362
NR_179145.1	1879050
NR_104936.1	34062
NR_025798.1	261164
NR_043140.1	292733
NR_028966.1	180588
NR_118026.1	228654
NR_137419.1	985250
NR_126172.1	732238
NR_178231.1	2695856
NR_134189.1	268404
NR_181547.1	2805490
NR_074812.1	349521
NR_159155.1	1897729
NR_025486.1	119000
NR_044416.1	28254
NR_159249.1	1571224
NR_121727.1	1196095
NR_149809.1	1908521
NR_116167.1	985008
NR_181946.1	2025884
NR_179979.1	2094024
NR_149208.1	1461579
NR_116168.1	888828
NR_025423.1	249188
NR_174301.1	2582921
NR_181418.1	2770636
NR_024896.1	85401
NR_024898.1	85403
NR_178444.1	1400001
NR_144618.1	1796644
NR_115138.1	115545
NR_118436.1	1071947
NR_179336.1	2778911
NR_156993.1	1908258
NR_156995.1	1907939
NR_156998.1	1906745
NR_026032.1	749
NR_025116.1	135739
NR_175554.1	2785331
NR_170488.1	2213226
NR_116104.1	86175
NR_113599.1	287
NR_179337.1	2740531
NR_181670.1	2810613
NR_179595.1	1940621
NR_181857.1	2710591
NR_181728.1	2833594
NR_117022.1	702115
NR_180743.1	2609964
NR_113600.1	47878
NR_116899.1	674054
NR_181571.1	2762576
NR_179327.1	2708063
NR_025103.1	129817
NR_178974.1	2316085
NR_156852.1	915099
NR_181810.1	2859001
NR_024912.1	651740
NR_164626.1	86192
NR_028985.1	200452
NR_179736.1	53409
NR_117826.1	47879
NR_113855.1	1215098
NR_179985.1	2697028
NR_117552.1	882211
NR_136473.1	1563157
NR_114911.1	1117955
NR_113647.1	294
NR_024946.1	296
NR_117177.1	104087
NR_104280.1	47880
NR_181838.1	2815720
NR_024928.1	78544
NR_179889.1	1785145
NR_181729.1	2833595
NR_026395.1	158627
NR_178447.1	1421430
NR_025102.1	129847
NR_148763.1	1608996
NR_178637.1	1443480
NR_114192.1	1215104
NR_180497.1	2666183
NR_179450.1	2293832
NR_178481.1	1055468
NR_181570.1	2762577
NR_179315.1	2607908
NR_025228.1	198620
NR_178288.1	485880
NR_156986.1	1615674
NR_179898.1	2364649
NR_179728.1	1943631
NR_024901.1	75588
NR_024704.1	86185
NR_042199.1	244566
NR_112072.1	298
NR_178423.1	86176
NR_024927.1	78543
NR_114225.1	46679
NR_179451.1	2293833
NR_169495.1	2482751
NR_024909.1	76758
NR_025881.1	47885
NR_181427.1	2815362
NR_178976.1	2750625
NR_040859.1	1215114
NR_156987.1	1615673
NR_178975.1	2750624
NR_179384.1	2899822
NR_114226.1	70775
NR_028986.1	200451
NR_025588.1	219574
NR_028619.1	122355
NR_042191.1	237610
NR_113651.1	303
NR_169411.1	2056231
NR_157777.1	1785162
NR_024911.1	76760
NR_181703.1	2827099
NR_178451.1	1461581
NR_179392.1	1499686
NR_180102.1	2213015
NR_156815.1	1853130
NR_134794.1	1306993
NR_181891.1	2890313
NR_113859.1	47882
NR_113583.1	47883
NR_117820.1	317
NR_114227.1	29442
NR_028987.1	200450
NR_025227.1	198618
NR_181197.1	2740517
NR_041953.1	95300
NR_028706.1	76761
NR_149823.1	1788301
NR_117825.1	33069
NR_148764.1	1608994
NR_178342.1	515393
NR_115115.1	203192
NR_118798.1	316
NR_115936.1	666
NR_116957.1	634155
NR_178664.1	1453545
NR_044323.1	450364
NR_169356.1	1148196
NR_181370.1	2752306
NR_181923.1	2901869
NR_178513.1	1176533
NR_044458.1	488485
NR_153744.1	1714359
NR_041368.1	363885
NR_149233.1	1530191
NR_180188.1	2303539
NR_180244.1	2565782
NR_113972.1	69284
NR_132712.1	619688
NR_180192.1	2480810
NR_157765.1	1450134
NR_116366.1	517011
NR_180613.1	2771362
NR_113981.1	336566
NR_041019.1	266128
NR_179509.1	2045214
NR_112030.1	40324
NR_181111.1	2656746
NR_025305.1	83617
NR_117406.1	676599
NR_116793.1	487698
NR_121739.1	216778
NR_042569.1	405446
NR_148818.1	1685415
NR_025578.1	215691
NR_119219.1	339
NR_104958.1	366649
NR_126260.1	1229656
NR_179259.1	2182793
NR_126265.1	1249552
NR_159162.1	1940240
NR_028724.1	97089
NR_102485.1	862908
NR_180034.1	2152716
NR_134109.1	708132
NR_178695.1	1513793
NR_180993.1	2683196
NR_109654.1	1196024
NR_151960.1	1658620
NR_173525.1	2893045
NR_180814.1	2606638
NR_109636.1	1197717
NR_179553.1	1871009
NR_044663.2	2089
NR_044657.2	2153
NR_036763.1	78554
NR_157674.1	1796921
NR_170425.1	2508720
NR_074978.1	452637
NR_115225.1	497964
NR_134756.1	1324935
