"","W1","W2","W4","W6","W7","W9","W10","W33","W42","W43","W52","W54","W57","W60","W63","W68","W73","W83","W84","W85","W87","W93","W94","W95","W96","W97","W100","W101","W104","W107","W108","W109","W111","W112","W114","W120","W121","W122","W123","W126","W127","W139","W140","W144","W150","W152","W153","W154","W164","W170","W181","W185","W187","W188","W189","W197","W221","W227","W228","W247","W251","W262","W265","W269","W280","W282","W318"
"W52",0.585078567117909,0.559430489525415,0.628095740527515,0.709979435820134,0.647039626980538,0.601445805363438,0.679247375762268,0.614857549350157,0.613116994880166,0.527577002089237,0,0.62021887132852,0.529773210412334,0.574893035955835,0.560863202742011,0.613953932900428,0.560135508555534,0.593130440272875,0.622905633971926,0.635026362886262,0.58225625351433,0.692133966942779,0.576936629596666,0.622396553479165,0.555315568612352,0.494097450747091,0.577293967942866,0.492842967928957,0.555998624309371,0.55228875648554,0.533092558443564,0.541636378992543,0.604352139207785,0.545254155854322,0.654204653012468,0.482293586938932,0.700372019644596,0.587697814688534,0.665536662001272,0.644467895075967,0.659861914837709,0.61273038228655,0.675539894797208,0.63376801033017,0.642573799757556,0.713862392847635,0.736725399540616,0.632283290955624,0.627412642648286,0.775474142245776,0.714347921392533,0.698079143501546,0.646999781666985,0.669341798933564,0.639478405737605,0.656095776834308,0.563353365797029,0.585857587389491,0.613315485483999,0.768790249207363,0.856720132816701,0.569613230077675,0.632512722579647,0.627398389658035,0.598135690621371,0.626729649915324,0.619589456421933
"W54",0.554077197908944,0.594535960487534,0.577083014780613,0.633109438047502,0.635036761930628,0.58919541783912,0.595718309437633,0.593624933230258,0.639542966669797,0.582878573593353,0.62021887132852,0,0.590357167078789,0.582717400409013,0.559368536088661,0.607751017651584,0.563357909659066,0.577739895378285,0.539229573708887,0.666876539395187,0.598050745487535,0.704113104386223,0.604453415026824,0.642576763297277,0.635497336738593,0.658352677424126,0.628055551451017,0.643433032242506,0.595247322783177,0.60627713777096,0.600588536940527,0.649071784402885,0.591160502045139,0.572449844695559,0.631721594696951,0.638689890861508,0.691556424924954,0.539017555031479,0.642433560327996,0.653028824883777,0.703811893389253,0.622468207838617,0.650256759629754,0.590671531635512,0.578954049844881,0.64400378398787,0.736642641408931,0.623782279563227,0.618096968910704,0.760460737219977,0.655597973138493,0.695635787559965,0.604409545847327,0.631326537688937,0.566259768417645,0.609972684559239,0.627121488578283,0.591831216007034,0.579327568860069,0.844229955915286,0.865242470260896,0.611837281825765,0.623728442823303,0.6418659330636,0.58172396327225,0.625943585465345,0.649447910640877
"W57",0.645248271331633,0.560441716582397,0.640116375401621,0.618515866667726,0.664004655090425,0.652627304000673,0.699433774140186,0.633513685932873,0.664952946005426,0.537329735977604,0.529773210412334,0.590357167078789,0,0.658601111264886,0.577036278635849,0.652133394824269,0.555591888743245,0.665993116222905,0.586036496155083,0.678445656805127,0.551971981552874,0.724252541103598,0.583040221722476,0.599196731091993,0.570877320337292,0.593633201746463,0.530999641881765,0.536704573865435,0.627830443886128,0.532626783704575,0.531892280676851,0.657297194163705,0.631691443670074,0.572097572061081,0.715475131824136,0.536649094963082,0.762333233930695,0.614726340772796,0.684733133696454,0.653233218999946,0.65972873520371,0.653336833063836,0.734095817976708,0.69228427820482,0.672923714289154,0.743411385782195,0.780494754791336,0.66474435305601,0.674043956088194,0.821870290188839,0.760011891663297,0.759753438889987,0.713112929599339,0.712210319895659,0.633120273583529,0.669487766924085,0.597047695164041,0.651593512263895,0.691839434151432,0.761939199666256,0.820360657849892,0.663301890543891,0.667659371768418,0.608092057834707,0.609447449392604,0.647001080872374,0.576972243888315
"W60",0.5540761800046,0.586444571765473,0.543255589696825,0.733176488283904,0.536002327424163,0.552513114937148,0.547893623559735,0.626968176538794,0.551084761167997,0.616181206773861,0.574893035955835,0.582717400409013,0.658601111264886,0,0.523184029276748,0.453041754473821,0.568334151965189,0.56384307547532,0.545969993237857,0.638353295127552,0.591811718843529,0.59171858141997,0.615088419199466,0.721939048548312,0.559750377524772,0.595750651940223,0.564860758752781,0.560444910238204,0.493597447016556,0.573490723179811,0.636406239448691,0.565082103542327,0.644961912721843,0.562084521273642,0.636210643293156,0.619283574399346,0.621826968483828,0.552236229095745,0.540961739024153,0.646981551185533,0.665733132680393,0.693865897095439,0.587827838962934,0.565079011644317,0.627322151927682,0.605785883488933,0.669043471317325,0.593679584230104,0.679815812173754,0.720089804649895,0.642319171361995,0.6064425327287,0.590489796232303,0.615653916813527,0.578813369224301,0.533697945862096,0.640320666430311,0.612384950029491,0.593980368907329,0.831937987074927,0.847821076761366,0.5854725424074,0.60027828661869,0.702647799629671,0.646967003183222,0.588309958560629,0.635762825125394
"W63",0.542348080334677,0.60424638363062,0.549123970119618,0.700768082652767,0.559808392821036,0.565432302349515,0.593464692575514,0.601622306081422,0.592147252480602,0.606786072367266,0.560863202742011,0.559368536088661,0.577036278635849,0.523184029276748,0,0.597237364999368,0.527035121604933,0.609423254860775,0.51352916162565,0.682943175683682,0.560497903465083,0.648840265465256,0.606166043867296,0.65480697862041,0.559968530723627,0.610830748437276,0.570141224525157,0.553002273702287,0.524631485450697,0.585897736913424,0.60874988858657,0.612376735520328,0.642391670539283,0.571143333815285,0.638658238311079,0.552257895506194,0.710516657394182,0.511513505403616,0.585184652190761,0.643630159978023,0.617388952558851,0.665328391704592,0.611059836019027,0.571178277099558,0.595878891078855,0.664050566805372,0.711740420709463,0.570442815491844,0.664926831383421,0.761435983499092,0.653138459790484,0.657942413926996,0.649715822879822,0.655289206533961,0.525824790933453,0.575027410770546,0.592468277562768,0.656493661931918,0.605879542131463,0.825430534225294,0.854686807550977,0.602386356436624,0.612642634565282,0.649844067180225,0.61097716914612,0.638665781123329,0.640445544542118
"W68",0.567669505501218,0.587688384800044,0.522806147105296,0.766100849669938,0.541250068852383,0.502899824985189,0.584429038468244,0.639300867092883,0.581142197387017,0.622558157462691,0.613953932900428,0.607751017651584,0.652133394824269,0.453041754473821,0.597237364999368,0,0.579760815620476,0.608894555293991,0.558425279057091,0.66691888201664,0.640062614296662,0.640534297898093,0.62602422454552,0.731001589624978,0.569233463332781,0.650559053574359,0.588589028170262,0.599305907507802,0.512792314669698,0.557067719069532,0.647874789033745,0.540545627877998,0.664953943951361,0.600429645771379,0.6470661193135,0.645368018251466,0.673284153593875,0.570331400372951,0.517148178552559,0.647868718880426,0.70878460052015,0.63073415275923,0.617268735558867,0.581879592355966,0.586885182397214,0.647420118323138,0.683861088680207,0.624499229659756,0.683392408739496,0.677465854797511,0.60206290101632,0.600302804882508,0.576547438511981,0.602762057317753,0.568372905290139,0.586570980545835,0.582852334224277,0.60574477363889,0.596632449426027,0.864670479768699,0.87840489997343,0.559495058960771,0.656336471498932,0.713165778903408,0.654805200582522,0.569822833880359,0.654674663641888
"W73",0.5692779672607,0.609671133708651,0.581101539410859,0.693705908253497,0.622852798343792,0.600375105976539,0.659301598700265,0.581325424844302,0.625996460108947,0.605204100462578,0.560135508555534,0.563357909659066,0.555591888743245,0.568334151965189,0.527035121604933,0.579760815620476,0,0.644473000908675,0.539711486399315,0.657091229349321,0.557227918723511,0.708683563932082,0.597776093946503,0.604084690518598,0.514772085934781,0.585181601605582,0.513601240431153,0.544587572658774,0.540531396845758,0.550423798738221,0.515209736227361,0.579617563528861,0.5950919728625,0.545296515645684,0.626332571300675,0.598193234693264,0.727598903576169,0.502704986452078,0.588379426321918,0.638771505453107,0.697047155988527,0.621370397211638,0.643684699023293,0.605362232642161,0.643101323619955,0.712003691718881,0.743711547061139,0.611076288748871,0.596591411498014,0.770780773278904,0.679610743008027,0.676821167186933,0.670348821216243,0.664352593333511,0.579878293414068,0.66740196328883,0.532979843174278,0.631405554545436,0.648961338153944,0.828689903602759,0.859001817286142,0.638543211309691,0.681752203016217,0.673994772429628,0.625811493408599,0.664105558263153,0.639691733669278
"W83",0.571204555143301,0.60099663487029,0.609339847782981,0.742065785099509,0.655458761465756,0.62689679889248,0.634349481296373,0.537271547310135,0.443456337548099,0.624060990477852,0.593130440272875,0.577739895378285,0.665993116222905,0.56384307547532,0.609423254860775,0.608894555293991,0.644473000908675,0,0.664149051644263,0.515609401736257,0.636859011768501,0.644076719567562,0.650370403085349,0.758565990880068,0.640150384834028,0.65254403807919,0.635624011047795,0.658523988485736,0.616116127208,0.635171686842718,0.680601615947959,0.653911012431078,0.526227174760146,0.623978526907938,0.474748011562946,0.678957990168473,0.519597077981449,0.600561237298377,0.672160284050309,0.629068360240575,0.705152762412853,0.587365961282116,0.601652874253028,0.60587522094738,0.625988926618583,0.644005374469111,0.698102115568493,0.540818764252491,0.556147459518839,0.74125258681139,0.647013831399898,0.653981023071481,0.588395496633293,0.588164251817234,0.581411972008339,0.603452852289157,0.673008629723496,0.593571145955401,0.592077237793753,0.834171818868754,0.879176716184492,0.586827904555511,0.61786697832759,0.680982469854013,0.618494070932662,0.592925847086248,0.663859731494584
"W84",0.591736618905341,0.626101935131783,0.559683179489142,0.693749955583772,0.605100853696193,0.564944514765112,0.632371599099489,0.639880149244644,0.662915548973925,0.596729782649878,0.622905633971926,0.539229573708887,0.586036496155083,0.545969993237857,0.51352916162565,0.558425279057091,0.539711486399315,0.664149051644263,0,0.732006728941479,0.616149301767811,0.726087744737498,0.6328283379463,0.654367216229259,0.592197283512621,0.678429183157561,0.605164274315571,0.595904085763461,0.521501918807765,0.524458803991249,0.566691286964411,0.597846849782737,0.650449373912996,0.546123522702671,0.704895850858506,0.533922434463879,0.747956954794575,0.508259369835798,0.544513582023731,0.650293571814256,0.66246411008968,0.68317983589422,0.653742695955587,0.596428629712072,0.617392275021166,0.673462639794162,0.735703167819495,0.661899908812518,0.697754954314805,0.773541056834665,0.673703153826139,0.668721922525343,0.645056500253136,0.654353731575409,0.572383577742421,0.620759252163747,0.650558231745745,0.662210199802188,0.642063154627577,0.821139050593932,0.864351140081103,0.653189118694467,0.680922675709219,0.660976465812116,0.648384309261267,0.682562858062091,0.71290622286332
"W85",0.635584092664745,0.624138808957986,0.665151483852138,0.737188371289822,0.708843498442173,0.679378761991892,0.68222426222624,0.537116863719427,0.533971765939086,0.673254950107708,0.635026362886262,0.666876539395187,0.678445656805127,0.638353295127552,0.682943175683682,0.66691888201664,0.657091229349321,0.515609401736257,0.732006728941479,0,0.611879090427656,0.672164682972623,0.665358633175882,0.763317515231412,0.657433404645335,0.657105266349166,0.606860578853034,0.667270255502617,0.69146174800681,0.670431262933462,0.692992672822856,0.693459295510332,0.598120409213482,0.679973306030973,0.549696834986635,0.718173281242077,0.585234874902387,0.681224086730314,0.682549072410289,0.695784937034495,0.738434975352765,0.588333477371709,0.647623062731307,0.654015771015638,0.656635908563978,0.683593537539103,0.718283377283644,0.582774937664768,0.581940412751528,0.765241604651555,0.697544508212355,0.697748710854592,0.661284578599813,0.615604719443315,0.673283192421735,0.657923667520703,0.645812421782098,0.651823705565214,0.652173703945713,0.826016583713115,0.863044994019842,0.635575241910091,0.671669651750525,0.695000559530545,0.621241477069645,0.626028001865706,0.6486458823607
