"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.000142938822184105	0	0.000143041052782148	0.000142938822184105	0	0	0	0.000428877769835597	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella"	0	0	0	0	0	0	0	0.000857755539671194	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Gluceribacter"	0.000142938822184105	0	0	0.00028587764436821	0.000142897970848814	0	0	0.000285918513223731	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0	0	0.000286082105564297	0	0	0	0	0	0.000428877769835597
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Caecibacteroides"	0	0	0.000286082105564297	0.000142938822184105	0	0	0	0.000142959256611866	0.000142959256611866
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0	0	0	0	0	0	0	0.000285918513223731	0.000428877769835597
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Jingyaoa"	0.00028587764436821	0.000142857142857143	0	0	0	0	0.000142877553936277	0.000142959256611866	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma"	0	0	0.000286082105564297	0	0	0	0	0	0.000285918513223731
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.000142938822184105	0	0.000143041052782148	0.000142938822184105	0	0	0	0	0.000142959256611866
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus"	0.000142938822184105	0	0	0	0	0	0	0.000428877769835597	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Drancourtella"	0.00028587764436821	0	0	0	0	0	0	0.000285918513223731	0
