"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"njc81"	0.03	0	0	0	0	0	0.04	0	0.06	0.01	0.06	0.06	0.06	0.06	0.01	0.04	0.13	0.01	0.14	0.03	0	0.03	0	0.01	0.01	0.01	0	0.01	0.01	0.04	0.06	0.07	0.01	0.1	0.09	0	0	0	0.1	0.01	0.12	0	0	0.48	0.01	0.03	0.01	0.04	0.1	0	0.01	0	0.04	0.1	0	0.01	0.22	1.89	0	0.01	0.07	0	0	0	0.09	0	0	0	0.03	0.67	0.01
"njc82"	0.1	0.03	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.12	0.01	0.12	0.04	0.13	0.01	0.09	0.07	0	0.04	0.01	0.03	0.06	0.01	0.07	0.01	0.1	0.35	0.04	0.15	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0	0	0	0.77	0.13	0	0	0.04	0	0	0	0	0	0	0.22
"njc83"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc84"	8.06	13.45	12.9	15.24	24.18	18.42	11.93	11.67	16.41	33.89	20.55	20.37	11.69	12.98	22.24	14.21	17.05	20.03	20.03	15.35	29.11	20.12	21.81	11.64	36.69	13.26	21.49	32.47	13.05	28.77	28.27	31.2	31.09	22.2	20.86	15.58	23.38	12.59	7.49	15.66	16.29	22.17	12.3	12.96	19.39	10.54	17.08	15.93	19.56	23.84	11.41	7.78	14.54	11.66	27.75	24.59	5.54	7.19	14.21	26.38	24.71	26.75	26.08	15.94	18.81	23.59	23.01	9.32	17.16	15.45	18.55
"njc85"	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0.03	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.77	0	0	0	0	0	0	0	0	0	0	0.03	0.59	0
"njc86"	0.01	0	0	0	0	0	0	0	0.03	0	0	0.01	0.01	0.13	0.03	0.12	0.19	0.01	0.01	0.09	0	0	0	0	0.03	0.01	0	0.06	0	0.06	0.12	0.01	0.04	0.16	0.03	0.01	0	0.01	0.09	0	0	0.06	0.03	0.01	0.01	0	0.01	0.03	0.06	0.04	0.01	0	0	0.01	0	0	0.21	0.38	0	0.03	0.03	0.11	0.01	0	0.06	0	0	0	0	0	0
"njc87"	0.26	0.06	0.1	0.03	0.03	0.07	0.07	0	0.01	0.11	0.09	0.1	0.04	0.03	0.03	0.03	0.04	0.01	0.06	0	0.04	0.06	0.01	0.07	0.01	0.03	0.07	0.13	0.01	0.15	0.07	0.23	0.03	0.09	0.12	0.01	0.04	0.03	0.03	0.1	0.01	0.07	0.01	0.19	0.36	0.06	0.16	0.1	0.09	0.06	0.03	0	0.04	0.49	0.01	0.35	0.28	0.18	0	0.78	0.15	0	0.06	0.07	0	0	0.03	0	0	0	0.22
"njc88"	0.1	0.03	0.06	0.01	0	0.14	0.1	0.34	0.2	0.2	0.56	0.42	0.42	0.33	0.23	0.36	0.8	0.32	0.39	0.13	0.06	0.13	0.19	0.06	0.06	0.03	0.09	0.29	0.03	0.35	0.36	0.19	0.13	0.39	0.42	0.52	0.28	0.1	0.25	0.14	0.32	0.66	0.19	0.43	0.06	0.04	0.25	0.16	0.29	0.19	0.03	0.06	0.17	0.3	0.04	0.39	0.61	2.82	0.98	0.28	1.25	0.13	0.17	0.17	0.41	0	0	0	0.03	0.61	0.22
"njc89"	0.03	0.03	0.01	0	0.03	0.06	0.04	0	0	0.06	0.04	0.01	0.01	0	0.01	0.03	0.03	0.01	0.01	0	0	0.04	0	0.04	0	0	0.06	0.01	0	0.01	0.03	0.06	0.01	0	0.03	0.01	0	0.01	0	0.04	0	0	0	0.09	0.01	0.01	0.01	0	0.03	0	0.01	0	0.01	0.03	0	0.01	0.07	0.03	0	0.01	0.01	0	0.06	0.03	0	0	0.03	0	0	0	0
"njc90"	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0.03	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.77	0	0	0	0	0	0	0	0	0	0	0.03	0.59	0
